row_label_raw,row_label_full,col_0,Phần mềmVND,Quyền sử dụng đấtVND,Tài sản vô hình khácVND,Tổng cộngVND,numeric__Phần mềmVND,numeric__Quyền sử dụng đấtVND,numeric__Tài sản vô hình khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Ngày 1 tháng 1 năm2016,Nguyên giá > Ngày 1 tháng 1 năm2016,Ngày 1 tháng 1 năm2016,50.588.105.524,109.671.558.000,6.649.215.842,166.908.879.366,50588105524.0,109671558000.0,6649215842.0,166908879366.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,5.222.759.300,-,-,5.222.759.300,5222759300.0,,,5222759300.0
Mua mới,Nguyên giá > Mua mới,Mua mới,5.222.759.300,-,-,5.222.759.300,5222759300.0,,,5222759300.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,-,-,-,,,,
Ngày 31 tháng 12năm 2016,Giảm trong năm > Ngày 31 tháng 12năm 2016,Ngày 31 tháng 12năm 2016,55.810.864.824,109.671.558.000,6.649.215.842,172.131.638.666,55810864824.0,109671558000.0,6649215842.0,172131638666.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,
Ngày 1 tháng 1 năm2016,Hao mòn lũy kế > Ngày 1 tháng 1 năm2016,Ngày 1 tháng 1 năm2016,46.953.458.696,-,3.112.929.347,50.066.388.043,46953458696.0,,3112929347.0,50066388043.0
Tăng trong năm,Hao mòn lũy kế > Tăng trong năm,Tăng trong năm,2.529.783.201,-,1.059.237.223,3.589.020.424,2529783201.0,,1059237223.0,3589020424.0
Hao mòn trongnăm,Hao mòn lũy kế > Hao mòn trongnăm,Hao mòn trongnăm,2.529.783.201,-,1.059.237.223,3.589.020.424,2529783201.0,,1059237223.0,3589020424.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,-,-,-,,,,
Ngày 31 tháng 12năm 2016,Giảm trong năm > Ngày 31 tháng 12năm 2016,Ngày 31 tháng 12năm 2016,49.483.241.897,-,4.172.166.570,53.655.408.467,49483241897.0,,4172166570.0,53655408467.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Ngày 1 tháng 1 năm2016,Giá trị còn lại > Ngày 1 tháng 1 năm2016,Ngày 1 tháng 1 năm2016,3.634.646.828,109.671.558.000,3.536.286.495,116.842.491.323,3634646828.0,109671558000.0,3536286495.0,116842491323.0
Ngày 31 tháng 12năm 2016,Giá trị còn lại > Ngày 31 tháng 12năm 2016,Ngày 31 tháng 12năm 2016,6.327.622.927,109.671.558.000,2.477.049.272,118.476.230.199,6327622927.0,109671558000.0,2477049272.0,118476230199.0
Tổng cộng,Giá trị còn lại > Tổng cộng,Tổng cộng,6.327.622.927,109.671.558.000,2.477.049.272,118.476.230.199,6327622927.0,109671558000.0,2477049272.0,118476230199.0
