row_label_raw,row_label_full,Công ty liên quan,Giao dịch,Phải thu/(phải trả),Phải thu/(phải trả)_1,Phải thu/(phải trả)_2,Phải thu/(phải trả)_3,Doanh thu/ (chi phí) VND,numeric__Giao dịch,numeric__Phải thu/(phải trả),numeric__Phải thu/(phải trả)_1,numeric__Phải thu/(phải trả)_2,numeric__Phải thu/(phải trả)_3,numeric__Doanh thu/ (chi phí) VND
Công ty liên quan,Công ty liên quan,Công ty liên quan,Giao dịch,Số đầu năm VND,Tăng trong năm VND,Giảm trong năm VND,Số cuối năm VND,Doanh thu/ (chi phí) VND,,,,,,
Công ty CP Xuyên Thái Bình và công ty con,Công ty liên quan > Công ty CP Xuyên Thái Bình và công ty con,Công ty CP Xuyên Thái Bình và công ty con,"Phí giao dịch chứng khoán, phí lưu ký và phí ứng trước tiền bán chứng khoán",-,574.411.312,(574.411.312),-,574.411.312,,,574411312.0,-574411312.0,,574411312.0
Công ty CP Xuyên Thái Bình và công ty con,Công ty liên quan > Công ty CP Xuyên Thái Bình và công ty con,Công ty CP Xuyên Thái Bình và công ty con,Phải thu ký quỹ,44.623.697.526,39.442.130.180,(84.065.827.706),-,376.247.509,,44623697526.0,39442130180.0,-84065827706.0,,376247509.0
Công ty CP Xuyên Thái Bình và công ty con,Công ty liên quan > Công ty CP Xuyên Thái Bình và công ty con,Công ty CP Xuyên Thái Bình và công ty con,Phí hợp đồng tư vấn,-,10.291.402.865,(10.209.402.865),82.000.000,9.355.820.786,,,10291402865.0,-10209402865.0,82000000.0,9355820786.0
Công ty CP Xuyên Thái Bình và công ty con,Công ty liên quan > Công ty CP Xuyên Thái Bình và công ty con,Công ty CP Xuyên Thái Bình và công ty con,Ứng trước hợp đồng tư vấn,(100.000.000),-,100.000.000,-,-,,-100000000.0,,100000000.0,,
Công ty CP Xuyên Thái Bình và công ty con,Công ty liên quan > Công ty CP Xuyên Thái Bình và công ty con,Công ty CP Xuyên Thái Bình và công ty con,Phải trả tiền bán chứng khoán,(697.325),(7.408.615.364),7.409.312.689,-,-,,-697325.0,-7408615364.0,7409312689.0,,
Công ty CP Xuyên Thái Bình và công ty con,Công ty liên quan > Công ty CP Xuyên Thái Bình và công ty con,Công ty CP Xuyên Thái Bình và công ty con,Bán chứng khoán,-,70.000.000.000,(70.000.000.000),-,-,,,70000000000.0,-70000000000.0,,
Công ty CP Xuyên Thái Bình và công ty con,Công ty liên quan > Công ty CP Xuyên Thái Bình và công ty con,Công ty CP Xuyên Thái Bình và công ty con,Chi phí thuê kho và dịch vụ,(46.395.370),(1.172.564.708),1.198.072.154,(20.887.924),(1.172.564.708),,-46395370.0,-1172564708.0,1198072154.0,-20887924.0,-1172564708.0
Công ty CP Xuyên Thái Bình và công ty con,Công ty liên quan > Công ty CP Xuyên Thái Bình và công ty con,Công ty CP Xuyên Thái Bình và công ty con,Đặt cọc thuê văn phòng,78.262.800,41.741.700,(78.262.800),41.741.700,-,,78262800.0,41741700.0,-78262800.0,41741700.0,
Công ty CP Xuyên Thái Bình và công ty con,Công ty liên quan > Công ty CP Xuyên Thái Bình và công ty con,Công ty CP Xuyên Thái Bình và công ty con,Nhận cọc môi giới chứng khoán,-,(2.714.340.200.549),2.458.289.779.273,(256.050.421.276),-,,,-2714340200549.0,2458289779273.0,-256050421276.0,
Công ty CP Xuyên Thái Bình và công ty con,Công ty liên quan > Công ty CP Xuyên Thái Bình và công ty con,Công ty CP Xuyên Thái Bình và công ty con,Lãi nhận cọc phải trả,-,(20.339.938.253),19.358.587.261,(981.350.992),(20.339.938.253),,,-20339938253.0,19358587261.0,-981350992.0,-20339938253.0
Công ty CP Xuyên Thái Bình và công ty con,Công ty liên quan > Công ty CP Xuyên Thái Bình và công ty con,Công ty CP Xuyên Thái Bình và công ty con,Chi phí mua hàng hóa,-,(2.188.650.000),2.188.650.000,-,(2.188.650.000),,,-2188650000.0,2188650000.0,,-2188650000.0
Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty liên quan > Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty TNHH Quản lý Quỹ SSI (SSIAM),Góp vốn đầu tư,30.000.000.000,-,-,30.000.000.000,-,,30000000000.0,,,30000000000.0,
Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty liên quan > Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty TNHH Quản lý Quỹ SSI (SSIAM),Lợi nhuận được chia,-,41.946.867.580,(41.946.867.580),-,41.946.867.580,,,41946867580.0,-41946867580.0,,41946867580.0
Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty liên quan > Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty TNHH Quản lý Quỹ SSI (SSIAM),"Phí giao dịch chứng khoán, phí lưu ký và ứng trước tiền bản",-,4.068.573.205,(4.068.573.205),-,4.068.573.205,,,4068573205.0,-4068573205.0,,4068573205.0
Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty liên quan > Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty TNHH Quản lý Quỹ SSI (SSIAM),Số dư danh mục ủy thác đầu tư,1.616.344.663.172,1.351.104.341.599,(1.573.083.202.586),1.394.365.802.185,-,,1616344663172.0,1351104341599.0,-1573083202586.0,1394365802185.0,
Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty liên quan > Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty TNHH Quản lý Quỹ SSI (SSIAM),Các khoản phải trả Quỹ phúc lợi,-,(3.015.251.900),3.015.251.900,-,-,,,-3015251900.0,3015251900.0,,
Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty liên quan > Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty TNHH Quản lý Quỹ SSI (SSIAM),Phí quản lý danh mục,(5.427.686.015),(43.797.677.943),41.778.509.350,(7.446.854.608),(43.797.677.943),,-5427686015.0,-43797677943.0,41778509350.0,-7446854608.0,-43797677943.0
Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty liên quan > Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty TNHH Quản lý Quỹ SSI (SSIAM),Phí tư vấn đầu tư chứng khoán,(2.696.581.875),(37.474.138.434),36.462.819.888,(3.707.900.421),(37.474.138.434),,-2696581875.0,-37474138434.0,36462819888.0,-3707900421.0,-37474138434.0
Công ty TNHH MTV Nguyễn Sài Gòn,Công ty liên quan > Công ty TNHH MTV Nguyễn Sài Gòn,Công ty TNHH MTV Nguyễn Sài Gòn,"Phí giao dịch, phí lưu ký và phí ứng trước tiền bán chứng khoán",-,501.082.508,(501.082.508),-,501.082.508,,,501082508.0,-501082508.0,,501082508.0
Công ty TNHH MTV Nguyễn Sài Gòn,Công ty liên quan > Công ty TNHH MTV Nguyễn Sài Gòn,Công ty TNHH MTV Nguyễn Sài Gòn,Phải thu giao dịch ký quỹ,-,17.618.730.327,(17.618.730.327),-,23.075.065,,,17618730327.0,-17618730327.0,,23075065.0
Công ty TNHH MTV Nguyễn Sài Gòn,Công ty liên quan > Công ty TNHH MTV Nguyễn Sài Gòn,Công ty TNHH MTV Nguyễn Sài Gòn,Cổ tức SSI,-,(208.002.000),208.002.000,-,-,,,-208002000.0,208002000.0,,
