row_label_raw,row_label_full,Tài sản,Số dư cuối năm VND,Số dư đầu năm VND,Mục đích đảm bảo,numeric__Số dư cuối năm VND,numeric__Số dư đầu năm VND,numeric__Mục đích đảm bảo
Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,,,
- Tiền gửi có kỳ hạn từ 3 tháng trở xuống,Ngắn hạn > - Tiền gửi có kỳ hạn từ 3 tháng trở xuống,- Tiền gửi có kỳ hạn từ 3 tháng trở xuống,-,135.000.000.000,Các khoản vay ngắn hạn,,135000000000.0,
- Tài sản tài chính FVTPL (tính theo mệnh giá),Ngắn hạn > - Tài sản tài chính FVTPL (tính theo mệnh giá),- Tài sản tài chính FVTPL (tính theo mệnh giá),130.810.880.000,10.100.000.000,Trái phiếu do Công ty phát hành và vay ngắn hạn,130810880000.0,10100000000.0,
- Tài sản tài chính AFS (tính theo mệnh giá),Ngắn hạn > - Tài sản tài chính AFS (tính theo mệnh giá),- Tài sản tài chính AFS (tính theo mệnh giá),98.494.180.000,36.660.000.000,Trái phiếu do Công ty phát hành và vay ngắn hạn,98494180000.0,36660000000.0,
- Tiền gửi có kỳ hạn trên 3 tháng tới 1 năm,Ngắn hạn > - Tiền gửi có kỳ hạn trên 3 tháng tới 1 năm,- Tiền gửi có kỳ hạn trên 3 tháng tới 1 năm,5.168.100.000.000,4.356.100.000.000,Vay thấu chỉ và vay ngắn hạn,5168100000000.0,4356100000000.0,
Dài hạn,Dài hạn,Dài hạn,,,,,,
- Tiền gửi có kỳ hạn trên 1 năm,Dài hạn > - Tiền gửi có kỳ hạn trên 1 năm,- Tiền gửi có kỳ hạn trên 1 năm,41.000.000.000,-,Vay ngắn hạn,41000000000.0,,
- Đầu tư vào công ty liên kết (tính theo mệnh giá),Dài hạn > - Đầu tư vào công ty liên kết (tính theo mệnh giá),- Đầu tư vào công ty liên kết (tính theo mệnh giá),185.139.370.000,159.146.660.000,Trái phiếu do Công ty phát hành và vay ngắn hạn,185139370000.0,159146660000.0,
- Tài sản cố định vô hình,Dài hạn > - Tài sản cố định vô hình,- Tài sản cố định vô hình,109.671.558.000,109.671.558.000,Trái phiếu do Công ty phát hành,109671558000.0,109671558000.0,
Tổng cộng,Dài hạn > Tổng cộng,Tổng cộng,5.733.215.988.000,4.806.678.218.000,,5733215988000.0,4806678218000.0,
