row_label_raw,row_label_full,col_0,Năm nay VND,Năm trước (trình bày lại) VND,numeric__Năm nay VND,numeric__Năm trước (trình bày lại) VND
Lợi nhuận thuần trước thuế,Lợi nhuận thuần trước thuế,Lợi nhuận thuần trước thuế,973.162.381.758,1.189.139.962.529,973162381758.0,1189139962529.0
Các điều chỉnh tăng/(giảm) lợi nhuận theo kế toán,Các điều chỉnh tăng/(giảm) lợi nhuận theo kế toán,Các điều chỉnh tăng/(giảm) lợi nhuận theo kế toán,52.135.845.969,(327.582.618.430),52135845969.0,-327582618430.0
Các khoản điều chỉnh tăng,Các khoản điều chỉnh tăng,Các khoản điều chỉnh tăng,277.787.220.802,237.414.235.010,277787220802.0,237414235010.0
- Dự phòng giảm giá chứng khoán không niêm yết cuối năm,- Dự phòng giảm giá chứng khoán không niêm yết cuối năm,- Dự phòng giảm giá chứng khoán không niêm yết cuối năm,37.839.537.400,40.956.993.400,37839537400.0,40956993400.0
- Dự phòng giá trị đầu tư nhận hoàn vốn cuối năm,- Dự phòng giá trị đầu tư nhận hoàn vốn cuối năm,- Dự phòng giá trị đầu tư nhận hoàn vốn cuối năm,198.657.082.945,49.994.489.716,198657082945.0,49994489716.0
- Chênh lệch tạm thời tính thuế năm 2015,- Chênh lệch tạm thời tính thuế năm 2015,- Chênh lệch tạm thời tính thuế năm 2015,-,135.656.679.197,,135656679197.0
- Chênh lệch đánh giá lại tài sản tài chính AFS,- Chênh lệch đánh giá lại tài sản tài chính AFS,- Chênh lệch đánh giá lại tài sản tài chính AFS,333.533.023,10.363.694.097,333533023.0,10363694097.0
- Chi phí dự phòng các khoản cho vay,- Chi phí dự phòng các khoản cho vay,- Chi phí dự phòng các khoản cho vay,40.051.234.311,-,40051234311.0,
- Chi phí không được khấu trừ,- Chi phí không được khấu trừ,- Chi phí không được khấu trừ,905.833.123,442.378.600,905833123.0,442378600.0
Các khoản điều chỉnh giảm,Các khoản điều chỉnh giảm,Các khoản điều chỉnh giảm,(225.651.374.833),(564.996.853.440),-225651374833.0,-564996853440.0
- Thu nhập từ hoạt động không thuộc diện nộp thuế TNDN - Cổ tức,- Thu nhập từ hoạt động không thuộc diện nộp thuế TNDN - Cổ tức,- Thu nhập từ hoạt động không thuộc diện nộp thuế TNDN - Cổ tức,(134.146.065.780),(161.992.955.481),-134146065780.0,-161992955481.0
- Hoàn nhập dự phòng giảm giá chứng khoán chưa niêm yết đầu năm,- Hoàn nhập dự phòng giảm giá chứng khoán chưa niêm yết đầu năm,- Hoàn nhập dự phòng giảm giá chứng khoán chưa niêm yết đầu năm,(40.956.993.400),(402.058.826.278),-40956993400.0,-402058826278.0
- Hoàn nhập dự phòng giá trị đầu tư nhận hoàn vốn đầu năm,- Hoàn nhập dự phòng giá trị đầu tư nhận hoàn vốn đầu năm,- Hoàn nhập dự phòng giá trị đầu tư nhận hoàn vốn đầu năm,(49.994.489.716),-,-49994489716.0,
- Chênh lệch tạm thời chịu thuế năm trước chuyển sang,- Chênh lệch tạm thời chịu thuế năm trước chuyển sang,- Chênh lệch tạm thời chịu thuế năm trước chuyển sang,(553.825.937),(945.071.681),-553825937.0,-945071681.0
Thu nhập chịu thuế ước tính năm hiện hành,Thu nhập chịu thuế ước tính năm hiện hành,Thu nhập chịu thuế ước tính năm hiện hành,1.025.298.227.727,861.557.344.099,1025298227727.0,861557344099.0
Thuế suất thuế TNDN,Thuế suất thuế TNDN,Thuế suất thuế TNDN,20%,22%,0.2,0.22
Thuế TNDN phải trả ước tính năm hiện hành,Thuế TNDN phải trả ước tính năm hiện hành,Thuế TNDN phải trả ước tính năm hiện hành,205.059.645.545,189.542.615.702,205059645545.0,189542615702.0
Thuế TNDN phải trả đầu năm,Thuế TNDN phải trả đầu năm,Thuế TNDN phải trả đầu năm,69.154.445.146,13.866.922.128,69154445146.0,13866922128.0
Điều chỉnh tăng thuế TNDN theo Quyết toán thuế,Điều chỉnh tăng thuế TNDN theo Quyết toán thuế,Điều chỉnh tăng thuế TNDN theo Quyết toán thuế,181.317.272,379.510.893,181317272.0,379510893.0
Thuế TNDN đã trả trong năm,Thuế TNDN đã trả trong năm,Thuế TNDN đã trả trong năm,(230.876.957.831),(134.634.603.577),-230876957831.0,-134634603577.0
Thuế TNDN phải trả cuối năm,Thuế TNDN phải trả cuối năm,Thuế TNDN phải trả cuối năm,43.518.450.132,69.154.445.146,43518450132.0,69154445146.0
