row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốcVND,Số cuối năm > Giá trị ghi sốVND,Số cuối năm > Giá trị hợp lý (2)VND,Số đầu năm (trình bày lại) > Giá gốcVND,Số đầu năm (trình bày lại) > Giá trị ghi sốVND,Số đầu năm (trình bày lại) > Giá trị hợp lý (2)VND,numeric__Số cuối năm > Giá gốcVND,numeric__Số cuối năm > Giá trị ghi sốVND,numeric__Số cuối năm > Giá trị hợp lý (2)VND,numeric__Số đầu năm (trình bày lại) > Giá gốcVND,numeric__Số đầu năm (trình bày lại) > Giá trị ghi sốVND,numeric__Số đầu năm (trình bày lại) > Giá trị hợp lý (2)VND
Cổ phiếu niêm yết (1),Cổ phiếu niêm yết (1),Cổ phiếu niêm yết (1),798.022.774.218,795.333.284.075,1.379.446.842.300,584.949.350.870,581.850.125.926,1.192.865.770.800,798022774218.0,795333284075.0,1379446842300.0,584949350870.0,581850125926.0,1192865770800.0
VSC,VSC,VSC,175.885.933.796,175.885.933.796,204.374.352.000,130.725.685.748,130.725.685.748,213.625.643.000,175885933796.0,175885933796.0,204374352000.0,130725685748.0,130725685748.0,213625643000.0
TMS,TMS,TMS,112.910.688.712,112.910.688.712,245.941.939.400,99.738.501.674,99.738.501.674,460.666.194.500,112910688712.0,112910688712.0,245941939400.0,99738501674.0,99738501674.0,460666194500.0
OPC,OPC,OPC,113.218.396.107,113.218.396.107,151.464.696.600,113.076.487.266,113.076.487.266,137.037.565.000,113218396107.0,113218396107.0,151464696600.0,113076487266.0,113076487266.0,137037565000.0
GIL,GIL,GIL,6.844.297.242,6.778.575.000,6.778.575.000,81.121.871.500,81.121.871.500,93.931.110.000,6844297242.0,6778575000.0,6778575000.0,81121871500.0,81121871500.0,93931110000.0
SGN,SGN,SGN,188.492.860.286,188.492.860.286,493.261.486.200,93.450.000.000,93.450.000.000,165.690.000.000,188492860286.0,188492860286.0,493261486200.0,93450000000.0,93450000000.0,165690000000.0
CTD,CTD,CTD,107.474.155.061,107.474.155.061,127.765.695.000,941.861,941.861,2.907.000,107474155061.0,107474155061.0,127765695000.0,941861.0,941861.0,2907000.0
Cổ phiếu niêm yết khác,Cổ phiếu niêm yết khác,Cổ phiếu niêm yết khác,93.196.443.014,90.572.675.113,149.860.098.100,66.835.862.821,63.736.637.877,121.912.351.300,93196443014.0,90572675113.0,149860098100.0,66835862821.0,63736637877.0,121912351300.0
Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,147.905.540.000,147.905.540.000,165.005.540.000,-,-,-,147905540000.0,147905540000.0,165005540000.0,,,
TCT Máy động lực và máy nông nghiệp Việt Nam,TCT Máy động lực và máy nông nghiệp Việt Nam,TCT Máy động lực và máy nông nghiệp Việt Nam,142.900.000.000,142.900.000.000,160.000.000.000,-,-,-,142900000000.0,142900000000.0,160000000000.0,,,
Cổ phiếu chưa niêm yết khác,Cổ phiếu chưa niêm yết khác,Cổ phiếu chưa niêm yết khác,5.005.540.000,5.005.540.000,5.005.540.000,-,-,-,5005540000.0,5005540000.0,5005540000.0,,,
Trái phiếu niêm yết,Trái phiếu niêm yết,Trái phiếu niêm yết,-,-,-,204.948.811.623,204.948.811.623,231.166.558.218,,,,204948811623.0,204948811623.0,231166558218.0
Trái phiếu BID_106,Trái phiếu BID_106,Trái phiếu BID_106,-,-,-,204.948.811.623,204.948.811.623,231.166.558.218,,,,204948811623.0,204948811623.0,231166558218.0
Tổng cộng,Tổng cộng,Tổng cộng,945.928.314.218,943.238.824.075,1.544.452.382.300,789.898.162.493,786.798.937.549,1.424.032.329.018,945928314218.0,943238824075.0,1544452382300.0,789898162493.0,786798937549.0,1424032329018.0
