row_label_raw,row_label_full,1. Lợi nhuận đã thực hiện chưa phân phối năm trước (tại 1/1/2016 và 1/1/2015) > 2. Lỗ chưa thực hiện cuối năm (tại 31/12/2016 và 31/12/2015) > 3. Lợi nhuận đã thực hiện trong năm > 4. Cơ sở lợi nhuận phân phối cho cổ đông hoặc các thành viên góp vốn tính đến cuối năm ((4)=(1)+(2)+(3)),Năm nay VND > 1.421.372.044.016 > (151.094.747.875) > 769.920.544.343 > 2.040.197.840.484,Năm trước (trình bày lại) VND > 1.671.017.627.817 > (186.214.896.781) > 724.364.178.374 > 2.209.166.909.410,numeric__Năm nay VND > 1.421.372.044.016 > (151.094.747.875) > 769.920.544.343 > 2.040.197.840.484,numeric__Năm trước (trình bày lại) VND > 1.671.017.627.817 > (186.214.896.781) > 724.364.178.374 > 2.209.166.909.410
5. Số trích các quỹ từ lợi nhuận,5. Số trích các quỹ từ lợi nhuận,5. Số trích các quỹ từ lợi nhuận,(144.823.972.041),(496.706.422.465),-144823972041.0,-496706422465.0
- Quỹ dự trữ dự trữ bổ sung vốn điều lệ,- Quỹ dự trữ dự trữ bổ sung vốn điều lệ,- Quỹ dự trữ dự trữ bổ sung vốn điều lệ,(42.595.285.894),(37.212.078.692),-42595285894.0,-37212078692.0
- Quỹ dự phòng tài chính và rủi ro nghiệp vụ,- Quỹ dự phòng tài chính và rủi ro nghiệp vụ,- Quỹ dự phòng tài chính và rủi ro nghiệp vụ,(42.595.285.894),(37.212.078.692),-42595285894.0,-37212078692.0
- Phát hành cổ phiếu để tăng vốn,- Phát hành cổ phiếu để tăng vốn,- Phát hành cổ phiếu để tăng vốn,-,(370.013.759.782),,-370013759782.0
"- Trích quỹ từ thiện, quỹ phúc lợi và khen thưởng","- Trích quỹ từ thiện, quỹ phúc lợi và khen thưởng","- Trích quỹ từ thiện, quỹ phúc lợi và khen thưởng",(59.633.400.253),(52.096.910.169),-59633400253.0,-52096910169.0
- Các khoản khác,- Các khoản khác,- Các khoản khác,-,(171.595.130),,-171595130.0
6. Số lãi phân phối cho cổ đông hoặc các thành viên góp vốn trong năm theo Nghị quyết ĐHĐCD,6. Số lãi phân phối cho cổ đông hoặc các thành viên góp vốn trong năm theo Nghị quyết ĐHĐCD,6. Số lãi phân phối cho cổ đông hoặc các thành viên góp vốn trong năm theo Nghị quyết ĐHĐCD,(479.836.918.000),(427.308.850.000),-479836918000.0,-427308850000.0
7. Phân loại lại lợi nhuận thực hiện/chưa thực hiện,7. Phân loại lại lợi nhuận thực hiện/chưa thực hiện,7. Phân loại lại lợi nhuận thực hiện/chưa thực hiện,-,(49.994.489.710),,-49994489710.0
Lợi nhuận tối đa còn có thể phân phối,Lợi nhuận tối đa còn có thể phân phối,Lợi nhuận tối đa còn có thể phân phối,1.415.536.950.443,1.235.157.147.235,1415536950443.0,1235157147235.0
