row_label_raw,row_label_full,col_0,Số dư cuối nămVND,Số dư đầu nămVND,numeric__Số dư cuối nămVND,numeric__Số dư đầu nămVND
Các giao dịch và các khoản tiền,Các giao dịch và các khoản tiền,Các giao dịch và các khoản tiền,Các giao dịch và các khoản tiền,Các giao dịch và các khoản tiền,,
Các khoản tương đương tiền là tiền gửi có kỳ hạn từ 3 tháng trở xuống đang được sử dụng làm tài sản cảm có cho khoản vay ngắn hạn của Công ty.,Các giao dịch và các khoản tiền > Các khoản tương đương tiền là tiền gửi có kỳ hạn từ 3 tháng trở xuống đang được sử dụng làm tài sản cảm có cho khoản vay ngắn hạn của Công ty.,Các khoản tương đương tiền là tiền gửi có kỳ hạn từ 3 tháng trở xuống đang được sử dụng làm tài sản cảm có cho khoản vay ngắn hạn của Công ty.,-,135.000.000.000,,135000000000.0
