row_label_raw,row_label_full,CHỈ TIỀU,Diễn giải,Năm 2015(số liệu đã trìnhbảy trước đây),Phân loại lại,Năm 2015(trình bày lại),numeric__Diễn giải,numeric__Năm 2015(số liệu đã trìnhbảy trước đây),numeric__Phân loại lại,numeric__Năm 2015(trình bày lại)
Chi phí nghiệp vụ lưu ký chứng khoán (*),Chi phí nghiệp vụ lưu ký chứng khoán (*),Chi phí nghiệp vụ lưu ký chứng khoán (*),[8],-,11.074.672.752,11.074.672.752,,,11074672752.0,11074672752.0
Chi phí hoạt động tư vấn tài chính (*),Chi phí hoạt động tư vấn tài chính (*),Chi phí hoạt động tư vấn tài chính (*),[8],-,15.192.643.403,15.192.643.403,,,15192643403.0,15192643403.0
Chi phí dịch vụ khác (*),Chi phí dịch vụ khác (*),Chi phí dịch vụ khác (*),[8],-,33.241.757.819,33.241.757.819,,,33241757819.0,33241757819.0
Chi phí hoạt động kinh doanh (**),Chi phí hoạt động kinh doanh (**),Chi phí hoạt động kinh doanh (**),[8],289.772.029.464,(289.772.029.464),-,,289772029464.0,-289772029464.0,
Chi phí hoạt động (*),Chi phí hoạt động (*),Chi phí hoạt động (*),[8],-,530.514.048.556,530.514.048.556,,,530514048556.0,530514048556.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,,,
Chênh lệch lãi tỷ giá hối đoái đã và chưa thực hiện (*),Doanh thu hoạt động tài chính > Chênh lệch lãi tỷ giá hối đoái đã và chưa thực hiện (*),Chênh lệch lãi tỷ giá hối đoái đã và chưa thực hiện (*),[7],-,6.002.789,6.002.789,,,6002789.0,6002789.0
"Doanh thu, dự thu cổ tức, lãi tiền gửi ngân hàng không cổ định (*)","Doanh thu hoạt động tài chính > Doanh thu, dự thu cổ tức, lãi tiền gửi ngân hàng không cổ định (*)","Doanh thu, dự thu cổ tức, lãi tiền gửi ngân hàng không cổ định (*)",[7],-,135.433.493.731,135.433.493.731,,,135433493731.0,135433493731.0
"Lãi bản, thanh lý các khoản đầu tư vào công ty con, liên kết, liên doanh (*)","Doanh thu hoạt động tài chính > Lãi bản, thanh lý các khoản đầu tư vào công ty con, liên kết, liên doanh (*)","Lãi bản, thanh lý các khoản đầu tư vào công ty con, liên kết, liên doanh (*)",[7],-,190.776.177.687,190.776.177.687,,,190776177687.0,190776177687.0
Cộng doanh thu hoạt động tài chính (*),Doanh thu hoạt động tài chính > Cộng doanh thu hoạt động tài chính (*),Cộng doanh thu hoạt động tài chính (*),[7],-,326.215.674.207,326.215.674.207,,,326215674207.0,326215674207.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,,,,
Chênh lệch lỗ tỷ giá hối đoái đã và chưa thực hiện (*),Chi phí tài chính > Chênh lệch lỗ tỷ giá hối đoái đã và chưa thực hiện (*),Chênh lệch lỗ tỷ giá hối đoái đã và chưa thực hiện (*),[8],-,49.913.132,49.913.132,,,49913132.0,49913132.0
Chi phí lãi vay (*),Chi phí tài chính > Chi phí lãi vay (*),Chi phí lãi vay (*),[8],-,125.206.111.512,125.206.111.512,,,125206111512.0,125206111512.0
"Lỗ bản, thanh lý các khoản đầu tư vào công ty con, liên kết, liên doanh (*)","Chi phí tài chính > Lỗ bản, thanh lý các khoản đầu tư vào công ty con, liên kết, liên doanh (*)","Lỗ bản, thanh lý các khoản đầu tư vào công ty con, liên kết, liên doanh (*)",[8],-,7.776.507.176,7.776.507.176,,,7776507176.0,7776507176.0
Chi phí dự phòng suy giảm giá trị các khoản đầu tư tài chính dài hạn (*),Chi phí tài chính > Chi phí dự phòng suy giảm giá trị các khoản đầu tư tài chính dài hạn (*),Chi phí dự phòng suy giảm giá trị các khoản đầu tư tài chính dài hạn (*),[8],-,(109.643.692.599),(109.643.692.599),,,-109643692599.0,-109643692599.0
Cộng chi phí tài chính (*),Chi phí tài chính > Cộng chi phí tài chính (*),Cộng chi phí tài chính (*),[8],-,23.388.839.221,23.388.839.221,,,23388839221.0,23388839221.0
Chi phí quản lý doanh nghiệp,Chi phí tài chính > Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,[8],13.070.565.157,106.331.723.038,119.402.288.195,,13070565157.0,106331723038.0,119402288195.0
Kết quả hoạt động,Chi phí tài chính > Kết quả hoạt động,Kết quả hoạt động,,1.194.459.632.396,(10.363.694.098),1.184.095.938.298,,1194459632396.0,-10363694098.0,1184095938298.0
Tổng lợi nhuận kế toán trước thuế,Chi phí tài chính > Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,,1.199.503.656.627,(10.363.694.098),1.189.139.962.529,,1199503656627.0,-10363694098.0,1189139962529.0
Lợi nhuận đã thực hiện (*),Chi phí tài chính > Lợi nhuận đã thực hiện (*),Lợi nhuận đã thực hiện (*),,-,957.246.019.164,957.246.019.164,,,957246019164.0,957246019164.0
Lợi nhuận chưa thực hiện (*),Chi phí tài chính > Lợi nhuận chưa thực hiện (*),Lợi nhuận chưa thực hiện (*),,-,231.893.943.365,231.893.943.365,,,231893943365.0,231893943365.0
Lợi nhuận kế toán sau thuế TNDN,Chi phí tài chính > Lợi nhuận kế toán sau thuế TNDN,Lợi nhuận kế toán sau thuế TNDN,,966.621.815.837,(10.363.694.098),956.258.121.739,,966621815837.0,-10363694098.0,956258121739.0
Lãi/(lỗ) từ đánh giá lại các tài sản tài chính sẵn sàng để bán (*),Chi phí tài chính > Lãi/(lỗ) từ đánh giá lại các tài sản tài chính sẵn sàng để bán (*),Lãi/(lỗ) từ đánh giá lại các tài sản tài chính sẵn sàng để bán (*),,-,10.363.694.098,10.363.694.098,,,10363694098.0,10363694098.0
