row_label_raw,row_label_full,col_0,31/12/2021(VND),01/01/2021(VND),numeric__31/12/2021(VND),numeric__01/01/2021(VND)
"a. Chi phí sản xuất, kinh doanh dở dang dài hạn","a. Chi phí sản xuất, kinh doanh dở dang dài hạn","a. Chi phí sản xuất, kinh doanh dở dang dài hạn",898.025.842,1.053.494.656,898025842.0,1053494656.0
Chi phí thực hiện đề tài nghiên cứu sử dụng nấm gió tại NMNĐ Cao Ngạn,Chi phí thực hiện đề tài nghiên cứu sử dụng nấm gió tại NMNĐ Cao Ngạn,Chi phí thực hiện đề tài nghiên cứu sử dụng nấm gió tại NMNĐ Cao Ngạn,-,1.053.494.656,,1053494656.0
Chi phí nghiên cứu xử lý tro bay động trên đường ngang lò hơi CFB tại NMNĐ Sơn Đông,Chi phí nghiên cứu xử lý tro bay động trên đường ngang lò hơi CFB tại NMNĐ Sơn Đông,Chi phí nghiên cứu xử lý tro bay động trên đường ngang lò hơi CFB tại NMNĐ Sơn Đông,842.435.842,,842435842.0,
Khác,Khác,Khác,55.590.000,-,55590000.0,
b. Chi phí xây dựng cơ bản dở dang,b. Chi phí xây dựng cơ bản dở dang,b. Chi phí xây dựng cơ bản dở dang,106.211.244.468,72.239.959.991,106211244468.0,72239959991.0
- Mua sắm,- Mua sắm,- Mua sắm,-,-,,
- Xây dựng cơ bản,- Mua sắm > - Xây dựng cơ bản,- Xây dựng cơ bản,66.643.872.253,56.793.491.551,66643872253.0,56793491551.0
Xây dựng bãi thải xỉ NMNĐ Na Dương giai đoạn 2011 - 2012 (nay là giai đoạn 2013 - 2015),- Mua sắm > Xây dựng bãi thải xỉ NMNĐ Na Dương giai đoạn 2011 - 2012 (nay là giai đoạn 2013 - 2015),Xây dựng bãi thải xỉ NMNĐ Na Dương giai đoạn 2011 - 2012 (nay là giai đoạn 2013 - 2015),20.091.928.227,18.132.291.906,20091928227.0,18132291906.0
Dự án Nhà máy Nhiệt điện Na Dương 2,- Mua sắm > Dự án Nhà máy Nhiệt điện Na Dương 2,Dự án Nhà máy Nhiệt điện Na Dương 2,37.276.974.059,34.287.551.485,37276974059.0,34287551485.0
Dự án khác,- Mua sắm > Dự án khác,Dự án khác,9.274.969.967,4.373.648.160,9274969967.0,4373648160.0
- Chi phí sửa chữa lớn TSCĐ,- Mua sắm > - Chi phí sửa chữa lớn TSCĐ,- Chi phí sửa chữa lớn TSCĐ,39.567.372.215,15.446.468.440,39567372215.0,15446468440.0
Hệ thống xử lý than,- Mua sắm > Hệ thống xử lý than,Hệ thống xử lý than,515.643.000,13.097.647.984,515643000.0,13097647984.0
Lò hơi số 1,- Mua sắm > Lò hơi số 1,Lò hơi số 1,3.154.921.151,-,3154921151.0,
Lò hơi số 2,- Mua sắm > Lò hơi số 2,Lò hơi số 2,3.957.306.626,-,3957306626.0,
Đại tu tổ máy H1,- Mua sắm > Đại tu tổ máy H1,Đại tu tổ máy H1,6.953.443.217,-,6953443217.0,
"Hệ thống cấp than vào lò 1, 2","- Mua sắm > Hệ thống cấp than vào lò 1, 2","Hệ thống cấp than vào lò 1, 2",6.240.189.550,-,6240189550.0,
Hệ thống vận chuyển than năm 2021,- Mua sắm > Hệ thống vận chuyển than năm 2021,Hệ thống vận chuyển than năm 2021,4.094.802.057,-,4094802057.0,
Hệ thống Bypass tổ máy 1,- Mua sắm > Hệ thống Bypass tổ máy 1,Hệ thống Bypass tổ máy 1,7.038.272.065,-,7038272065.0,
Dự án khác,- Mua sắm > Dự án khác,Dự án khác,7.612.794.549,2.348.820.456,7612794549.0,2348820456.0
Cộng,- Mua sắm > Cộng,Cộng,107.109.270.310,73.293.454.647,107109270310.0,73293454647.0
