row_label_raw,row_label_full,col_0,Năm 2021(VND),numeric__Năm 2021(VND)
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,942.021.452.891,942021452891.0
"Các khoản điều chỉnh tăng, giảm lợi nhuận kế toán để xác định lợi nhuận chịu thuế thu nhập doanh nghiệp:","Các khoản điều chỉnh tăng, giảm lợi nhuận kế toán để xác định lợi nhuận chịu thuế thu nhập doanh nghiệp:","Các khoản điều chỉnh tăng, giảm lợi nhuận kế toán để xác định lợi nhuận chịu thuế thu nhập doanh nghiệp:",(256.042.069.275),-256042069275.0
"- Các khoản điều chỉnh tăng(Do hoạt động nhận sáp nhập doanh nghiệp và các điều chỉnh theo kết luận của Kiểm toán nhà nước, ...)","- Các khoản điều chỉnh tăng(Do hoạt động nhận sáp nhập doanh nghiệp và các điều chỉnh theo kết luận của Kiểm toán nhà nước, ...)","- Các khoản điều chỉnh tăng(Do hoạt động nhận sáp nhập doanh nghiệp và các điều chỉnh theo kết luận của Kiểm toán nhà nước, ...)",1.547.597.330.091,1547597330091.0
"- Các khoản điều chỉnh giảm(Do hoạt động nhận sáp nhập nhập doanh nghiệp và các thu nhập được miễn thuế, ...)","- Các khoản điều chỉnh giảm(Do hoạt động nhận sáp nhập nhập doanh nghiệp và các thu nhập được miễn thuế, ...)","- Các khoản điều chỉnh giảm(Do hoạt động nhận sáp nhập nhập doanh nghiệp và các thu nhập được miễn thuế, ...)",(1.920.388.640.382),-1920388640382.0
Tổng thu nhập chịu thuế,Tổng thu nhập chịu thuế,Tổng thu nhập chịu thuế,569.230.142.600,569230142600.0
Chuyển lỗ năm trước,Chuyển lỗ năm trước,Chuyển lỗ năm trước,-,
Thu nhập tính thuế,Chuyển lỗ năm trước > Thu nhập tính thuế,Thu nhập tính thuế,569.230.142.600,569230142600.0
Thuế TNDN phải nộp theo thuế suất 20%,Chuyển lỗ năm trước > Thuế TNDN phải nộp theo thuế suất 20%,Thuế TNDN phải nộp theo thuế suất 20%,113.846.028.520,113846028520.0
Thuế TNDN được miễn giảm (*),Chuyển lỗ năm trước > Thuế TNDN được miễn giảm (*),Thuế TNDN được miễn giảm (*),(56.923.014.260),-56923014260.0
Điều chỉnh chi phí thuế TNDN của các năm trước,Chuyển lỗ năm trước > Điều chỉnh chi phí thuế TNDN của các năm trước,Điều chỉnh chi phí thuế TNDN của các năm trước,6.861.203.127,6861203127.0
Tổng chi phí thuế TNDN hiện hành,Chuyển lỗ năm trước > Tổng chi phí thuế TNDN hiện hành,Tổng chi phí thuế TNDN hiện hành,63.784.217.387,63784217387.0
