row_label_raw,row_label_full,CHI TIÊU,Mã số,TIV,Năm 2021,Năm 2020,numeric__Mã số,numeric__TIV,numeric__Năm 2021,numeric__Năm 2020
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KD,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KD,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KD,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KD,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KD,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KD,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KD,,,,
Lợi nhuận trước thuế,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KD > Lợi nhuận trước thuế,Lợi nhuận trước thuế,01,,942.021.452.891,619.550.062.620,1.0,,942021452891.0,619550062620.0
Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,,,,
Khấu hao TSCĐ và BĐSDĐT,Điều chỉnh cho các khoản: > Khấu hao TSCĐ và BĐSDĐT,Khấu hao TSCĐ và BĐSDĐT,02,,1.459.264.386.545,1.105.614.450.144,2.0,,1459264386545.0,1105614450144.0
Các khoản dự phòng,Điều chỉnh cho các khoản: > Các khoản dự phòng,Các khoản dự phòng,03,,(1.616.750.354.924),659.641.961.643,3.0,,-1616750354924.0,659641961643.0
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","Điều chỉnh cho các khoản: > Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,,(23.446.223.677),3.578.522.927,4.0,,-23446223677.0,3578522927.0
Lãi lỗ từ hoạt động đầu tư,Điều chỉnh cho các khoản: > Lãi lỗ từ hoạt động đầu tư,Lãi lỗ từ hoạt động đầu tư,05,,(347.430.731.126),(280.384.510.827),5.0,,-347430731126.0,-280384510827.0
Chi phí lãi vay,Điều chỉnh cho các khoản: > Chi phí lãi vay,Chi phí lãi vay,06,,127.900.332.237,202.468.862.667,6.0,,127900332237.0,202468862667.0
Các khoản điều chỉnh khác,Điều chỉnh cho các khoản: > Các khoản điều chỉnh khác,Các khoản điều chỉnh khác,07,,-,-,7.0,,,
Lợi nhuận từ HĐKD trước những thay đổi vốn lưu động,Điều chỉnh cho các khoản: > Lợi nhuận từ HĐKD trước những thay đổi vốn lưu động,Lợi nhuận từ HĐKD trước những thay đổi vốn lưu động,08,,541.558.861.946,2.310.469.349.174,8.0,,541558861946.0,2310469349174.0
"Tăng, Giảm các khoản phải thu","Điều chỉnh cho các khoản: > Tăng, Giảm các khoản phải thu","Tăng, Giảm các khoản phải thu",09,,257.219.485.120,(400.676.604.794),9.0,,257219485120.0,-400676604794.0
"Tăng, Giảm hàng tồn kho","Điều chỉnh cho các khoản: > Tăng, Giảm hàng tồn kho","Tăng, Giảm hàng tồn kho",10,,(241.803.232.847),(23.181.760.246),10.0,,-241803232847.0,-23181760246.0
"Tăng, Giảm các khoản phải trả (Không kể lãi vay phải trả và thuế TNDN phải nộp)","Điều chỉnh cho các khoản: > Tăng, Giảm các khoản phải trả (Không kể lãi vay phải trả và thuế TNDN phải nộp)","Tăng, Giảm các khoản phải trả (Không kể lãi vay phải trả và thuế TNDN phải nộp)",11,,349.452.962.049,476.025.214.316,11.0,,349452962049.0,476025214316.0
"Tăng, Giảm chi phí trả trước","Điều chỉnh cho các khoản: > Tăng, Giảm chi phí trả trước","Tăng, Giảm chi phí trả trước",12,,86.888.273.803,(36.896.617.060),12.0,,86888273803.0,-36896617060.0
Tiền lãi vay đã trả,Điều chỉnh cho các khoản: > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,,(135.494.219.583),(733.962.688.718),14.0,,-135494219583.0,-733962688718.0
Thuế thu nhập doanh nghiệp đã nộp,Điều chỉnh cho các khoản: > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,,(159.653.080.504),(221.180.842.152),15.0,,-159653080504.0,-221180842152.0
Tiền thu khác từ hoạt động kinh doanh,Điều chỉnh cho các khoản: > Tiền thu khác từ hoạt động kinh doanh,Tiền thu khác từ hoạt động kinh doanh,16,,14.057.616.732,9.569.258.638,16.0,,14057616732.0,9569258638.0
Tiền chi khác cho hoạt động kinh doanh,Điều chỉnh cho các khoản: > Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,17,,(58.773.420.194),(40.940.728.040),17.0,,-58773420194.0,-40940728040.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,Điều chỉnh cho các khoản: > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,653.453.246.522,1.339.224.581.118,20.0,,653453246522.0,1339224581118.0
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
"Tiền chi mua sắm, xây dựng TSCĐ và TS DH khác","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi mua sắm, xây dựng TSCĐ và TS DH khác","Tiền chi mua sắm, xây dựng TSCĐ và TS DH khác",21,,(536.042.459.501),(132.209.656.335),21.0,,-536042459501.0,-132209656335.0
"Tiền thu từ thanh lý, nhượng bán TSCĐ và các TSDH khác","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu từ thanh lý, nhượng bán TSCĐ và các TSDH khác","Tiền thu từ thanh lý, nhượng bán TSCĐ và các TSDH khác",22,,-,(30.000.000),22.0,,,-30000000.0
"Tiền chi cho vay, mua công cụ nợ của đơn vị khác","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi cho vay, mua công cụ nợ của đơn vị khác","Tiền chi cho vay, mua công cụ nợ của đơn vị khác",23,,(2.637.000.000.000),(2.897.044.148.252),23.0,,-2637000000000.0,-2897044148252.0
"Tiền thu hồi cho vay, bán công cụ nợ của đơn vị khác","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu hồi cho vay, bán công cụ nợ của đơn vị khác","Tiền thu hồi cho vay, bán công cụ nợ của đơn vị khác",24,,3.060.415.630.436,2.748.241.537.968,24.0,,3060415630436.0,2748241537968.0
Tiền chi đầu tư góp vốn vào đơn vị khác,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi đầu tư góp vốn vào đơn vị khác,Tiền chi đầu tư góp vốn vào đơn vị khác,25,,-,(165.001.407.202),25.0,,,-165001407202.0
