row_label_raw,row_label_full,TÀI SẢN,Mã số,TM,31/12/2021,01/01/2021,numeric__Mã số,numeric__TM,numeric__31/12/2021,numeric__01/01/2021
TÀI SẢN NGĂN HẠN,TÀI SẢN NGĂN HẠN,TÀI SẢN NGĂN HẠN,100,,4.192.536.620.335,5.719.606.694.282,100.0,,4192536620335.0,5719606694282.0
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,110,5.1,143.073.489.593,413.810.821.504,110.0,51.0,143073489593.0,413810821504.0
Tiền,Tiền,Tiền,111,,143.073.489.593,413.810.821.504,111.0,,143073489593.0,413810821504.0
Các khoản tương đương tiền,Các khoản tương đương tiền,Các khoản tương đương tiền,112,,-,-,112.0,,,
Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,120,5.2,14.700.000.000,24.700.000.000,120.0,52.0,14700000000.0,24700000000.0
Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,123,,14.700.000.000,24.700.000.000,123.0,,14700000000.0,24700000000.0
Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,130,,3.572.969.076.204,5.104.169.178.401,130.0,,3572969076204.0,5104169178401.0
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,131,5.4,3.485.189.666.186,3.776.519.367.374,131.0,54.0,3485189666186.0,3776519367374.0
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,132,,8.335.729.926,13.957.565.103,132.0,,8335729926.0,13957565103.0
Phải thu nội bộ ngắn hạn,Phải thu nội bộ ngắn hạn,Phải thu nội bộ ngắn hạn,133,,-,226.114.905,133.0,,,226114905.0
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,135,5.3,62.939.045.836,1.232.293.893.663,135.0,53.0,62939045836.0,1232293893663.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,5.5,16.999.521.255,81.172.237.356,136.0,55.0,16999521255.0,81172237356.0
