row_label_raw,row_label_full,col_0,Doanh thu bán hàngVND,Doanh thu cung cấp dịch vụVND,Tổng cộngVND,numeric__Doanh thu bán hàngVND,numeric__Doanh thu cung cấp dịch vụVND,numeric__Tổng cộngVND
Năm 2020,Năm 2020,Năm 2020,Năm 2020,Năm 2020,Năm 2020,,,
Doanh thu,Năm 2020 > Doanh thu,Doanh thu,11.192.369.348.207,90.433.556.667,11.282.802.904.874,11192369348207.0,90433556667.0,11282802904874.0
Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,-,-,-,,,
Giá vốn hàng bán,Các khoản giảm trừ > Giá vốn hàng bán,Giá vốn hàng bán,9.758.965.403.855,86.352.314.643,9.845.317.718.498,9758965403855.0,86352314643.0,9845317718498.0
Lợi nhuận gộp,Các khoản giảm trừ > Lợi nhuận gộp,Lợi nhuận gộp,1.433.403.944.352,4.081.242.024,1.437.485.186.376,1433403944352.0,4081242024.0,1437485186376.0
Năm 2021,Năm 2021,Năm 2021,Năm 2021,Năm 2021,Năm 2021,,,
Doanh thu,Năm 2021 > Doanh thu,Doanh thu,11.420.066.452.993,101.904.146.764,11.521.970.599.757,11420066452993.0,101904146764.0,11521970599757.0
Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,-,-,-,,,
Giá vốn hàng bán,Các khoản giảm trừ > Giá vốn hàng bán,Giá vốn hàng bán,10.348.101.265.840,98.219.592.240,10.446.320.858.080,10348101265840.0,98219592240.0,10446320858080.0
Lợi nhuận gộp,Các khoản giảm trừ > Lợi nhuận gộp,Lợi nhuận gộp,1.071.965.187.153,3.684.554.524,1.075.649.741.677,1071965187153.0,3684554524.0,1075649741677.0
