row_label_raw,row_label_full,col_0,col_1,01/01/2021(VND) > Giá trị,01/01/2021(VND) > Khả năngtrả nợ,Tăng trong năm,Giảm trong năm,31/12/2021(VND) > Giá trị,31/12/2021(VND) > Khả năngtrả nợ,numeric__col_1,numeric__01/01/2021(VND) > Giá trị,numeric__01/01/2021(VND) > Khả năngtrả nợ,numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__31/12/2021(VND) > Giá trị,numeric__31/12/2021(VND) > Khả năngtrả nợ
a.,a.,a.,Gốc vay ngắn hạn,943.000.000.000,943.000.000.000,4.209.911.196.902,3.623.000.000.000,1.529.911.196.902,1.529.911.196.902,,943000000000.0,943000000000.0,4209911196902.0,3623000000000.0,1529911196902.0,1529911196902.0
a.1,a.1,a.1,Gốc vay ngắn hạn,943.000.000.000,943.000.000.000,4.209.911.196.902,3.623.000.000.000,1.529.911.196.902,1.529.911.196.902,,943000000000.0,943000000000.0,4209911196902.0,3623000000000.0,1529911196902.0,1529911196902.0
,,,Vay ngân hàng,943.000.000.000,943.000.000.000,4.209.911.196.902,3.623.000.000.000,1.529.911.196.902,1.529.911.196.902,,943000000000.0,943000000000.0,4209911196902.0,3623000000000.0,1529911196902.0,1529911196902.0
b.,b.,b.,Gốc vay và nợ dài hạn,7.610.216.773.874,7.610.216.773.874,343.156.436.447,1.675.535.036.788,6.277.838.173.533,6.277.838.173.533,,7610216773874.0,7610216773874.0,343156436447.0,1675535036788.0,6277838173533.0,6277838173533.0
b1.,b1.,b1.,Gốc vay dài hạn,7.245.216.773.874,7.245.216.773.874,343.156.436.447,1.605.535.036.788,5.982.838.173.533,5.982.838.173.533,,7245216773874.0,7245216773874.0,343156436447.0,1605535036788.0,5982838173533.0,5982838173533.0
-,-,-,Từ 1 năm đến 5 năm,28.765.322.500,28.765.322.500,40.447.846.920,22.966.715.000,46.246.454.420,46.246.454.420,,28765322500.0,28765322500.0,40447846920.0,22966715000.0,46246454420.0,46246454420.0
,,,Vay ngân hàng,28.765.322.500,28.765.322.500,40.447.846.920,22.966.715.000,46.246.454.420,46.246.454.420,,28765322500.0,28765322500.0,40447846920.0,22966715000.0,46246454420.0,46246454420.0
-,-,-,Trên 5 năm,7.216.451.451.374,7.216.451.451.374,302.708.589.527,1.582.568.321.788,5.936.591.719.113,5.936.591.719.113,,7216451451374.0,7216451451374.0,302708589527.0,1582568321788.0,5936591719113.0,5936591719113.0
,,,Vay ngân hàng,3.969.102.530.090,3.969.102.530.090,296.410.929.340,734.627.931.828,3.530.885.527.602,3.530.885.527.602,,3969102530090.0,3969102530090.0,296410929340.0,734627931828.0,3530885527602.0,3530885527602.0
,,,Vay Tập đoàn,3.247.348.921.284,3.247.348.921.284,6.297.660.187,847.940.389.960,2.405.706.191.511,2.405.706.191.511,,3247348921284.0,3247348921284.0,6297660187.0,847940389960.0,2405706191511.0,2405706191511.0
b2.,b2.,b2.,Gốc nợ dài hạn,365.000.000.000,365.000.000.000,-,70.000.000.000,295.000.000.000,295.000.000.000,,365000000000.0,365000000000.0,,70000000000.0,295000000000.0,295000000000.0
-,-,-,Từ 5 năm đến 10 năm,365.000.000.000,365.000.000.000,-,70.000.000.000,295.000.000.000,295.000.000.000,,365000000000.0,365000000000.0,,70000000000.0,295000000000.0,295000000000.0
,,,Trái phiếu phát hành (*),365.000.000.000,365.000.000.000,-,70.000.000.000,295.000.000.000,295.000.000.000,,365000000000.0,365000000000.0,,70000000000.0,295000000000.0,295000000000.0
,,,Cộng,8.553.216.773.874,8.553.216.773.874,4.553.067.633.349,5.298.535.036.788,7.807.749.370.435,7.807.749.370.435,,8553216773874.0,8553216773874.0,4553067633349.0,5298535036788.0,7807749370435.0,7807749370435.0
