row_label_raw,row_label_full,Ngày 01/01/2021 > Giá trị ghi số:,Dưới 1 năm > Ngày 01/01/2021 > Giá trị ghi số:,Từ 1 năm trở lên > Ngày 01/01/2021 > Giá trị ghi số:,Tổng cộng > Ngày 01/01/2021 > Giá trị ghi số:,numeric__Dưới 1 năm > Ngày 01/01/2021 > Giá trị ghi số:,numeric__Từ 1 năm trở lên > Ngày 01/01/2021 > Giá trị ghi số:,numeric__Tổng cộng > Ngày 01/01/2021 > Giá trị ghi số:
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,413.810.821.504,-,413.810.821.504,413810821504.0,,413810821504.0
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,3.776.519.367.374,-,3.776.519.367.374,3776519367374.0,,3776519367374.0
Đầu tư tài chính,Đầu tư tài chính,Đầu tư tài chính,24.700.000.000,1.224.938.734.159,1.249.638.734.159,24700000000.0,1224938734159.0,1249638734159.0
Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,1.232.293.893.663,1.766.516.247.541,2.998.810.141.204,1232293893663.0,1766516247541.0,2998810141204.0
Phải thu khác,Phải thu khác,Phải thu khác,81.172.237.356,200.000.000,81.372.237.356,81172237356.0,200000000.0,81372237356.0
Trừ:,Trừ:,Trừ:,Trừ:,Trừ:,Trừ:,,,
Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,-,-,-,,,
Dự phòng giảm giá các khoản đầu tư,Dự phòng giảm giá các khoản đầu tư,Dự phòng giảm giá các khoản đầu tư,-,-,-,,,
Tổng cộng,Dự phòng giảm giá các khoản đầu tư > Tổng cộng,Tổng cộng,5.528.496.319.897,2.991.654.981.700,8.520.151.301.597,5528496319897.0,2991654981700.0,8520151301597.0
Ngày 01/01/2021,Ngày 01/01/2021,Ngày 01/01/2021,Ngày 01/01/2021,Ngày 01/01/2021,Ngày 01/01/2021,,,
Phải trả người bán,Ngày 01/01/2021 > Phải trả người bán,Phải trả người bán,2.270.959.420.363,399.289.200.586,2.670.248.620.949,2270959420363.0,399289200586.0,2670248620949.0
"Phải trả, PN khác và chi phí phải trả","Ngày 01/01/2021 > Phải trả, PN khác và chi phí phải trả","Phải trả, PN khác và chi phí phải trả",57.976.186.947,-,57.976.186.947,57976186947.0,,57976186947.0
Các khoản vay và nợ,Ngày 01/01/2021 > Các khoản vay và nợ,Các khoản vay và nợ,2.514.799.598.071,6.038.417.175.803,8.553.216.773.874,2514799598071.0,6038417175803.0,8553216773874.0
Tổng cộng,Ngày 01/01/2021 > Tổng cộng,Tổng cộng,4.843.735.205.381,6.437.706.376.389,11.281.441.581.770,4843735205381.0,6437706376389.0,11281441581770.0
Chênh lệch thanh khoản thuần,Ngày 01/01/2021 > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,684.761.114.516,(3.446.051.394.689),(2.761.290.280.173),684761114516.0,-3446051394689.0,-2761290280173.0
