row_label_raw,row_label_full,Ngày 31/12/2021 > Giá trị ghi số:,Dưới 1 năm > Ngày 31/12/2021 > Giá trị ghi số:,Từ 1 năm trở lên > Ngày 31/12/2021 > Giá trị ghi số:,Tổng cộng > Ngày 31/12/2021 > Giá trị ghi số:,numeric__Dưới 1 năm > Ngày 31/12/2021 > Giá trị ghi số:,numeric__Từ 1 năm trở lên > Ngày 31/12/2021 > Giá trị ghi số:,numeric__Tổng cộng > Ngày 31/12/2021 > Giá trị ghi số:
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,143.073.489.593,-,143.073.489.593,143073489593.0,,143073489593.0
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,3.485.189.666.186,-,3.485.189.666.186,3485189666186.0,,3485189666186.0
Đầu tư tài chính,Đầu tư tài chính,Đầu tư tài chính,14.700.000.000,1.224.938.734.159,1.239.638.734.159,14700000000.0,1224938734159.0,1239638734159.0
Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,62.939.045.836,213.174.940.840,276.113.986.676,62939045836.0,213174940840.0,276113986676.0
Phải thu khác,Phải thu khác,Phải thu khác,16.999.521.255,200.000.000,17.199.521.255,16999521255.0,200000000.0,17199521255.0
Trừ:,Trừ:,Trừ:,Trừ:,Trừ:,Trừ:,,,
Dự phòng phải thu khó đòi,Trừ: > Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,(494.886.999),-,(494.886.999),-494886999.0,,-494886999.0
Dự phòng giảm giá các khoản đầu tư,Dự phòng giảm giá các khoản đầu tư,Dự phòng giảm giá các khoản đầu tư,-,-,-,,,
Tổng cộng,Dự phòng giảm giá các khoản đầu tư > Tổng cộng,Tổng cộng,3.722.406.835.871,1.438.313.674.999,5.160.720.510.870,3722406835871.0,1438313674999.0,5160720510870.0
Ngày 31/12/2021,Ngày 31/12/2021,Ngày 31/12/2021,Ngày 31/12/2021,Ngày 31/12/2021,Ngày 31/12/2021,,,
Phải trả người bán,Ngày 31/12/2021 > Phải trả người bán,Phải trả người bán,1.884.852.458.873,370.216.414.600,2.255.068.873.473,1884852458873.0,370216414600.0,2255068873473.0
"Phải trả, phải nộp khác và chi phí phải trả","Ngày 31/12/2021 > Phải trả, phải nộp khác và chi phí phải trả","Phải trả, phải nộp khác và chi phí phải trả",256.085.531.710,-,256.085.531.710,256085531710.0,,256085531710.0
Các khoản vay và nợ,Ngày 31/12/2021 > Các khoản vay và nợ,Các khoản vay và nợ,3.263.817.244.910,4.543.932.125.525,7.807.749.370.435,3263817244910.0,4543932125525.0,7807749370435.0
Tổng cộng,Ngày 31/12/2021 > Tổng cộng,Tổng cộng,5.404.755.235.493,4.914.148.540.125,10.318.903.775.618,5404755235493.0,4914148540125.0,10318903775618.0
Chênh lệch thanh khoản thuần,Ngày 31/12/2021 > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,(1.682.348.399.622),(3.475.834.865.126),(5.158.183.264.748),-1682348399622.0,-3475834865126.0,-5158183264748.0
