row_label_raw,row_label_full,col_0,Nhà cửavat kiến trụcVND,"Mãy móc, trangthiết bịVND","Phương tiền vántai, truyền dânVND","Thiết bị, dụng cụquan lýVND",TSCĐ hữuhình khácVND,Tổng cộngVND,numeric__Nhà cửavat kiến trụcVND,"numeric__Mãy móc, trangthiết bịVND","numeric__Phương tiền vántai, truyền dânVND","numeric__Thiết bị, dụng cụquan lýVND",numeric__TSCĐ hữuhình khácVND,numeric__Tổng cộngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,6.814.316.378.714,14.771.848.600.575,253.202.406.709,54.670.575.254,255.846.386.238,22.149.884.347.490,6814316378714.0,14771848600575.0,253202406709.0,54670575254.0,255846386238.0,22149884347490.0
- Tăng do nhận sáp nhập NDCP,NGUYÊN GIÁ > - Tăng do nhận sáp nhập NDCP,- Tăng do nhận sáp nhập NDCP,1.931.698.305.561,8.249.533.599.762,62.884.937.980,3.304.240.700,4.231.769.415,10.251.652.853.418,1931698305561.0,8249533599762.0,62884937980.0,3304240700.0,4231769415.0,10251652853418.0
- Mua trong kỳ,- Mua trong kỳ,- Mua trong kỳ,-,-,-,-,-,-,,,,,,
- Đầu tư XDCB hoàn thành,- Mua trong kỳ > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,88.208.483.940,152.812.081.410,-,3.240.046.817,547.808,244.261.159.975,88208483940.0,152812081410.0,,3240046817.0,547808.0,244261159975.0
- Tăng khác,- Mua trong kỳ > - Tăng khác,- Tăng khác,-,352.138.742.458,61.393.292.057,-,-,413.532.034.515,,352138742458.0,61393292057.0,,,413532034515.0
"- Thanh lý, nhượng bán","- Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,-,-,-,-,,,,,,
- Giảm khác,"- Thanh lý, nhượng bán > - Giảm khác",- Giảm khác,(162.380.740.390),(16.435.896.309),-,(32.887.876.256),(244.576.720.648),(456.281.233.603),-162380740390.0,-16435896309.0,,-32887876256.0,-244576720648.0,-456281233603.0
Số dư cuối năm,"- Thanh lý, nhượng bán > Số dư cuối năm",Số dư cuối năm,8.671.842.427.825,23.509.897.127.896,377.480.636.746,28.326.986.515,15.501.982.813,32.603.049.161.795,8671842427825.0,23509897127896.0,377480636746.0,28326986515.0,15501982813.0,32603049161795.0
GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN > Số dư đầu năm,Số dư đầu năm,2.574.900.233.707,9.777.360.941.923,229.734.637.333,52.036.962.326,251.342.034.113,12.885.374.809.402,2574900233707.0,9777360941923.0,229734637333.0,52036962326.0,251342034113.0,12885374809402.0
- Tăng do nhận sáp nhập NDCP,GIÁ TRỊ HAO MÒN > - Tăng do nhận sáp nhập NDCP,- Tăng do nhận sáp nhập NDCP,633.176.270.660,5.571.703.618.281,60.576.086.193,2.440.274.556,4.231.769.415,6.272.128.019.105,633176270660.0,5571703618281.0,60576086193.0,2440274556.0,4231769415.0,6272128019105.0
- Khẩu hao trong năm,GIÁ TRỊ HAO MÒN > - Khẩu hao trong năm,- Khẩu hao trong năm,343.696.722.967,1.089.632.610.168,20.285.295.645,2.603.994.510,544.725.426,1.456.763.348.716,343696722967.0,1089632610168.0,20285295645.0,2603994510.0,544725426.0,1456763348716.0
- Hao mòn trong năm,GIÁ TRỊ HAO MÒN > - Hao mòn trong năm,- Hao mòn trong năm,638.223.434,-,-,-,-,638.223.434,638223434.0,,,,,638223434.0
- Tăng khác,GIÁ TRỊ HAO MÒN > - Tăng khác,- Tăng khác,-,228.818.826.110,61.092.896.162,4.570.836,-,289.916.293.108,,228818826110.0,61092896162.0,4570836.0,,289916293108.0
"- Thanh lý, nhượng bán","- Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,,,,,,,,,,,
- Giảm khác,"- Thanh lý, nhượng bán > - Giảm khác",- Giảm khác,(37.552.053.408),(22.851.802.820),-,(32.887.776.257),(242.744.443.233),(336.036.075.718),-37552053408.0,-22851802820.0,,-32887776257.0,-242744443233.0,-336036075718.0
Số dư cuối năm,"- Thanh lý, nhượng bán > Số dư cuối năm",Số dư cuối năm,3.514.859.397.360,16.644.664.193.662,371.688.915.333,24.198.025.971,13.374.085.721,20.568.784.618.047,3514859397360.0,16644664193662.0,371688915333.0,24198025971.0,13374085721.0,20568784618047.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,4.239.416.145.007,4.994.487.658.652,23.467.769.376,2.633.612.928,4.504.352.125,9.264.509.538.088,4239416145007.0,4994487658652.0,23467769376.0,2633612928.0,4504352125.0,9264509538088.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,5.156.983.030.465,6.865.232.934.234,5.791.721.413,4.128.960.544,2.127.897.092,12.034.264.543.748,5156983030465.0,6865232934234.0,5791721413.0,4128960544.0,2127897092.0,12034264543748.0
Giá trị còn lại cuối năm của TSCĐ hữu hình dùng để thế chấp đảm bảo khoản vay:,GIÁ TRỊ CÒN LẠI > Giá trị còn lại cuối năm của TSCĐ hữu hình dùng để thế chấp đảm bảo khoản vay:,Giá trị còn lại cuối năm của TSCĐ hữu hình dùng để thế chấp đảm bảo khoản vay:,Giá trị còn lại cuối năm của TSCĐ hữu hình dùng để thế chấp đảm bảo khoản vay:,Giá trị còn lại cuối năm của TSCĐ hữu hình dùng để thế chấp đảm bảo khoản vay:,Giá trị còn lại cuối năm của TSCĐ hữu hình dùng để thế chấp đảm bảo khoản vay:,Giá trị còn lại cuối năm của TSCĐ hữu hình dùng để thế chấp đảm bảo khoản vay:,Giá trị còn lại cuối năm của TSCĐ hữu hình dùng để thế chấp đảm bảo khoản vay:,11.091.524.724.257,,,,,,11091524724257.0
