row_label_raw,row_label_full,col_0,Von góp của chủ sở hữu VND,Thăng dư vốn cổ phần VND,Chếnh lệch đánh giá lại TS VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng cộng VND,numeric__Von góp của chủ sở hữu VND,numeric__Thăng dư vốn cổ phần VND,numeric__Chếnh lệch đánh giá lại TS VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng cộng VND
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,6.800.000.000.000,-,-,3.269.425.647,737.999.168.432,7.541.268.594.079,6800000000000.0,,,3269425647.0,737999168432.0,7541268594079.0
Tăng vốn trong năm trước,Tăng vốn trong năm trước,Tăng vốn trong năm trước,-,-,-,-,-,-,,,,,,
Tăng khác,Tăng khác,Tăng khác,-,-,-,-,-,-,,,,,,
Lãi trong năm trước,Tăng khác > Lãi trong năm trước,Lãi trong năm trước,-,-,-,-,644.911.177.277,644.911.177.277,,,,,644911177277.0,644911177277.0
Phân phối lợi nhuận,Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,-,-,-,-,,,,,,
Giảm khác,Phân phối lợi nhuận > Giảm khác,Giảm khác,-,-,-,-,(538.460.000.000),(538.460.000.000),,,,,-538460000000.0,-538460000000.0
,,,-,-,-,-,-,-,,,,,,
Số dư cuối năm trước/ đầu năm nay,Phân phối lợi nhuận > Số dư cuối năm trước/ đầu năm nay,Số dư cuối năm trước/ đầu năm nay,6.800.000.000.000,-,-,3.269.425.647,844.450.345.709,7.647.719.771.356,6800000000000.0,,,3269425647.0,844450345709.0,7647719771356.0
Tăng vốn trong năm nay,Phân phối lợi nhuận > Tăng vốn trong năm nay,Tăng vốn trong năm nay,27.674.750.000,-,-,-,-,27.674.750.000,27674750000.0,,,,,27674750000.0
Tăng khác,Phân phối lợi nhuận > Tăng khác,Tăng khác,-,-,-,34.347.000.000,-,34.347.000.000,,,,34347000000.0,,34347000000.0
Lãi trong năm nay,Phân phối lợi nhuận > Lãi trong năm nay,Lãi trong năm nay,-,-,-,-,563.229.039.760,563.229.039.760,,,,,563229039760.0,563229039760.0
Giảm vốn trong năm nay,Giảm vốn trong năm nay,Giảm vốn trong năm nay,-,-,-,-,-,-,,,,,,
Phân phối lợi nhuận (*),Giảm vốn trong năm nay > Phân phối lợi nhuận (*),Phân phối lợi nhuận (*),-,-,-,-,(523.117.750.000),(523.117.750.000),,,,,-523117750000.0,-523117750000.0
Giảm khác,Giảm vốn trong năm nay > Giảm khác,Giảm khác,-,(45.000.000),-,-,,(45.000.000),,-45000000.0,,,,-45000000.0
Số dư cuối năm,Giảm vốn trong năm nay > Số dư cuối năm,Số dư cuối năm,6.827.674.750.000,(45.000.000),-,37.616.425.647,884.561.635.469,7.749.807.811.116,6827674750000.0,-45000000.0,,37616425647.0,884561635469.0,7749807811116.0
