row_label_raw,row_label_full,NGUỒN VỐN,Mã số,TM,31/12/2021,01/01/2021,numeric__Mã số,numeric__TM,numeric__31/12/2021,numeric__01/01/2021
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,300,,10.519.091.249.474,11.549.074.617.893,300.0,,10519091249474.0,11549074617893.0
Nợ ngắn hạn,Nợ ngắn hạn,Nợ ngắn hạn,310,,5.586.821.692.278,5.093.247.224.433,310.0,,5586821692278.0,5093247224433.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,311,5.12,1.884.852.458.873,2.270.959.420.363,311.0,512.0,1884852458873.0,2270959420363.0
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,312,,1.010.478.000,1.456.895.800,312.0,,1010478000.0,1456895800.0
Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,313,5.14,38.363.925.626,111.022.243.244,313.0,514.0,38363925626.0,111022243244.0
Phải trả người lao động,Phải trả người lao động,Phải trả người lao động,314,,118.436.784.108,111.753.013.862,314.0,,118436784108.0,111753013862.0
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,315,5.15,39.358.792.942,46.351.257.304,315.0,515.0,39358792942.0,46351257304.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,319,5.16,216.726.738.768,11.624.929.643,319.0,516.0,216726738768.0,11624929643.0
Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,320,5.13,3.263.817.244.910,2.514.799.598.071,320.0,513.0,3263817244910.0,2514799598071.0
"Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi",322,,24.255.269.051,25.279.866.146,322.0,,24255269051.0,25279866146.0
Nợ dài hạn,Nợ dài hạn,Nợ dài hạn,330,,4.932.269.557.196,6.455.827.393.460,330.0,,4932269557196.0,6455827393460.0
Phải trả người bán dài hạn,Phải trả người bán dài hạn,Phải trả người bán dài hạn,331,5.12,370.216.414.600,399.289.200.586,331.0,512.0,370216414600.0,399289200586.0
Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,338,5.13,4.543.932.125.525,6.038.417.175.803,338.0,513.0,4543932125525.0,6038417175803.0
Quỹ phát triển khoa học và công nghệ,Quỹ phát triển khoa học và công nghệ,Quỹ phát triển khoa học và công nghệ,343,,18.121.017.071,18.121.017.071,343.0,,18121017071.0,18121017071.0
VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,400,,7.749.807.811.116,7.647.719.771.356,400.0,,7749807811116.0,7647719771356.0
Vốn chủ sở hữu,Vốn chủ sở hữu,Vốn chủ sở hữu,410,5.18,7.749.807.811.116,7.647.719.771.356,410.0,518.0,7749807811116.0,7647719771356.0
Vốn góp của chủ sở hữu,Vốn góp của chủ sở hữu,Vốn góp của chủ sở hữu,411,,6.827.674.750.000,6.800.000.000.000,411.0,,6827674750000.0,6800000000000.0
- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,6.827.674.750.000,6.800.000.000.000,,,6827674750000.0,6800000000000.0
Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,412,,(45.000.000),-,412.0,,-45000000.0,
Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,418,,37.616.425.647,3.269.425.647,418.0,,37616425647.0,3269425647.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,,884.561.635.469,844.450.345.709,421.0,,884561635469.0,844450345709.0
- LNST chưa phân phối lũy kế đến cuối kỳ trước,- LNST chưa phân phối lũy kế đến cuối kỳ trước,- LNST chưa phân phối lũy kế đến cuối kỳ trước,421a,,321.332.595.709,199.539.168.432,,,321332595709.0,199539168432.0
- LNST chưa phân phối kỳ này,- LNST chưa phân phối kỳ này,- LNST chưa phân phối kỳ này,421b,,563.229.039.760,644.911.177.277,,,563229039760.0,644911177277.0
