row_label_raw,row_label_full,col_0,31/12/2021(VND) > Giá gốc,31/12/2021(VND) > Giá trị hợp lý,31/12/2021(VND) > Dự phòng,01/01/2021(VND) > Giá gốc,01/01/2021(VND) > Giá trị hợp lý,01/01/2021(VND) > Dự phòng,numeric__31/12/2021(VND) > Giá gốc,numeric__31/12/2021(VND) > Giá trị hợp lý,numeric__31/12/2021(VND) > Dự phòng,numeric__01/01/2021(VND) > Giá gốc,numeric__01/01/2021(VND) > Giá trị hợp lý,numeric__01/01/2021(VND) > Dự phòng
Ngắn hạn,Ngắn hạn,Ngắn hạn,62.939.045.836,62.939.045.836,-,1.232.293.893.663,1.232.293.893.663,-,62939045836.0,62939045836.0,,1232293893663.0,1232293893663.0,
Công ty CP Nhiệt điện Cẩm Phả - TKV,Công ty CP Nhiệt điện Cẩm Phả - TKV,Công ty CP Nhiệt điện Cẩm Phả - TKV,-,-,-,1.209.742.347.827,1.209.742.347.827,-,,,,1209742347827.0,1209742347827.0,
+ Gốc vay ngắn hạn,+ Gốc vay ngắn hạn,+ Gốc vay ngắn hạn,-,-,-,943.000.000.000,943.000.000.000,-,,,,943000000000.0,943000000000.0,
+ Cho vay dài hạn đến hạn trả,+ Cho vay dài hạn đến hạn trả,+ Cho vay dài hạn đến hạn trả,-,-,-,266.742.347.827,266.742.347.827,-,,,,266742347827.0,266742347827.0,
Công ty CP Than - Điện Nông Sơn - TKV,Công ty CP Than - Điện Nông Sơn - TKV,Công ty CP Than - Điện Nông Sơn - TKV,62.939.045.836,62.939.045.836,-,22.551.545.836,22.551.545.836,-,62939045836.0,62939045836.0,,22551545836.0,22551545836.0,
+ Cho vay dài hạn đến hạn trả,+ Cho vay dài hạn đến hạn trả,+ Cho vay dài hạn đến hạn trả,62.939.045.836,62.939.045.836,-,22.551.545.836,22.551.545.836,-,62939045836.0,62939045836.0,,22551545836.0,22551545836.0,
Dài hạn,Dài hạn,Dài hạn,213.174.940.840,213.174.940.840,-,1.766.516.247.541,1.766.516.247.541,-,213174940840.0,213174940840.0,,1766516247541.0,1766516247541.0,
Công ty CP Nhiệt điện Cẩm Phả - TKV,Công ty CP Nhiệt điện Cẩm Phả - TKV,Công ty CP Nhiệt điện Cẩm Phả - TKV,-,-,-,1.490.402.260.865,1.490.402.260.865,-,,,,1490402260865.0,1490402260865.0,
Công ty CP Than - Điện Nông Sơn - TKV,Công ty CP Than - Điện Nông Sơn - TKV,Công ty CP Than - Điện Nông Sơn - TKV,213.174.940.840,213.174.940.840,-,276.113.986.676,276.113.986.676,-,213174940840.0,213174940840.0,,276113986676.0,276113986676.0,
Cộng,Cộng,Cộng,276.113.986.676,276.113.986.676,-,2.998.810.141.204,2.998.810.141.204,-,276113986676.0,276113986676.0,,2998810141204.0,2998810141204.0,
