row_label_raw,row_label_full,col_0,Quyên sử dụng đất VND,Phân mêm may vi tính VND,TSCĐVH Khác VND,Tổng công VND,numeric__Quyên sử dụng đất VND,numeric__Phân mêm may vi tính VND,numeric__TSCĐVH Khác VND,numeric__Tổng công VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,37.643.581.593,7.200.955.984,1.106.119.364,45.950.656.941,37643581593.0,7200955984.0,1106119364.0,45950656941.0
- Tăng do sáp nhập NĐCP,NGUYÊN GIÁ > - Tăng do sáp nhập NĐCP,- Tăng do sáp nhập NĐCP,-,591.263.000,287.486.580,878.749.580,,591263000.0,287486580.0,878749580.0
- Mua trong năm,NGUYÊN GIÁ > - Mua trong năm,- Mua trong năm,-,-,844.337.143,844.337.143,,,844337143.0,844337143.0
- Tăng khác,NGUYÊN GIÁ > - Tăng khác,- Tăng khác,25.587.178.344,-,-,25.587.178.344,25587178344.0,,,25587178344.0
"- Thanh lý, nhượng bán","- Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,-,-,,,,
- Giảm khác,"- Thanh lý, nhượng bán > - Giảm khác",- Giảm khác,(4.220.740.685),-,-,(4.220.740.685),-4220740685.0,,,-4220740685.0
Số dư cuối năm,"- Thanh lý, nhượng bán > Số dư cuối năm",Số dư cuối năm,59.010.019.252,7.792.218.984,2.237.943.087,69.040.181.323,59010019252.0,7792218984.0,2237943087.0,69040181323.0
GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN > Số dư đầu năm,Số dư đầu năm,6.888.354.658,4.950.424.709,789.708.972,12.628.488.339,6888354658.0,4950424709.0,789708972.0,12628488339.0
- Tăng do sáp nhập NĐCP,GIÁ TRỊ HAO MÒN > - Tăng do sáp nhập NĐCP,- Tăng do sáp nhập NĐCP,-,591.263.000,191.123.306,782.386.306,,591263000.0,191123306.0,782386306.0
- Khấu hao trong năm,GIÁ TRỊ HAO MÒN > - Khấu hao trong năm,- Khấu hao trong năm,939.913.022,986.752.080,574.372.727,2.501.037.829,939913022.0,986752080.0,574372727.0,2501037829.0
- Tăng khác,- Tăng khác,- Tăng khác,-,-,-,-,,,,
"- Thanh lý, nhượng bán","- Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,-,-,,,,
- Giảm khác,"- Thanh lý, nhượng bán > - Giảm khác",- Giảm khác,(3.751.103.635),-,-,(3.751.103.635),-3751103635.0,,,-3751103635.0
Số dư cuối năm,"- Thanh lý, nhượng bán > Số dư cuối năm",Số dư cuối năm,4.077.164.045,6.528.439.789,1.555.205.005,12.160.808.839,4077164045.0,6528439789.0,1555205005.0,12160808839.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,30.755.226.935,2.250.531.275,316.410.392,33.322.168.602,30755226935.0,2250531275.0,316410392.0,33322168602.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,54.932.855.207,1.263.779.195,682.738.082,56.879.372.484,54932855207.0,1263779195.0,682738082.0,56879372484.0
Giá trị còn lại cuối năm của TSCĐ VH dùng để thế chấp đảm bảo khoản vay:Nguyên giá TSCĐ cuối năm đã khấu hao hết nhưng vẫn còn sử dụng:,GIÁ TRỊ CÒN LẠI > Giá trị còn lại cuối năm của TSCĐ VH dùng để thế chấp đảm bảo khoản vay:Nguyên giá TSCĐ cuối năm đã khấu hao hết nhưng vẫn còn sử dụng:,Giá trị còn lại cuối năm của TSCĐ VH dùng để thế chấp đảm bảo khoản vay:Nguyên giá TSCĐ cuối năm đã khấu hao hết nhưng vẫn còn sử dụng:,Giá trị còn lại cuối năm của TSCĐ VH dùng để thế chấp đảm bảo khoản vay:Nguyên giá TSCĐ cuối năm đã khấu hao hết nhưng vẫn còn sử dụng:,Giá trị còn lại cuối năm của TSCĐ VH dùng để thế chấp đảm bảo khoản vay:Nguyên giá TSCĐ cuối năm đã khấu hao hết nhưng vẫn còn sử dụng:,Giá trị còn lại cuối năm của TSCĐ VH dùng để thế chấp đảm bảo khoản vay:Nguyên giá TSCĐ cuối năm đã khấu hao hết nhưng vẫn còn sử dụng:,44.243.985.8192.211.921.943,,,,4.424398581922119e+20
