row_label_raw,row_label_full,col_0,Giá trị ghi sổ > 31/12/2021,Giá trị ghi sổ > 01/01/2021,Giá trị hợp lý > 31/12/2021,Giá trị hợp lý > 01/01/2021,numeric__Giá trị ghi sổ > 31/12/2021,numeric__Giá trị ghi sổ > 01/01/2021,numeric__Giá trị hợp lý > 31/12/2021,numeric__Giá trị hợp lý > 01/01/2021
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,
Các khoản đầu tư tài chính,Tài sản tài chính > Các khoản đầu tư tài chính,Các khoản đầu tư tài chính,1.239.638.734.159,1.249.638.734.159,1.239.638.734.159,1.249.638.734.159,1239638734159.0,1249638734159.0,1239638734159.0,1249638734159.0
Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,,,,
Phải thu khách hàng,Các khoản cho vay và phải thu > Phải thu khách hàng,Phải thu khách hàng,3.485.189.666.186,3.776.519.367.374,3.485.684.553.185,3.776.519.367.374,3485189666186.0,3776519367374.0,3485684553185.0,3776519367374.0
Các khoản PT khác,Các khoản cho vay và phải thu > Các khoản PT khác,Các khoản PT khác,293.313.507.931,3.080.182.378.560,293.313.507.931,3.080.182.378.560,293313507931.0,3080182378560.0,293313507931.0,3080182378560.0
Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,,,,
Tiền và các khoản tương đương tiền,Tài sản tài chính sẵn sàng để bán > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,143.073.489.593,413.810.821.504,143.073.489.593,413.810.821.504,143073489593.0,413810821504.0,143073489593.0,413810821504.0
Tổng cộng,Tài sản tài chính sẵn sàng để bán > Tổng cộng,Tổng cộng,5.161.215.397.869,8.520.151.301.597,5.160.720.510.870,8.520.151.301.597,5161215397869.0,8520151301597.0,5160720510870.0,8520151301597.0
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,
Phải trả người bán,Nợ phải trả tài chính > Phải trả người bán,Phải trả người bán,2.255.068.873.473,2.670.248.620.949,2.255.068.873.473,2.670.248.620.949,2255068873473.0,2670248620949.0,2255068873473.0,2670248620949.0
Phải trả khác,Nợ phải trả tài chính > Phải trả khác,Phải trả khác,256.085.531.710,57.976.186.947,256.085.531.710,57.976.186.947,256085531710.0,57976186947.0,256085531710.0,57976186947.0
Vay và nợ,Nợ phải trả tài chính > Vay và nợ,Vay và nợ,7.807.749.370.435,8.553.216.773.874,7.807.749.370.435,8.553.216.773.874,7807749370435.0,8553216773874.0,7807749370435.0,8553216773874.0
Tổng cộng,Nợ phải trả tài chính > Tổng cộng,Tổng cộng,10.318.903.775.618,11.281.441.581.770,10.318.903.775.618,11.281.441.581.770,10318903775618.0,11281441581770.0,10318903775618.0,11281441581770.0
