row_label_raw,row_label_full,col_0,col_1,01/01/2021(VND) > Giá trị,01/01/2021(VND) > Khả năng trả nợ,31/12/2021(VND) > Giá trị,31/12/2021(VND) > Khả năng trả nợ,numeric__col_1,numeric__01/01/2021(VND) > Giá trị,numeric__01/01/2021(VND) > Khả năng trả nợ,numeric__31/12/2021(VND) > Giá trị,numeric__31/12/2021(VND) > Khả năng trả nợ
c.,c.,c.,Phân loại gốc vay nợ dài hạn đến hạn trả tại thời điểm lập BCTC,1.571.799.598.071,1.571.799.598.071,1.733.906.048.008,1.733.906.048.008,,1571799598071.0,1571799598071.0,1733906048008.0,1733906048008.0
c.1.,c.1.,c.1.,Vay dài hạn đến hạn trả,1.501.799.598.071,1.501.799.598.071,1.663.906.048.008,1.663.906.048.008,,1501799598071.0,1501799598071.0,1663906048008.0,1663906048008.0
c.1.,c.1.,c.1.,Vay Ngân hàng,691.120.364.219,691.120.364.219,863.873.574.072,863.873.574.072,,691120364219.0,691120364219.0,863873574072.0,863873574072.0
c.1.,c.1.,c.1.,Vay Tập đoàn,810.679.233.852,810.679.233.852,800.032.473.936,800.032.473.936,,810679233852.0,810679233852.0,800032473936.0,800032473936.0
c.2,c.2,c.2,Nợ dài hạn đến hạn trả,70.000.000.000,70.000.000.000,70.000.000.000,70.000.000.000,,70000000000.0,70000000000.0,70000000000.0,70000000000.0
c.2,c.2,c.2,Trái phiếu phát hành,70.000.000.000,70.000.000.000,70.000.000.000,70.000.000.000,,70000000000.0,70000000000.0,70000000000.0,70000000000.0
d.,d.,d.,Số dư tại thời điểm lập BCTC,8.553.216.773.874,8.553.216.773.874,7.807.749.370.435,7.807.749.370.435,,8553216773874.0,8553216773874.0,7807749370435.0,7807749370435.0
d.1,d.1,d.1,Vay và nợ ngắn hạn (d.1 = a + c),2.514.799.598.071,2.514.799.598.071,3.263.817.244.910,3.263.817.244.910,,2514799598071.0,2514799598071.0,3263817244910.0,3263817244910.0
d.2,d.2,d.2,Vay và nợ dài hạn (d.2 = b - c),6.038.417.175.803,6.038.417.175.803,4.543.932.125.525,4.543.932.125.525,,6038417175803.0,6038417175803.0,4543932125525.0,4543932125525.0
(*),(*),(*),Trái phiếu phát hành năm 2018:,Trái phiếu phát hành năm 2018:,Trái phiếu phát hành năm 2018:,Trái phiếu phát hành năm 2018:,Trái phiếu phát hành năm 2018:,,,,,
(*),(*),(*),"Trái phiếu không chuyển đổi có tổng mệnh giá 400.000.000.000 đồng (bốn trăm tỷ đồng) được đảm bảo bằng tài sản. Phát hành ngày 31/07/2018 và đáo hạn ngày 31/07/2025. Các trái phiếu được phát hành dưới hình thức bút toán ghi số, mỗi trái phiếu có mệnh giá 1.000.000.000 đồng (một tỷ đồng).","Trái phiếu không chuyển đổi có tổng mệnh giá 400.000.000.000 đồng (bốn trăm tỷ đồng) được đảm bảo bằng tài sản. Phát hành ngày 31/07/2018 và đáo hạn ngày 31/07/2025. Các trái phiếu được phát hành dưới hình thức bút toán ghi số, mỗi trái phiếu có mệnh giá 1.000.000.000 đồng (một tỷ đồng).","Trái phiếu không chuyển đổi có tổng mệnh giá 400.000.000.000 đồng (bốn trăm tỷ đồng) được đảm bảo bằng tài sản. Phát hành ngày 31/07/2018 và đáo hạn ngày 31/07/2025. Các trái phiếu được phát hành dưới hình thức bút toán ghi số, mỗi trái phiếu có mệnh giá 1.000.000.000 đồng (một tỷ đồng).","Trái phiếu không chuyển đổi có tổng mệnh giá 400.000.000.000 đồng (bốn trăm tỷ đồng) được đảm bảo bằng tài sản. Phát hành ngày 31/07/2018 và đáo hạn ngày 31/07/2025. Các trái phiếu được phát hành dưới hình thức bút toán ghi số, mỗi trái phiếu có mệnh giá 1.000.000.000 đồng (một tỷ đồng).","Trái phiếu không chuyển đổi có tổng mệnh giá 400.000.000.000 đồng (bốn trăm tỷ đồng) được đảm bảo bằng tài sản. Phát hành ngày 31/07/2018 và đáo hạn ngày 31/07/2025. Các trái phiếu được phát hành dưới hình thức bút toán ghi số, mỗi trái phiếu có mệnh giá 1.000.000.000 đồng (một tỷ đồng).",,,,,
