row_label_raw,row_label_full,Công ty Cổ phần Đầu tư Xây dựng Ha tầng Hòa Bình,Công ty con,Chi phí trả hộ Cổ tức phải thu,1.712.740.153 -,- 44.037.500.000,numeric__Công ty con,numeric__Chi phí trả hộ Cổ tức phải thu,numeric__1.712.740.153 -,numeric__- 44.037.500.000
Công ty Cổ phần Đầu tư Phát triển Hòa Yên,Công ty Cổ phần Đầu tư Phát triển Hòa Yên,Công ty Cổ phần Đầu tư Phát triển Hòa Yên,Công ty con,Chi phí trả hộ,1.075.822.793,-,,,1075822793.0,
Công ty Cổ phần Đầu tư Địa ốc Tiến Phát,Công ty Cổ phần Đầu tư Địa ốc Tiến Phát,Công ty Cổ phần Đầu tư Địa ốc Tiến Phát,Công ty con,Lãi cho vay,539.554.665,-,,,539554665.0,
Công ty Cổ phần Đầu tư Hòa Bình Huế,Công ty Cổ phần Đầu tư Hòa Bình Huế,Công ty Cổ phần Đầu tư Hòa Bình Huế,Công ty con,Chi phí trả hộ,144.247.997,144.247.997,,,144247997.0,144247997.0
Công ty Cổ phần Tiến Phát Sanyo Homes,Công ty Cổ phần Tiến Phát Sanyo Homes,Công ty Cổ phần Tiến Phát Sanyo Homes,Công ty con,Chi phí trả hộ,104.656.122,-,,,104656122.0,
Công ty Cổ phần Xuất Nhập khẩu Việt Ta,Công ty Cổ phần Xuất Nhập khẩu Việt Ta,Công ty Cổ phần Xuất Nhập khẩu Việt Ta,Công ty con,Chi phí trả hộ,72.490.235,65.161.235,,,72490235.0,65161235.0
Công ty Cổ phần Interhouse LA,Công ty Cổ phần Interhouse LA,Công ty Cổ phần Interhouse LA,Công ty con,Chi phí trả hộ,65.214.000,-,,,65214000.0,
Công ty Cổ phần Sản xuất và Trang trí Mộc Hòa Bình,Công ty Cổ phần Sản xuất và Trang trí Mộc Hòa Bình,Công ty Cổ phần Sản xuất và Trang trí Mộc Hòa Bình,Công ty con,Chi phí trả hộ,24.054.744,-,,,24054744.0,
Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty con,Chi phí trả hộ,12.336.602,-,,,12336602.0,
Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty liên kết,Chi phí trả hộ,9.254.350,11.648.423,,,9254350.0,11648423.0
Công ty TNHH Sơn Hòa Bình,Công ty TNHH Sơn Hòa Bình,Công ty TNHH Sơn Hòa Bình,Công ty con,Chi phí trả hộ,1.531.000,-,,,1531000.0,
Công ty Cổ phần Kỹ thuật Jesco Hòa Bình,Công ty Cổ phần Kỹ thuật Jesco Hòa Bình,Công ty Cổ phần Kỹ thuật Jesco Hòa Bình,Công ty liên kết,Chi phí trả hộ,-,5.463.990,,,,5463990.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,3.761.902.661,44.264.021.645,,,3761902661.0,44264021645.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,,,,
Công ty Cổ phần Nhà Hòa Bình,Phải thu dài hạn khác > Công ty Cổ phần Nhà Hòa Bình,Công ty Cổ phần Nhà Hòa Bình,Công ty con,Ký quỹ thuê văn phòng,2.204.508.447,1.394.314.302,,,2204508447.0,1394314302.0
