row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,Thiết bịvăn phòng,Tổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,2.326.084.526,1.451.391.133.294,30.674.100.356,12.739.531.340,1.497.130.849.516,2326084526.0,1451391133294.0,30674100356.0,12739531340.0,1497130849516.0
Mua mới,Nguyên giá > Mua mới,Mua mới,882.795.613,520.596.442.898,15.241.036.910,3.903.374.352,540.623.649.773,882795613.0,520596442898.0,15241036910.0,3903374352.0,540623649773.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,-,2.344.559.504,-,-,2.344.559.504,,2344559504.0,,,2344559504.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(78.423.637.786),-,-,(78.423.637.786),,-78423637786.0,,,-78423637786.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,3.208.880.139,1.895.908.497.910,45.915.137.266,16.642.905.692,1.961.675.421.007,3208880139.0,1895908497910.0,45915137266.0,16642905692.0,1961675421007.0
Trong đó:Đã khấu hao hết,Nguyên giá > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,-,77.454.886.818,5.195.500.343,4.391.278.861,87.041.666.022,,77454886818.0,5195500343.0,4391278861.0,87041666022.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,
Số đầu năm,Giá trị khấu hao lũy kế > Số đầu năm,Số đầu năm,193.145.721,476.810.450.861,12.019.170.137,7.179.215.970,496.201.982.689,193145721.0,476810450861.0,12019170137.0,7179215970.0,496201982689.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,235.348.634,195.689.678.441,3.611.545.729,1.704.797.421,201.241.370.225,235348634.0,195689678441.0,3611545729.0,1704797421.0,201241370225.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(64.021.350.186),-,-,(64.021.350.186),,-64021350186.0,,,-64021350186.0
Số cuối năm,Giá trị khấu hao lũy kế > Số cuối năm,Số cuối năm,428.494.355,608.478.779.116,15.630.715.866,8.884.013.391,633.422.002.728,428494355.0,608478779116.0,15630715866.0,8884013391.0,633422002728.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,2.132.938.805,974.580.682.433,18.654.930.219,5.560.315.370,1.000.928.866.827,2132938805.0,974580682433.0,18654930219.0,5560315370.0,1000928866827.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,2.780.385.784,1.287.429.718.794,30.284.421.400,7.758.892.301,1.328.253.418.279,2780385784.0,1287429718794.0,30284421400.0,7758892301.0,1328253418279.0
Trong đó:Tài sản sử dụng để thế chấp(Thuyết minh số 22.1 và 22.3),Giá trị còn lại > Trong đó:Tài sản sử dụng để thế chấp(Thuyết minh số 22.1 và 22.3),Trong đó:Tài sản sử dụng để thế chấp(Thuyết minh số 22.1 và 22.3),171.634.585,261.605.776.434,-,-,261.777.411.019,171634585.0,261605776434.0,,,261777411019.0
