row_label_raw,row_label_full,col_0,Số cuối năm,VND Số đầu năm,numeric__Số cuối năm,numeric__VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Lãi phải thu từ các bên khác,Ngắn hạn > Lãi phải thu từ các bên khác,Lãi phải thu từ các bên khác,34.828.300.653,22.544.383.053,34828300653.0,22544383053.0
Phải thu từ nhân viên,Ngắn hạn > Phải thu từ nhân viên,Phải thu từ nhân viên,26.141.350.397,13.900.702.225,26141350397.0,13900702225.0
Tạm ứng cho nhân viên,Ngắn hạn > Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,22.906.393.904,10.932.623.691,22906393904.0,10932623691.0
Lãi ngân hàng,Ngắn hạn > Lãi ngân hàng,Lãi ngân hàng,20.707.885.070,18.614.067.888,20707885070.0,18614067888.0
Phải thu từ thầu phụ,Ngắn hạn > Phải thu từ thầu phụ,Phải thu từ thầu phụ,20.633.552.987,4.583.497.529,20633552987.0,4583497529.0
Các khoản ký quỹ,Ngắn hạn > Các khoản ký quỹ,Các khoản ký quỹ,5.432.568.623,8.236.572.935,5432568623.0,8236572935.0
Cổ tức phải thu,Ngắn hạn > Cổ tức phải thu,Cổ tức phải thu,-,44.037.500.000,,44037500000.0
Khác,Ngắn hạn > Khác,Khác,28.859.750.201,14.758.002.051,28859750201.0,14758002051.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,159.509.801.835,137.607.349.372,159509801835.0,137607349372.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu ngắn hạn khác từ bên khác,Trong đó: > Phải thu ngắn hạn khác từ bên khác,Phải thu ngắn hạn khác từ bên khác,155.747.899.174,93.343.327.727,155747899174.0,93343327727.0
Phải thu ngắn hạn khác từ bên liên quan(Thuyết minh số 31),Trong đó: > Phải thu ngắn hạn khác từ bên liên quan(Thuyết minh số 31),Phải thu ngắn hạn khác từ bên liên quan(Thuyết minh số 31),3.761.902.661,44.264.021.645,3761902661.0,44264021645.0
Dự phòng nợ phải thu ngắn hạn khó đòi (*),Trong đó: > Dự phòng nợ phải thu ngắn hạn khó đòi (*),Dự phòng nợ phải thu ngắn hạn khó đòi (*),(34.909.582.825),(26.285.720.597),-34909582825.0,-26285720597.0
GIÁ TRỊ THUÀN,Trong đó: > GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,124.600.219.010,111.321.628.775,124600219010.0,111321628775.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Ký quỹ cho bên liên quan (Thuyết minh số 31),Dài hạn > Ký quỹ cho bên liên quan (Thuyết minh số 31),Ký quỹ cho bên liên quan (Thuyết minh số 31),2.204.508.447,1.394.314.302,2204508447.0,1394314302.0
Ký quỹ cho bên khác,Dài hạn > Ký quỹ cho bên khác,Ký quỹ cho bên khác,1.520.326.091,1.215.013.091,1520326091.0,1215013091.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,3.724.834.538,2.609.327.393,3724834538.0,2609327393.0
