row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,,,,
Công ty Cổ phần Tiến Phát Sanyo Homes,Người mua trả tiền trước ngắn hạn > Công ty Cổ phần Tiến Phát Sanyo Homes,Công ty Cổ phần Tiến Phát Sanyo Homes,Công ty con,Dịch vụ xây dựng,13.707.203.970,60.300.000,,,13707203970.0,60300000.0
Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Người mua trả tiền trước ngắn hạn > Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty liên kết,Dịch vụ xây dựng,1.024.246.952,4.501.575.212,,,1024246952.0,4501575212.0
Công ty TNHH Tư vấn Thiết kế Hòa Bình,Người mua trả tiền trước ngắn hạn > Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty con,Dịch vụ xây dựng,460.350.000,1.023.000.000,,,460350000.0,1023000000.0
Công ty Cổ phần Đầu tư Địa ốc Tiến Phát,Người mua trả tiền trước ngắn hạn > Công ty Cổ phần Đầu tư Địa ốc Tiến Phát,Công ty Cổ phần Đầu tư Địa ốc Tiến Phát,Công ty con,Dịch vụ xây dựng,-,28.782.156.978,,,,28782156978.0
TỔNG CỘNG,Người mua trả tiền trước ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,,,15.191.800.922,34.367.032.190,,,15191800922.0,34367032190.0
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,,,,
Công ty Cổ phần Kỹ thuật Jesco Hòa Bình,Chi phí phải trả ngắn hạn > Công ty Cổ phần Kỹ thuật Jesco Hòa Bình,Công ty Cổ phần Kỹ thuật Jesco Hòa Bình,Công ty liên kết,Chi phí thầu phụ,59.222.841.462,86.189.297.522,,,59222841462.0,86189297522.0
Công ty Cổ phần Đầu tư Xây dựng Hạ tầng Hòa Bình,Chi phí phải trả ngắn hạn > Công ty Cổ phần Đầu tư Xây dựng Hạ tầng Hòa Bình,Công ty Cổ phần Đầu tư Xây dựng Hạ tầng Hòa Bình,Công ty con,Chi phí lãi vay Chi phí thầu phụ,8.490.347.2222.717.979.720,5.278.620.556-,,,8.490347222271798e+19,
Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Chi phí phải trả ngắn hạn > Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty liên kết,Chi phí thầu phụ,4.962.750.495,46.948.967.390,,,4962750495.0,46948967390.0
Công ty TNHH Tư vấn Thiết kế Hòa Bình,Chi phí phải trả ngắn hạn > Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty con,Chi phí thầu phụ,4.333.200.000,2.650.000.000,,,4333200000.0,2650000000.0
Công ty Cổ phần Xuất Nhập Khẩu Việt Ta,Chi phí phải trả ngắn hạn > Công ty Cổ phần Xuất Nhập Khẩu Việt Ta,Công ty Cổ phần Xuất Nhập Khẩu Việt Ta,Công ty con,Chi phí thầu phụ,2.748.799.910,3.678.097.574,,,2748799910.0,3678097574.0
Công ty Cổ phần Sản xuất và Trang trí Mộc Hòa Bình,Chi phí phải trả ngắn hạn > Công ty Cổ phần Sản xuất và Trang trí Mộc Hòa Bình,Công ty Cổ phần Sản xuất và Trang trí Mộc Hòa Bình,Công ty con,Chi phí thầu phụ,2.698.811.161,20.035.632.670,,,2698811161.0,20035632670.0
Công ty TNHH MTV Xây dựng và Địa ốc Hòa Bình Hà Nội,Chi phí phải trả ngắn hạn > Công ty TNHH MTV Xây dựng và Địa ốc Hòa Bình Hà Nội,Công ty TNHH MTV Xây dựng và Địa ốc Hòa Bình Hà Nội,Công ty con,Chi phí thầu phụ,2.000.000.000,2.000.000.000,,,2000000000.0,2000000000.0
Công ty TNHH Sơn Hòa Bình,Chi phí phải trả ngắn hạn > Công ty TNHH Sơn Hòa Bình,Công ty TNHH Sơn Hòa Bình,Công ty con,Chi phí thầu phụ,1.152.087.498,635.974.863,,,1152087498.0,635974863.0
TỔNG CỘNG,Chi phí phải trả ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,,,88.326.817.468,167.416.590.575,,,88326817468.0,167416590575.0
