row_label_raw,row_label_full,col_0,Số cuối năm,VND Số cuối năm,numeric__Số cuối năm,numeric__VND Số cuối năm
Phải thu bên khác,Phải thu bên khác,Phải thu bên khác,3.001.176.837.834,1.969.731.049.837,3001176837834.0,1969731049837.0
Công ty Cổ phần Bất động sản Mỹ,Công ty Cổ phần Bất động sản Mỹ,Công ty Cổ phần Bất động sản Mỹ,209.770.616.911,118.699.167.467,209770616911.0,118699167467.0
Công ty Cổ phần Địa ốc Nhật Hoa,Công ty Cổ phần Địa ốc Nhật Hoa,Công ty Cổ phần Địa ốc Nhật Hoa,222.279.675.048,-,222279675048.0,
Khác,Khác,Khác,2.569.126.545.875,1.851.031.882.370,2569126545875.0,1851031882370.0
Phải thu bên liên quan (Thuyết minh số 31),Phải thu bên liên quan (Thuyết minh số 31),Phải thu bên liên quan (Thuyết minh số 31),10.000.000.000,32.385.539.512,10000000000.0,32385539512.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,3.011.176.837.834,2.002.116.589.349,3011176837834.0,2002116589349.0
Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,(72.602.837.405),(53.401.178.126),-72602837405.0,-53401178126.0
GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,2.938.574.000.429,1.948.715.411.223,2938574000429.0,1948715411223.0
