row_label_raw,row_label_full,col_0,Năm nay,VNDNăm trước,numeric__Năm nay,numeric__VNDNăm trước
Doanh thu gộp,Doanh thu gộp,Doanh thu gộp,15.508.404.565.460,9.927.395.939.336,15508404565460.0,9927395939336.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu hợp đồng xây dựng,Trong đó: > Doanh thu hợp đồng xây dựng,Doanh thu hợp đồng xây dựng,15.042.436.223.199,9.576.771.854.398,15042436223199.0,9576771854398.0
Doanh thu cho thuê máy móc thiết bị,Trong đó: > Doanh thu cho thuê máy móc thiết bị,Doanh thu cho thuê máy móc thiết bị,465.968.342.261,340.899.642.397,465968342261.0,340899642397.0
Doanh thu bán hàng hóa bất động sản,Trong đó: > Doanh thu bán hàng hóa bất động sản,Doanh thu bán hàng hóa bất động sản,-,9.724.442.541,,9724442541.0
Các khoản giảm trừ doanh thu,Trong đó: > Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,(11.109.186.538),(20.187.625.943),-11109186538.0,-20187625943.0
DOANH THU THUẦN,Trong đó: > DOANH THU THUẦN,DOANH THU THUẦN,15.497.295.378.922,9.907.208.313.393,15497295378922.0,9907208313393.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu hợp đồng xây dựng (*),Trong đó: > Doanh thu hợp đồng xây dựng (*),Doanh thu hợp đồng xây dựng (*),15.031.327.036.661,9.556.584.228.455,15031327036661.0,9556584228455.0
Doanh thu cho thuê máy móc thiết bị,Trong đó: > Doanh thu cho thuê máy móc thiết bị,Doanh thu cho thuê máy móc thiết bị,465.968.342.261,340.899.642.397,465968342261.0,340899642397.0
Doanh thu bán hàng hóa bất động sản,Trong đó: > Doanh thu bán hàng hóa bất động sản,Doanh thu bán hàng hóa bất động sản,-,9.724.442.541,,9724442541.0
