row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Quỹ đầu tưphát triển,Lợi nhuận sau thuếchưa phân phối,VNDTổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tưphát triển,numeric__Lợi nhuận sau thuếchưa phân phối,numeric__VNDTổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,755.598.370.000,106.043.322.981,94.548.441.157,183.273.668.778,1.139.463.802.916,755598370000.0,106043322981.0,94548441157.0,183273668778.0,1139463802916.0
Phát hành cổ phiếu,Năm trước > Phát hành cổ phiếu,Phát hành cổ phiếu,198.866.200.000,(75.549.210.000),-,(113.327.090.000),9.989.900.000,198866200000.0,-75549210000.0,,-113327090000.0,9989900000.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,532.835.462.948,532.835.462.948,,,,532835462948.0,532835462948.0
"Trích lập quỹ khen thưởng,phúc lợi","Năm trước > Trích lập quỹ khen thưởng,phúc lợi","Trích lập quỹ khen thưởng,phúc lợi",-,-,-,(53.283.546.295),(53.283.546.295),,,,-53283546295.0,-53283546295.0
Thù lao Hội đồng Quản trị,Năm trước > Thù lao Hội đồng Quản trị,Thù lao Hội đồng Quản trị,-,-,-,(1.164.000.000),(1.164.000.000),,,,-1164000000.0,-1164000000.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,954.464.570.000,30.494.112.981,94.548.441.157,548.334.495.431,1.627.841.619.569,954464570000.0,30494112981.0,94548441157.0,548334495431.0,1627841619569.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,954.464.570.000,30.494.112.981,94.548.441.157,548.334.495.431,1.627.841.619.569,954464570000.0,30494112981.0,94548441157.0,548334495431.0,1627841619569.0
Phát hành cổ phiếu mới (*),Năm nay > Phát hành cổ phiếu mới (*),Phát hành cổ phiếu mới (*),10.000.000.000,-,-,-,10.000.000.000,10000000000.0,,,,10000000000.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,839.389.552.636,839.389.552.636,,,,839389552636.0,839389552636.0
Chia cổ tức bằng cổ phiếu (*),Năm nay > Chia cổ tức bằng cổ phiếu (*),Chia cổ tức bằng cổ phiếu (*),334.043.000.000,-,-,(334.043.000.000),-,334043000000.0,,,-334043000000.0,
Cổ tức đã công bố,Năm nay > Cổ tức đã công bố,Cổ tức đã công bố,-,-,-,(95.446.457.000),(95.446.457.000),,,,-95446457000.0,-95446457000.0
"Trích lập quỹ khen thưởng,phúc lợi (**)","Năm nay > Trích lập quỹ khen thưởng,phúc lợi (**)","Trích lập quỹ khen thưởng,phúc lợi (**)",-,-,-,(83.706.242.135),(83.706.242.135),,,,-83706242135.0,-83706242135.0
Thường ban điều hành vàcán bộ trong yếu,Năm nay > Thường ban điều hành vàcán bộ trong yếu,Thường ban điều hành vàcán bộ trong yếu,-,-,-,(41.117.598.681),(41.117.598.681),,,,-41117598681.0,-41117598681.0
Thù lao Hội đồng Quản trị,Năm nay > Thù lao Hội đồng Quản trị,Thù lao Hội đồng Quản trị,-,-,-,(4.536.367.894),(4.536.367.894),,,,-4536367894.0,-4536367894.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,1.298.507.570.000,30.494.112.981,94.548.441.157,828.874.382.357,2.252.424.506.495,1298507570000.0,30494112981.0,94548441157.0,828874382357.0,2252424506495.0
