row_label_raw,row_label_full,Tên công ty liên kết,Hoạt động chính,Tình trạng,Số cuối năm > %sở hữu,Số cuối năm > Giá trịVND,Số đầu năm > %sở hữu,Số đầu năm > Giá trịVND,numeric__Hoạt động chính,numeric__Tình trạng,numeric__Số cuối năm > %sở hữu,numeric__Số cuối năm > Giá trịVND,numeric__Số đầu năm > %sở hữu,numeric__Số đầu năm > Giá trịVND
Công ty Cổ phần Chứng khoánSen Vàng,Công ty Cổ phần Chứng khoánSen Vàng,Công ty Cổ phần Chứng khoánSen Vàng,"Môi giới, tư vấn đầu tưvà tự doanh chứng khoán",Đanghoạt động,"42,53",40.677.500.000,"42,38",40.597.500.000,,,42.53,40677500000.0,42.38,40597500000.0
Công ty Cổ phần Kỹ thuật JescoHòa Bình,Công ty Cổ phần Kỹ thuật JescoHòa Bình,Công ty Cổ phần Kỹ thuật JescoHòa Bình,"Thi công lắp đặt trang thiết bịcông trình xây dựng hệ thốngđiện nước, phòng cháy chứachấy, hệ thống làm lạnh",Đanghoạt động,"47,82",34.842.520.000,"47,82",34.842.520.000,,,47.82,34842520000.0,47.82,34842520000.0
Công ty Cổ phần Cơ khí và Nhôm kínhAnh Việt,Công ty Cổ phần Cơ khí và Nhôm kínhAnh Việt,Công ty Cổ phần Cơ khí và Nhôm kínhAnh Việt,Trang trí nội thất; sản xuất vậtliệu xây dựng (cửa nhôm); sanlắp mặt bằng; và mua bán vật tưxây dựng,Đanghoạt động,"46,93",10.560.000.000,-,-,,,46.93,10560000000.0,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,,86.080.020.000,,75.440.020.000,,,,86080020000.0,,75440020000.0
Dự phòng đầu tư vào các công ty liên kết,Dự phòng đầu tư vào các công ty liên kết,Dự phòng đầu tư vào các công ty liên kết,,,,(7.743.503.127),,(15.804.404.946),,,,-7743503127.0,,-15804404946.0
ĐẦU TƯ P THUẦN,ĐẦU TƯ P THUẦN,ĐẦU TƯ P THUẦN,,,,78.336.516.873,,59.635.615.054,,,,78336516873.0,,59635615054.0
Chi tiết tinh hình tăng giảm dự phòng đầu tư vào công ty liên kết:,Chi tiết tinh hình tăng giảm dự phòng đầu tư vào công ty liên kết:,Chi tiết tinh hình tăng giảm dự phòng đầu tư vào công ty liên kết:,Chi tiết tinh hình tăng giảm dự phòng đầu tư vào công ty liên kết:,Chi tiết tinh hình tăng giảm dự phòng đầu tư vào công ty liên kết:,Chi tiết tinh hình tăng giảm dự phòng đầu tư vào công ty liên kết:,Chi tiết tinh hình tăng giảm dự phòng đầu tư vào công ty liên kết:,Chi tiết tinh hình tăng giảm dự phòng đầu tư vào công ty liên kết:,Chi tiết tinh hình tăng giảm dự phòng đầu tư vào công ty liên kết:,,,,,,
,,,,Số đầu năm,Dự phòng tríchlập trong năm,Hoàn nhập dựphòng trong năm,,VND,,,,,,
Công ty Cổ phần Chứng khoán Sen Vàng,Chi tiết tinh hình tăng giảm dự phòng đầu tư vào công ty liên kết: > Công ty Cổ phần Chứng khoán Sen Vàng,Công ty Cổ phần Chứng khoán Sen Vàng,,(15.804.404.946),-,8.060.901.819,,(7.743.503.127),,-15804404946.0,,8060901819.0,,-7743503127.0
