row_label_raw,row_label_full,Người cho vay > Cá nhân,Số cuối năm(VND) > 6.598.025.481,Ngày đảo hạn > Từ ngày 27tháng 4 năm2018 đến ngày 9tháng 11năm 2018,"Lãi suất(%/năm) > Từ 6,5đến 7,0",Chỉ tiết tài sảnđảm bảo > Tín chấp,numeric__Số cuối năm(VND) > 6.598.025.481,numeric__Ngày đảo hạn > Từ ngày 27tháng 4 năm2018 đến ngày 9tháng 11năm 2018,"numeric__Lãi suất(%/năm) > Từ 6,5đến 7,0",numeric__Chỉ tiết tài sảnđảm bảo > Tín chấp
Nhân viên,Nhân viên,Nhân viên,1.845.443.152,Không xác định,"7,0",Tín chấp,1845443152.0,,7.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,8.443.468.633,,,,8443468633.0,,,
