row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,,,,
Công ty Cổ phần Kỹ thuật Jesco Hòa Bình,Phải trả người bán ngắn hạn > Công ty Cổ phần Kỹ thuật Jesco Hòa Bình,Công ty Cổ phần Kỹ thuật Jesco Hòa Bình,Công ty liên kết,Chi phí thầu phụ,138.748.611.866,39.616.446.595,,,138748611866.0,39616446595.0
Công ty TNHH MTV Máy Xây dựng Matec,Phải trả người bán ngắn hạn > Công ty TNHH MTV Máy Xây dựng Matec,Công ty TNHH MTV Máy Xây dựng Matec,Công ty con,Thuê máy móc,134.319.861.691,56.447.875.795,,,134319861691.0,56447875795.0
Công ty Cổ phần Sản xuất và Trang trí Mộc Hòa Bình,Phải trả người bán ngắn hạn > Công ty Cổ phần Sản xuất và Trang trí Mộc Hòa Bình,Công ty Cổ phần Sản xuất và Trang trí Mộc Hòa Bình,Công ty con,Chi phí thầu phụ,44.819.327.166,22.687.570.769,,,44819327166.0,22687570769.0
Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Phải trả người bán ngắn hạn > Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty liên kết,Chi phí thầu phụ,37.554.586.181,16.909.311.719,,,37554586181.0,16909311719.0
Công ty Cổ phần Xuất Nhập khẩu Việt Ta,Phải trả người bán ngắn hạn > Công ty Cổ phần Xuất Nhập khẩu Việt Ta,Công ty Cổ phần Xuất Nhập khẩu Việt Ta,Công ty con,Mua vật tư xây dựng,4.931.549.949,5.907.436.840,,,4931549949.0,5907436840.0
Công ty Cổ phần Nhà Hòa Bình,Phải trả người bán ngắn hạn > Công ty Cổ phần Nhà Hòa Bình,Công ty Cổ phần Nhà Hòa Bình,Công ty con,Thuê văn phòng,3.503.198.422,-,,,3503198422.0,
Công ty Cổ phần Đầu tư Xây dựng Hạ tầng Hòa Bình,Phải trả người bán ngắn hạn > Công ty Cổ phần Đầu tư Xây dựng Hạ tầng Hòa Bình,Công ty Cổ phần Đầu tư Xây dựng Hạ tầng Hòa Bình,Công ty con,Chi phí thầu phụ,2.653.771.629,-,,,2653771629.0,
Công ty TNHH Sơn Hòa Bình,Phải trả người bán ngắn hạn > Công ty TNHH Sơn Hòa Bình,Công ty TNHH Sơn Hòa Bình,Công ty con,Chi phí thầu phụ,2.176.162.933,3.057.933.651,,,2176162933.0,3057933651.0
Công ty TNHH MTV Xây dựng và Địa ốc Hòa Bình Hà Nội,Phải trả người bán ngắn hạn > Công ty TNHH MTV Xây dựng và Địa ốc Hòa Bình Hà Nội,Công ty TNHH MTV Xây dựng và Địa ốc Hòa Bình Hà Nội,Công ty con,Chi phí thầu phụ,994.075.040,4.999.910.548,,,994075040.0,4999910548.0
Công ty TNHH Tư vấn Thiết kế Hòa Bình,Phải trả người bán ngắn hạn > Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty con,Chi phí thầu phụ,203.110.000,4.742.242.940,,,203110000.0,4742242940.0
Công ty Cổ phần Chứng khoán Sen Vàng,Phải trả người bán ngắn hạn > Công ty Cổ phần Chứng khoán Sen Vàng,Công ty Cổ phần Chứng khoán Sen Vàng,Công ty liên kết,Phí tư vấn,200.000.000,-,,,200000000.0,
Công ty Cổ phần Tiến Phát Sanyo Homes,Phải trả người bán ngắn hạn > Công ty Cổ phần Tiến Phát Sanyo Homes,Công ty Cổ phần Tiến Phát Sanyo Homes,Công ty con,Dịch vụ quản lý,174.629.057,-,,,174629057.0,
TỔNG CỘNG,Phải trả người bán ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,,,370.278.883.934,154.368.728.857,,,370278883934.0,154368728857.0
