row_label_raw,row_label_full,col_0,Số liệu theobáo cáo trước đây,Điều chỉnh,Phân loại,VND Số liệu sau điều chỉnh,numeric__Số liệu theobáo cáo trước đây,numeric__Điều chỉnh,numeric__Phân loại,numeric__VND Số liệu sau điều chỉnh
BÀNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT,BÀNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT,BÀNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT,BÀNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT,BÀNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT,BÀNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT,BÀNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT,,,,
Phải thu ngắn hạn khác,BÀNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,113.272.650.517,-,(70.000.000.000),43.272.650.517,113272650517.0,,-70000000000.0,43272650517.0
Hàng tồn kho,BÀNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT > Hàng tồn kho,Hàng tồn kho,624.739.081.580,-,57.973.451.621,682.712.533.201,624739081580.0,,57973451621.0,682712533201.0
Chi phí trả trước ngắn hạn,BÀNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT > Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,3.925.852.137,-,(17.287.500),3.908.564.637,3925852137.0,,-17287500.0,3908564637.0
Phải thu dài hạn khác,BÀNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT > Phải thu dài hạn khác,Phải thu dài hạn khác,110.105.000.000,-,70.000.000.000,180.105.000.000,110105000000.0,,70000000000.0,180105000000.0
Tài sản cố định hữu hình,BÀNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT > Tài sản cố định hữu hình,Tài sản cố định hữu hình,869.674.108.002,(1.197.697.282),(40.163.040.823),828.313.369.897,869674108002.0,-1197697282.0,-40163040823.0,828313369897.0
Bất đông sản đầu tư,BÀNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT > Bất đông sản đầu tư,Bất đông sản đầu tư,147.512.028.097,-,40.163.040.823,187.675.068.920,147512028097.0,,40163040823.0,187675068920.0
Chi phí xây dựng cơ bản dở dang,BÀNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT > Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,135.509.391.336,(4.318.813.668),(57.973.451.621),73.217.126.047,135509391336.0,-4318813668.0,-57973451621.0,73217126047.0
Chi phí trả trước dài hạn,BÀNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT > Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,34.417.931.749,-,17.287.500,34.435.219.249,34417931749.0,,17287500.0,34435219249.0
Người mua trả tiền trước ngắn hạn,BÀNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT > Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,14.618.941.848,-,(973.108.358),13.645.833.490,14618941848.0,,-973108358.0,13645833490.0
Chi phí phải trả ngắn hạn,BÀNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT > Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,8.697.322.976,7.993.837.175,10.210.016.571,26.901.176.722,8697322976.0,7993837175.0,10210016571.0,26901176722.0
Doanh thu chưa thực hiện ngắn hạn,BÀNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT > Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,1.730.292.784,-,973.108.358,2.703.401.142,1730292784.0,,973108358.0,2703401142.0
Phải trả ngắn hạn khác,BÀNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT > Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,40.214.409.337,-,(17.210.016.571),23.004.392.766,40214409337.0,,-17210016571.0,23004392766.0
