row_label_raw,row_label_full,col_0,Số cuối năm,VND Số đầu năm (được trình bày lại - Thuyết minh số 33),numeric__Số cuối năm,numeric__VND Số đầu năm (được trình bày lại - Thuyết minh số 33)
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Đặt cọc nhận chuyển nhượng cổ phần,Ngắn hạn > Đặt cọc nhận chuyển nhượng cổ phần,Đặt cọc nhận chuyển nhượng cổ phần,185.000.000.000,-,185000000000.0,
Phải thu từ chuyển nhượng vốn,Ngắn hạn > Phải thu từ chuyển nhượng vốn,Phải thu từ chuyển nhượng vốn,106.935.347.500,-,106935347500.0,
"Vốn góp hợp đồng hợp tác đầu tư (""HĐHTĐT"") (i)","Ngắn hạn > Vốn góp hợp đồng hợp tác đầu tư (""HĐHTĐT"") (i)","Vốn góp hợp đồng hợp tác đầu tư (""HĐHTĐT"") (i)",50.000.000.000,-,50000000000.0,
"Vốn góp hợp đồng hợp tác kinh doanh (""HĐHTKD"") (ii)","Ngắn hạn > Vốn góp hợp đồng hợp tác kinh doanh (""HĐHTKD"") (ii)","Vốn góp hợp đồng hợp tác kinh doanh (""HĐHTKD"") (ii)",20.000.000.000,20.000.000.000,20000000000.0,20000000000.0
Phải thu ngắn hạn khác,Ngắn hạn > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,28.695.252.933,23.272.650.517,28695252933.0,23272650517.0
,,,390.630.600.433,43.272.650.517,390630600433.0,43272650517.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Vốn góp HĐHTĐT (iii),Dài hạn > Vốn góp HĐHTĐT (iii),Vốn góp HĐHTĐT (iii),70.000.000.000,70.000.000.000,70000000000.0,70000000000.0
"Tiền đền bù, giải phóng mặt bằng chở cán trừ tiền thuê đất (iv)","Dài hạn > Tiền đền bù, giải phóng mặt bằng chở cán trừ tiền thuê đất (iv)","Tiền đền bù, giải phóng mặt bằng chở cán trừ tiền thuê đất (iv)",23.360.415.199,-,23360415199.0,
"Ký cược, ký quỹ (v)","Dài hạn > Ký cược, ký quỹ (v)","Ký cược, ký quỹ (v)",4.747.011.893,110.000.000.000,4747011893.0,110000000000.0
Phải thu dài hạn khác,Dài hạn > Phải thu dài hạn khác,Phải thu dài hạn khác,-,105.000.000,,105000000.0
,,,98.107.427.092,180.105.000.000,98107427092.0,180105000000.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,488.738.027.525,223.377.650.517,488738027525.0,223377650517.0
