row_label_raw,row_label_full,Mã số,TÀI SẢN,Thuyết minh,Số cuối năm,Số đầu năm(được trình bày lại - Thuyết minh số 33),numeric__TÀI SẢN,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm(được trình bày lại - Thuyết minh số 33)
200,200,200,B. TÀI SẢN DÀI HẠN,,1.969.795.984.341,2.144.128.760.860,,,1969795984341.0,2144128760860.0
210,210,210,I. Các khoản phải thu dài hạn,,160.197.585.636,220.720.221.163,,,160197585636.0,220720221163.0
211,211,211,1. Phải thu dài hạn của khách hàng,6,62.090.158.544,40.615.221.163,,6.0,62090158544.0,40615221163.0
216,216,216,2. Phải thu dài hạn khác,9,98.107.427.092,180.105.000.000,,9.0,98107427092.0,180105000000.0
220,220,220,II. Tài sản cố định,,831.344.750.391,867.630.981.497,,,831344750391.0,867630981497.0
221,221,221,1. Tài sản cố định hữu hình,12,792.308.360.955,828.313.369.897,,12.0,792308360955.0,828313369897.0
222,222,222,Nguyên giá,,1.280.452.282.101,1.258.578.896.627,,,1280452282101.0,1258578896627.0
223,223,223,Giá trị khấu hao lũy kế,,(488.143.921.146),(430.265.526.730),,,-488143921146.0,-430265526730.0
227,227,227,2. Tài sản cố định vô hình,13,39.036.389.436,39.317.611.600,,13.0,39036389436.0,39317611600.0
228,228,228,Nguyên giá,,49.427.373.116,48.378.543.116,,,49427373116.0,48378543116.0
229,229,229,Giá trị hao mòn lũy kế,,(10.390.983.680),(9.060.931.516),,,-10390983680.0,-9060931516.0
230,230,230,III. Bất động sản đầu tư,14,172.796.465.396,187.675.068.920,,14.0,172796465396.0,187675068920.0
231,231,231,1. Nguyên giá,,202.983.590.815,214.030.789.876,,,202983590815.0,214030789876.0
232,232,232,2. Giá trị khấu hao lũy kế,,(30.187.125.419),(26.355.720.956),,,-30187125419.0,-26355720956.0
240,240,240,IV. Tài sản dở dang dài hạn,,110.594.642.540,73.217.126.047,,,110594642540.0,73217126047.0
242,242,242,1. Chi phí xây dựng cơ bản dở dang,15,110.594.642.540,73.217.126.047,,15.0,110594642540.0,73217126047.0
250,250,250,V. Đầu tư tài chính dài hạn,16,650.525.860.224,760.450.143.984,,16.0,650525860224.0,760450143984.0
252,252,252,1. Đầu tư vào công ty liên kết,,647.525.860.224,743.950.143.984,,,647525860224.0,743950143984.0
253,253,253,2. Đầu tư góp vốn vào đơn vị khác,,16.500.000.000,16.500.000.000,,,16500000000.0,16500000000.0
254,254,254,3. Dự phòng đầu tư tài chính dài hạn,,(13.500.000.000),-,,,-13500000000.0,
260,260,260,VI. Tài sản dài hạn khác,,44.336.680.154,34.435.219.249,,,44336680154.0,34435219249.0
261,261,261,1. Chi phí trả trước dài hạn,11,44.336.680.154,34.435.219.249,,11.0,44336680154.0,34435219249.0
270,270,270,TỔNG CỘNG TÀI SẢN,,4.333.252.680.466,3.659.040.041.323,,,4333252680466.0,3659040041323.0
