row_label_raw,row_label_full,Mã số > 01 > 02 > 03 > 04 > 05 > 06,"CHỈ TIÊU > I. LU'U CHUYÊN TIÊN TỪHOẠT ĐỘNG KINH DOANHTổng lợi nhuận kế toán trước thuếĐiều chính cho các khoản:Khẩu hao và hao mòn tài sản cố địnhvà bất động sản đầu tư12, 13, 14Dự phòng (hoàn nhập dự phòng)Lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệLãi từ hoạt động đầu tưChỉ phí lãi vay26","Thuyết minh > I. LU'U CHUYÊN TIÊN TỪHOẠT ĐỘNG KINH DOANHTổng lợi nhuận kế toán trước thuếĐiều chính cho các khoản:Khẩu hao và hao mòn tài sản cố địnhvà bất động sản đầu tư12, 13, 14Dự phòng (hoàn nhập dự phòng)Lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệLãi từ hoạt động đầu tưChỉ phí lãi vay26",Năm nay > 142.961.446.77667.642.908.71945.825.642.906253.975.277(147.078.818.058)108.518.299.203,Năm trước(được trình bày lại - Thuyết minh số 33) > 32.497.332.15366.859.697.015(5.775.027.051)694.355.709(63.587.510.356)60.360.227.171,"numeric__CHỈ TIÊU > I. LU'U CHUYÊN TIÊN TỪHOẠT ĐỘNG KINH DOANHTổng lợi nhuận kế toán trước thuếĐiều chính cho các khoản:Khẩu hao và hao mòn tài sản cố địnhvà bất động sản đầu tư12, 13, 14Dự phòng (hoàn nhập dự phòng)Lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệLãi từ hoạt động đầu tưChỉ phí lãi vay26","numeric__Thuyết minh > I. LU'U CHUYÊN TIÊN TỪHOẠT ĐỘNG KINH DOANHTổng lợi nhuận kế toán trước thuếĐiều chính cho các khoản:Khẩu hao và hao mòn tài sản cố địnhvà bất động sản đầu tư12, 13, 14Dự phòng (hoàn nhập dự phòng)Lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệLãi từ hoạt động đầu tưChỉ phí lãi vay26",numeric__Năm nay > 142.961.446.77667.642.908.71945.825.642.906253.975.277(147.078.818.058)108.518.299.203,numeric__Năm trước(được trình bày lại - Thuyết minh số 33) > 32.497.332.15366.859.697.015(5.775.027.051)694.355.709(63.587.510.356)60.360.227.171
08,08,08,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động(Tăng) giảm các khoản phải thuGiảm hàng tồn khoTăng các khoản phải trảTăng chi phí trả trướcTăng chứng khoán kinh doanhTiền lãi vay đã trảThuế thu nhập doanh nghiệp đã nộpTiền chi khác cho hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động(Tăng) giảm các khoản phải thuGiảm hàng tồn khoTăng các khoản phải trảTăng chi phí trả trướcTăng chứng khoán kinh doanhTiền lãi vay đã trảThuế thu nhập doanh nghiệp đã nộpTiền chi khác cho hoạt động kinh doanh,218.123.454.823(290.661.076.553)54.590.748.23614.470.253.741(14.098.730.086)(364.085.411.885)(100.254.973.278)(16.879.305.384)(10.236.254.821),91.049.074.641213.848.831.948315.304.421.39614.526.492.703(25.267.606.968)(199.342.282.103)(48.794.216.344)(19.753.620.371)(6.495.500.242),,,,
09,09,09,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động(Tăng) giảm các khoản phải thuGiảm hàng tồn khoTăng các khoản phải trảTăng chi phí trả trướcTăng chứng khoán kinh doanhTiền lãi vay đã trảThuế thu nhập doanh nghiệp đã nộpTiền chi khác cho hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động(Tăng) giảm các khoản phải thuGiảm hàng tồn khoTăng các khoản phải trảTăng chi phí trả trướcTăng chứng khoán kinh doanhTiền lãi vay đã trảThuế thu nhập doanh nghiệp đã nộpTiền chi khác cho hoạt động kinh doanh,218.123.454.823(290.661.076.553)54.590.748.23614.470.253.741(14.098.730.086)(364.085.411.885)(100.254.973.278)(16.879.305.384)(10.236.254.821),91.049.074.641213.848.831.948315.304.421.39614.526.492.703(25.267.606.968)(199.342.282.103)(48.794.216.344)(19.753.620.371)(6.495.500.242),,,,
10,10,10,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động(Tăng) giảm các khoản phải thuGiảm hàng tồn khoTăng các khoản phải trảTăng chi phí trả trướcTăng chứng khoán kinh doanhTiền lãi vay đã trảThuế thu nhập doanh nghiệp đã nộpTiền chi khác cho hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động(Tăng) giảm các khoản phải thuGiảm hàng tồn khoTăng các khoản phải trảTăng chi phí trả trướcTăng chứng khoán kinh doanhTiền lãi vay đã trảThuế thu nhập doanh nghiệp đã nộpTiền chi khác cho hoạt động kinh doanh,218.123.454.823(290.661.076.553)54.590.748.23614.470.253.741(14.098.730.086)(364.085.411.885)(100.254.973.278)(16.879.305.384)(10.236.254.821),91.049.074.641213.848.831.948315.304.421.39614.526.492.703(25.267.606.968)(199.342.282.103)(48.794.216.344)(19.753.620.371)(6.495.500.242),,,,
11,11,11,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động(Tăng) giảm các khoản phải thuGiảm hàng tồn khoTăng các khoản phải trảTăng chi phí trả trướcTăng chứng khoán kinh doanhTiền lãi vay đã trảThuế thu nhập doanh nghiệp đã nộpTiền chi khác cho hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động(Tăng) giảm các khoản phải thuGiảm hàng tồn khoTăng các khoản phải trảTăng chi phí trả trướcTăng chứng khoán kinh doanhTiền lãi vay đã trảThuế thu nhập doanh nghiệp đã nộpTiền chi khác cho hoạt động kinh doanh,218.123.454.823(290.661.076.553)54.590.748.23614.470.253.741(14.098.730.086)(364.085.411.885)(100.254.973.278)(16.879.305.384)(10.236.254.821),91.049.074.641213.848.831.948315.304.421.39614.526.492.703(25.267.606.968)(199.342.282.103)(48.794.216.344)(19.753.620.371)(6.495.500.242),,,,
12,12,12,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động(Tăng) giảm các khoản phải thuGiảm hàng tồn khoTăng các khoản phải trảTăng chi phí trả trướcTăng chứng khoán kinh doanhTiền lãi vay đã trảThuế thu nhập doanh nghiệp đã nộpTiền chi khác cho hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động(Tăng) giảm các khoản phải thuGiảm hàng tồn khoTăng các khoản phải trảTăng chi phí trả trướcTăng chứng khoán kinh doanhTiền lãi vay đã trảThuế thu nhập doanh nghiệp đã nộpTiền chi khác cho hoạt động kinh doanh,218.123.454.823(290.661.076.553)54.590.748.23614.470.253.741(14.098.730.086)(364.085.411.885)(100.254.973.278)(16.879.305.384)(10.236.254.821),91.049.074.641213.848.831.948315.304.421.39614.526.492.703(25.267.606.968)(199.342.282.103)(48.794.216.344)(19.753.620.371)(6.495.500.242),,,,
13,13,13,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động(Tăng) giảm các khoản phải thuGiảm hàng tồn khoTăng các khoản phải trảTăng chi phí trả trướcTăng chứng khoán kinh doanhTiền lãi vay đã trảThuế thu nhập doanh nghiệp đã nộpTiền chi khác cho hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động(Tăng) giảm các khoản phải thuGiảm hàng tồn khoTăng các khoản phải trảTăng chi phí trả trướcTăng chứng khoán kinh doanhTiền lãi vay đã trảThuế thu nhập doanh nghiệp đã nộpTiền chi khác cho hoạt động kinh doanh,218.123.454.823(290.661.076.553)54.590.748.23614.470.253.741(14.098.730.086)(364.085.411.885)(100.254.973.278)(16.879.305.384)(10.236.254.821),91.049.074.641213.848.831.948315.304.421.39614.526.492.703(25.267.606.968)(199.342.282.103)(48.794.216.344)(19.753.620.371)(6.495.500.242),,,,
14,14,14,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động(Tăng) giảm các khoản phải thuGiảm hàng tồn khoTăng các khoản phải trảTăng chi phí trả trướcTăng chứng khoán kinh doanhTiền lãi vay đã trảThuế thu nhập doanh nghiệp đã nộpTiền chi khác cho hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động(Tăng) giảm các khoản phải thuGiảm hàng tồn khoTăng các khoản phải trảTăng chi phí trả trướcTăng chứng khoán kinh doanhTiền lãi vay đã trảThuế thu nhập doanh nghiệp đã nộpTiền chi khác cho hoạt động kinh doanh,218.123.454.823(290.661.076.553)54.590.748.23614.470.253.741(14.098.730.086)(364.085.411.885)(100.254.973.278)(16.879.305.384)(10.236.254.821),91.049.074.641213.848.831.948315.304.421.39614.526.492.703(25.267.606.968)(199.342.282.103)(48.794.216.344)(19.753.620.371)(6.495.500.242),,,,
15,15,15,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động(Tăng) giảm các khoản phải thuGiảm hàng tồn khoTăng các khoản phải trảTăng chi phí trả trướcTăng chứng khoán kinh doanhTiền lãi vay đã trảThuế thu nhập doanh nghiệp đã nộpTiền chi khác cho hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động(Tăng) giảm các khoản phải thuGiảm hàng tồn khoTăng các khoản phải trảTăng chi phí trả trướcTăng chứng khoán kinh doanhTiền lãi vay đã trảThuế thu nhập doanh nghiệp đã nộpTiền chi khác cho hoạt động kinh doanh,218.123.454.823(290.661.076.553)54.590.748.23614.470.253.741(14.098.730.086)(364.085.411.885)(100.254.973.278)(16.879.305.384)(10.236.254.821),91.049.074.641213.848.831.948315.304.421.39614.526.492.703(25.267.606.968)(199.342.282.103)(48.794.216.344)(19.753.620.371)(6.495.500.242),,,,
17,17,17,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động(Tăng) giảm các khoản phải thuGiảm hàng tồn khoTăng các khoản phải trảTăng chi phí trả trướcTăng chứng khoán kinh doanhTiền lãi vay đã trảThuế thu nhập doanh nghiệp đã nộpTiền chi khác cho hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động(Tăng) giảm các khoản phải thuGiảm hàng tồn khoTăng các khoản phải trảTăng chi phí trả trướcTăng chứng khoán kinh doanhTiền lãi vay đã trảThuế thu nhập doanh nghiệp đã nộpTiền chi khác cho hoạt động kinh doanh,218.123.454.823(290.661.076.553)54.590.748.23614.470.253.741(14.098.730.086)(364.085.411.885)(100.254.973.278)(16.879.305.384)(10.236.254.821),91.049.074.641213.848.831.948315.304.421.39614.526.492.703(25.267.606.968)(199.342.282.103)(48.794.216.344)(19.753.620.371)(6.495.500.242),,,,
20,17 > 20,20,Lưu chuyển tiền thuần (sử dụng vào)từ hoạt động kinh doanh,Lưu chuyển tiền thuần (sử dụng vào)từ hoạt động kinh doanh,(509.031.295.207),335.075.594.660,,,-509031295207.0,335075594660.0
