row_label_raw,row_label_full,Cho vay bên liên quan (Thuyết minh số 30),(i),Số cuối năm > 6.500.000.000,VND Số đầu năm > 6.500.000.000,numeric__(i),numeric__Số cuối năm > 6.500.000.000,numeric__VND Số đầu năm > 6.500.000.000
Cho vay các bên khác,Cho vay các bên khác,Cho vay các bên khác,(ii),5.740.000.000,-,,5740000000.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,12.240.000.000,6.500.000.000,,12240000000.0,6500000000.0
