row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Khác,VND Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Khác,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số dư đầu năm,Nguyên giá: > Số dư đầu năm,Số dư đầu năm,45.864.289.916,2.514.253.200,-,48.378.543.116,45864289916.0,2514253200.0,,48378543116.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,351.000.000,-,351.000.000,,351000000.0,,351000000.0
Đầu tư XDCB hoàn thành,Nguyên giá: > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,-,-,697.830.000,697.830.000,,,697830000.0,697830000.0
Số dư cuối năm,Nguyên giá: > Số dư cuối năm,Số dư cuối năm,45.864.289.916,2.865.253.200,697.830.000,49.427.373.116,45864289916.0,2865253200.0,697830000.0,49427373116.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,-,1.953.982.200,-,1.953.982.200,,1953982200.0,,1953982200.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế: > Số dư đầu năm,Số dư đầu năm,(6.833.020.201),(2.227.911.315),-,(9.060.931.516),-6833020201.0,-2227911315.0,,-9060931516.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,(1.001.091.078),(96.351.086),(232.610.000),(1.330.052.164),-1001091078.0,-96351086.0,-232610000.0,-1330052164.0
Số dư cuối năm,Giá trị hao mòn lũy kế: > Số dư cuối năm,Số dư cuối năm,(7.834.111.279),(2.324.262.401),(232.610.000),(10.390.983.680),-7834111279.0,-2324262401.0,-232610000.0,-10390983680.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số dư đầu năm,Giá trị còn lại: > Số dư đầu năm,Số dư đầu năm,39.031.269.715,286.341.885,-,39.317.611.600,39031269715.0,286341885.0,,39317611600.0
Số dư cuối năm,Giá trị còn lại: > Số dư cuối năm,Số dư cuối năm,38.030.178.637,540.990.799,465.220.000,39.036.389.436,38030178637.0,540990799.0,465220000.0,39036389436.0
