row_label_raw,row_label_full,Mã số,TÀI SẢN,Thuyết minh,Số cuối năm,Số đầu năm(được trình bày lại - Thuyết minh số 33),numeric__TÀI SẢN,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm(được trình bày lại - Thuyết minh số 33)
100,100,100,A. TÀI SẢN NGĂN HẠN,,2.363.456.696.125,1.514.911.280.463,,,2363456696125.0,1514911280463.0
110,110,110,I. Tiền và các khoản tương đương tiền,4,59.013.422.509,93.029.583.315,,4.0,59013422509.0,93029583315.0
111,111,111,1. Tiền,,46.658.172.509,93.029.583.315,,,46658172509.0,93029583315.0
112,112,112,2. Các khoản tương đương tiền,,12.355.250.000,-,,,12355250000.0,
120,120,120,II. Đầu tư tài chính ngắn hạn,5,544.091.482.512,210.525.817.397,,5.0,544091482512.0,210525817397.0
121,121,121,1. Chứng khoán kinh doanh,,581.735.572.135,217.650.160.250,,,581735572135.0,217650160250.0
122,122,122,2. Dự phòng giảm giá chứng khoán kinh doanh,,(40.304.089.623),(7.124.342.853),,,-40304089623.0,-7124342853.0
123,123,123,3. Đầu tư năm giữ đến ngày đáo hạn,,2.660.000.000,-,,,2660000000.0,
130,130,130,III. Các khoản phải thu ngắn hạn,,1.086.956.952.827,485.278.580.844,,,1086956952827.0,485278580844.0
131,131,131,1. Phải thu ngắn hạn của khách hàng,6,665.077.802.066,413.905.443.039,,6.0,665077802066.0,413905443039.0
132,132,132,2. Trả trước cho người bán ngắn hạn,7,19.008.550.328,20.940.897.141,,7.0,19008550328.0,20940897141.0
135,135,135,3. Phải thu về cho vay ngắn hạn,8,12.240.000.000,6.500.000.000,,8.0,12240000000.0,6500000000.0
136,136,136,4. Phải thu ngắn hạn khác,9,390.630.600.433,43.272.650.517,,9.0,390630600433.0,43272650517.0
139,139,139,5. Tài sản thiếu chờ xử lý,,-,659.590.147,,,,659590147.0
140,140,140,IV. Hàng tồn kho,10,626.120.277.817,681.503.962.028,,10.0,626120277817.0,681503962028.0
141,141,141,1. Hàng tồn kho,,626.474.745.126,682.712.533.201,,,626474745126.0,682712533201.0
149,149,149,2. Dự phòng giảm giá hàng tồn kho,,(354.467.309),(1.208.571.173),,,-354467309.0,-1208571173.0
150,150,150,V. Tài sản ngắn hạn khác,,47.274.560.460,44.573.336.879,,,47274560460.0,44573336879.0
151,151,151,1. Chi phí trả trước ngắn hạn,11,8.105.833.818,3.908.564.637,,11.0,8105833818.0,3908564637.0
152,152,152,2. Thuế GTGT được khấu trừ,,37.610.569.317,39.122.065.784,,,37610569317.0,39122065784.0
153,153,153,3. Thuế và các khoản khác phải thu Nhà nước,,1.558.157.325,1.542.706.458,,,1558157325.0,1542706458.0
