row_label_raw,row_label_full,col_0,Số cuối năm,VND > Số đầu năm(được trình bày lại - Thuyết minh số 33),numeric__Số cuối năm,numeric__VND > Số đầu năm(được trình bày lại - Thuyết minh số 33)
Bắt động sản dở dang,Bắt động sản dở dang,Bắt động sản dở dang,196.100.559.187,150.756.254.714,196100559187.0,150756254714.0
- Dự án Chung cư Samland Riverside (*),- Dự án Chung cư Samland Riverside (*),- Dự án Chung cư Samland Riverside (*),105.221.914.410,71.806.919.442,105221914410.0,71806919442.0
- Dự án Khu dân cư Nhon Trạch,- Dự án Khu dân cư Nhon Trạch,- Dự án Khu dân cư Nhon Trạch,71.499.801.676,57.919.436.167,71499801676.0,57919436167.0
- Dự án Khu Phúc hợp Tân Vạn,- Dự án Khu Phúc hợp Tân Vạn,- Dự án Khu Phúc hợp Tân Vạn,14.441.238.726,54.015.454,14441238726.0,54015454.0
- Dự án Chung cư Samland Airport,- Dự án Chung cư Samland Airport,- Dự án Chung cư Samland Airport,4.937.604.375,20.975.883.651,4937604375.0,20975883651.0
Hàng hóa bắt động sản,Hàng hóa bắt động sản,Hàng hóa bắt động sản,69.837.110.312,227.352.207.986,69837110312.0,227352207986.0
- Dự án Căn hộ Giai Việt (*),- Dự án Căn hộ Giai Việt (*),- Dự án Căn hộ Giai Việt (*),56.302.593.582,172.345.995.482,56302593582.0,172345995482.0
- Dự án Khu căn hộ cao cấp Hoàng Anh Riverview (*),- Dự án Khu căn hộ cao cấp Hoàng Anh Riverview (*),- Dự án Khu căn hộ cao cấp Hoàng Anh Riverview (*),13.534.516.730,55.006.212.504,13534516730.0,55006212504.0
Hàng đang đi trên đường,Hàng đang đi trên đường,Hàng đang đi trên đường,57.944.804.321,23.534.163.010,57944804321.0,23534163010.0
Nguyên vật liệu,Nguyên vật liệu,Nguyên vật liệu,142.147.418.199,154.771.057.028,142147418199.0,154771057028.0
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",4.586.275.188,5.384.661.828,4586275188.0,5384661828.0
Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,39.831.079.072,21.431.486.763,39831079072.0,21431486763.0
Thành phẩm,Thành phẩm,Thành phẩm,114.715.855.280,97.977.833.365,114715855280.0,97977833365.0
Hàng hóa,Hàng hóa,Hàng hóa,1.311.643.567,1.504.868.507,1311643567.0,1504868507.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,626.474.745.126,682.712.533.201,626474745126.0,682712533201.0
Dự phòng giảm giả hàng tồn kho,Dự phòng giảm giả hàng tồn kho,Dự phòng giảm giả hàng tồn kho,(354.467.309),(1.208.571.173),-354467309.0,-1208571173.0
GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,626.120.277.817,681.503.962.028,626120277817.0,681503962028.0
