row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,,,,
Thành viên Ban Tổng Giám đốc,Phải thu ngắn hạn khác > Thành viên Ban Tổng Giám đốc,Thành viên Ban Tổng Giám đốc,Bên liên quan,Tạm ứng,2.427.811.059,-,,,2427811059.0,
Ông Phạm Ngọc Tùng,Phải thu ngắn hạn khác > Ông Phạm Ngọc Tùng,Ông Phạm Ngọc Tùng,Phó Tổng Giám đốc,Lãi từ ủy thác đầu tư Ủy thác đầu tư,1.671.380.000,- 17.000.000.000,,,1671380000.0,-17000000000.0
Công ty Cổ phần Đầu tư và Phát triển Hạ tầng An Việt,Phải thu ngắn hạn khác > Công ty Cổ phần Đầu tư và Phát triển Hạ tầng An Việt,Công ty Cổ phần Đầu tư và Phát triển Hạ tầng An Việt,Công ty liên kết,Lãi cho vay,631.222.222,-,,,631222222.0,
Công ty Cổ phần Sam Nông nghiệp Công nghệ cao,Phải thu ngắn hạn khác > Công ty Cổ phần Sam Nông nghiệp Công nghệ cao,Công ty Cổ phần Sam Nông nghiệp Công nghệ cao,Công ty liên kết,Chi hộ,210.748.930,-,,,210748930.0,
TỔNG CỘNG,Phải thu ngắn hạn khác > TỔNG CỘNG,TỔNG CỘNG,,,4.941.162.211,17.000.000.000,,,4941162211.0,17000000000.0
Vay,Vay,Vay,Vay,Vay,Vay,Vay,,,,
Công ty Cổ phần Bất động sản Hiệp Phú,Vay > Công ty Cổ phần Bất động sản Hiệp Phú,Công ty Cổ phần Bất động sản Hiệp Phú,Công ty liên kết,Vay,-,61.883.657.371,,,,61883657371.0
Các giao dịch với các bên liên quan khác,Các giao dịch với các bên liên quan khác,Các giao dịch với các bên liên quan khác,Các giao dịch với các bên liên quan khác,Các giao dịch với các bên liên quan khác,Các giao dịch với các bên liên quan khác,Các giao dịch với các bên liên quan khác,,,,
"Thu nhập và thủ lao của các thành viên Hội đồng Quản trị, Ban kiểm soát và Ban Tổng Giám đốc:","Thu nhập và thủ lao của các thành viên Hội đồng Quản trị, Ban kiểm soát và Ban Tổng Giám đốc:","Thu nhập và thủ lao của các thành viên Hội đồng Quản trị, Ban kiểm soát và Ban Tổng Giám đốc:","Thu nhập và thủ lao của các thành viên Hội đồng Quản trị, Ban kiểm soát và Ban Tổng Giám đốc:","Thu nhập và thủ lao của các thành viên Hội đồng Quản trị, Ban kiểm soát và Ban Tổng Giám đốc:","Thu nhập và thủ lao của các thành viên Hội đồng Quản trị, Ban kiểm soát và Ban Tổng Giám đốc:","Thu nhập và thủ lao của các thành viên Hội đồng Quản trị, Ban kiểm soát và Ban Tổng Giám đốc:",,,,
,,,,,Năm nay,VND Năm trước,,,,
Lương và thường,"Thu nhập và thủ lao của các thành viên Hội đồng Quản trị, Ban kiểm soát và Ban Tổng Giám đốc: > Lương và thường",Lương và thường,,,16.196.968.666,13.462.548.936,,,16196968666.0,13462548936.0
