row_label_raw,row_label_full,Hợp đồng số 01/2017/SAM-CONIC/HĐVV,5.440.000.000,"10,15%",Tín chấp,numeric__5.440.000.000,"numeric__10,15%",numeric__Tín chấp
Trung tâm Hỗ trợ Thanh niên Khởi nghiệp,Trung tâm Hỗ trợ Thanh niên Khởi nghiệp,Trung tâm Hỗ trợ Thanh niên Khởi nghiệp,,,,,,
Hợp đồng số 03/2017/SAM-SYS/HĐVV,Trung tâm Hỗ trợ Thanh niên Khởi nghiệp > Hợp đồng số 03/2017/SAM-SYS/HĐVV,Hợp đồng số 03/2017/SAM-SYS/HĐVV,300.000.000,"9,5%",Tín chấp,300000000.0,0.095,
TỔNG CỘNG,Trung tâm Hỗ trợ Thanh niên Khởi nghiệp > TỔNG CỘNG,TỔNG CỘNG,5.740.000.000,,,5740000000.0,,
