row_label_raw,row_label_full,Chứng khoán kinh doanh (Thuyết minh số 5.1),Số cuối năm > 581.735.572.135,VND Số đầu năm > 217.650.160.250,numeric__Số cuối năm > 581.735.572.135,numeric__VND Số đầu năm > 217.650.160.250
Dự phòng giảm giá chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,(40.304.089.623),(7.124.342.853),-40304089623.0,-7124342853.0
Đầu tư nằm giữ đến ngày đáo hạn (*),Đầu tư nằm giữ đến ngày đáo hạn (*),Đầu tư nằm giữ đến ngày đáo hạn (*),2.660.000.000,-,2660000000.0,
TỔNG CỔNG,TỔNG CỔNG,TỔNG CỔNG,544.091.482.512,210.525.817.397,544091482512.0,210525817397.0
