row_label_raw,row_label_full,col_0,Năm nay,VND > Năm trước(được trình bày lại - Thuyết minh số 33),numeric__Năm nay,numeric__VND > Năm trước(được trình bày lại - Thuyết minh số 33)
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,1.726.142.617.611,1.341.885.669.950,1726142617611.0,1341885669950.0
Giá vốn bán căn hộ,Giá vốn bán căn hộ,Giá vốn bán căn hộ,182.805.703.526,251.223.623.550,182805703526.0,251223623550.0
Giá vốn dịch vụ đã cung cấp,Giá vốn dịch vụ đã cung cấp,Giá vốn dịch vụ đã cung cấp,110.587.678.086,104.589.201.327,110587678086.0,104589201327.0
Giá vốn bán bất động sản đầu tư,Giá vốn bán bất động sản đầu tư,Giá vốn bán bất động sản đầu tư,11.793.151.494,-,11793151494.0,
TỔNG CỔNG,TỔNG CỔNG,TỔNG CỔNG,2.031.329.150.717,1.697.698.494.827,2031329150717.0,1697698494827.0
