row_label_raw,row_label_full,col_0,Số cuối năm,VND Số đầu năm (được trình bày lại - Thuyết minh số 33),numeric__Số cuối năm,numeric__VND Số đầu năm (được trình bày lại - Thuyết minh số 33)
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
"Công cụ, dụng cụ","Ngắn hạn > Công cụ, dụng cụ","Công cụ, dụng cụ",5.519.834.336,2.480.974.596,5519834336.0,2480974596.0
Khác,Ngắn hạn > Khác,Khác,2.585.999.482,1.427.590.041,2585999482.0,1427590041.0
,,,8.105.833.818,3.908.564.637,8105833818.0,3908564637.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
"Công cụ, dụng cụ","Dài hạn > Công cụ, dụng cụ","Công cụ, dụng cụ",12.759.628.464,24.755.719.132,12759628464.0,24755719132.0
Chi phí nhà mẫu,Dài hạn > Chi phí nhà mẫu,Chi phí nhà mẫu,7.541.256.407,-,7541256407.0,
Phí hoa hồng môi giới,Dài hạn > Phí hoa hồng môi giới,Phí hoa hồng môi giới,7.617.998.905,4.340.488.086,7617998905.0,4340488086.0
Chi phí thuê đất,Dài hạn > Chi phí thuê đất,Chi phí thuê đất,1.851.674.926,2.063.294.915,1851674926.0,2063294915.0
Chi phí sửa chữa văn phòng,Dài hạn > Chi phí sửa chữa văn phòng,Chi phí sửa chữa văn phòng,738.544.170,640.577.611,738544170.0,640577611.0
Khác,Dài hạn > Khác,Khác,13.827.577.282,2.635.139.505,13827577282.0,2635139505.0
,,,44.336.680.154,34.435.219.249,44336680154.0,34435219249.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,52.442.513.972,38.343.783.886,52442513972.0,38343783886.0
