row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm nay,Năm trước (được trình bày lại - Thuyết minh số 33),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước (được trình bày lại - Thuyết minh số 33)
01,01,01,1. Doanh thu bán hàng và cung cấp dịch vụ,24.1,2.227.819.761.128,1.829.499.531.249,,241.0,2227819761128.0,1829499531249.0
02,02,02,2. Các khoản giảm trừ doanh thu,24.1,(6.952.100.911),(3.817.741.808),,241.0,-6952100911.0,-3817741808.0
10,10,10,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,24.1,2.220.867.660.217,1.825.681.789.441,,241.0,2220867660217.0,1825681789441.0
11,11,11,4. Giá vốn hàng bán và dịch vụ cung cấp,25,(2.031.329.150.717),(1.697.698.494.827),,25.0,-2031329150717.0,-1697698494827.0
20,20,20,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,189.538.509.500,127.983.294.614,,,189538509500.0,127983294614.0
21,21,21,6. Doanh thu hoạt động tài chính,24.2,237.947.496.031,65.134.818.039,,242.0,237947496031.0,65134818039.0
22,22,22,7. Chi phí tài chính Trong đó: Chi phí lãi vay,26,(170.190.466.726) (108.518.299.203),(66.108.603.224) (60.360.227.171),,26.0,,
23,23,23,7. Chi phí tài chính Trong đó: Chi phí lãi vay,26,(170.190.466.726) (108.518.299.203),(66.108.603.224) (60.360.227.171),,26.0,,
24,24,24,8. Phần lãi trong công ty liên kết,,21.855.003.944,551.366.669,,,21855003944.0,551366669.0
25,25,25,9. Chi phí bán hàng,27,(56.336.970.777),(44.261.329.119),,27.0,-56336970777.0,-44261329119.0
26,26,26,10. Chi phí quản lý doanh nghiệp,27,(78.255.337.946),(51.080.459.320),,27.0,-78255337946.0,-51080459320.0
30,30,30,11. Lợi nhuận thuần từ hoạt động kinh doanh,,144.558.234.026,32.219.087.659,,,144558234026.0,32219087659.0
31,31,31,12. Thu nhập khác,28,2.122.058.301,2.908.454.110,,28.0,2122058301.0,2908454110.0
32,32,32,13. Chi phí khác,28,(3.718.845.551),(2.630.209.616),,28.0,-3718845551.0,-2630209616.0
40,40,40,14. (Lỗ) lợi nhuận khác,,(1.596.787.250),278.244.494,,,-1596787250.0,278244494.0
50,50,50,15. Tổng lợi nhuận kế toán trước thuế,,142.961.446.776,32.497.332.153,,,142961446776.0,32497332153.0
51,51,51,16. Chi phí thuế TNDN hiện hành,29.2,(21.196.067.767),(13.510.199.275),,292.0,-21196067767.0,-13510199275.0
52,52,52,17. (Chi phí) thu nhập thuế TNDN hoãn lại,29.3,(7.812.768.491),1.322.707.060,,293.0,-7812768491.0,1322707060.0
60,60,60,18. Lợi nhuận sau thuế TNDN,,113.952.610.518,20.309.839.938,,,113952610518.0,20309839938.0
61,61,61,19. Lợi nhuận sau thuế của công ty mẹ,,109.181.495.840,21.078.226.442,,,109181495840.0,21078226442.0
62,62,62,20. Lợi nhuận (lỗ) sau thuế của cổ đông không kiểm soát,,4.771.114.678,(768.386.504),,,4771114678.0,-768386504.0
70,70,70,21. Lãi cơ bản trên cổ phiếu,23.4,429,84,,234.0,429.0,84.0
71,71,71,22. Lãi suy giảm trên cổ phiếu,23.4,429,84,,234.0,429.0,84.0
