row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm nay,Năm trước (được trình bày lại - Thuyết minh số 33),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước (được trình bày lại - Thuyết minh số 33)
,,,III. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,,,,
31,31,31,Nhận vốn góp của cổ đông không kiểm soát,,-,220.000.000,,,,220000000.0
33,33,33,Tiền thu từ đi vay,22,2.145.968.068.597,1.514.507.529.174,,22.0,2145968068597.0,1514507529174.0
34,34,34,Tiền trả nợ gốc vay,22,(1.721.860.912.549),(1.391.255.249.052),,22.0,-1721860912549.0,-1391255249052.0
36,36,36,Cổ tức đã trả cho chủ sở hữu và cổ đông không kiểm soát,23.2,(158.944.658),-,,232.0,-158944658.0,
40,40,40,Lưu chuyển tiền thuần từ hoạt động tài chính,,423.948.211.390,123.472.280.122,,,423948211390.0,123472280122.0
50,50,50,(Giảm) tăng tiền và tương đương tiền thuần trong năm,,(34.013.172.296),3.688.699.310,,,-34013172296.0,3688699310.0
60,60,60,Tiền và tương đương tiền đầu năm,,93.029.583.315,89.323.013.379,,,93029583315.0,89323013379.0
61,61,61,Ảnh hưởng bởi chênh lệch tỷ giá,,(2.988.510),17.870.626,,,-2988510.0,17870626.0
70,70,70,Tiền và tương đương tiền cuối năm,4,59.013.422.509,93.029.583.315,,4.0,59013422509.0,93029583315.0
