row_label_raw,row_label_full,col_0,Số cuối năm,VND > Số đầu năm(được trình bày lại - Thuyết minh số 33),numeric__Số cuối năm,numeric__VND > Số đầu năm(được trình bày lại - Thuyết minh số 33)
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Vay ngân hàng (Thuyết minh số 22.1),Ngắn hạn > Vay ngân hàng (Thuyết minh số 22.1),Vay ngân hàng (Thuyết minh số 22.1),558.038.699.277,863.946.367.941,558038699277.0,863946367941.0
Vay từ Công ty Cổ phần Chứng Khoán,Vay từ Công ty Cổ phần Chứng Khoán,Vay từ Công ty Cổ phần Chứng Khoán,,,,
Sài Gòn (Thuyết minh số 22.2),Vay từ Công ty Cổ phần Chứng Khoán > Sài Gòn (Thuyết minh số 22.2),Sài Gòn (Thuyết minh số 22.2),58.452.651.078,-,58452651078.0,
Vay bên liên quan (Thuyết minh số 30),Vay từ Công ty Cổ phần Chứng Khoán > Vay bên liên quan (Thuyết minh số 30),Vay bên liên quan (Thuyết minh số 30),-,61.883.657.371,,61883657371.0
Vay cá nhân,Vay từ Công ty Cổ phần Chứng Khoán > Vay cá nhân,Vay cá nhân,-,7.000.000.000,,7000000000.0
Vay dài hạn đến hạn trả(Thuyết minh số 22.3),Vay từ Công ty Cổ phần Chứng Khoán > Vay dài hạn đến hạn trả(Thuyết minh số 22.3),Vay dài hạn đến hạn trả(Thuyết minh số 22.3),13.760.642.341,16.747.716.103,13760642341.0,16747716103.0
,,,630.251.992.696,949.577.741.415,630251992696.0,949577741415.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Vay ngân hàng (Thuyết minh số 22.3),Dài hạn > Vay ngân hàng (Thuyết minh số 22.3),Vay ngân hàng (Thuyết minh số 22.3),760.063.187.944,16.630.283.177,760063187944.0,16630283177.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,1.390.315.180.640,966.208.024.592,1390315180640.0,966208024592.0
