row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,Số cuối năm,Số đầu năm(được trình bày lại - Thuyết minh số 33),numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm(được trình bày lại - Thuyết minh số 33)
300,300,300,C. NỘ PHẢI TRẢ,,1.665.018.087.032,1.205.945.003.240,,,1665018087032.0,1205945003240.0
310,310,310,I. Nợ ngắn hạn,,877.118.516.761,1.171.041.321.283,,,877118516761.0,1171041321283.0
311,311,311,1. Phải trả người bán ngắn hạn,17,133.997.464.630,129.494.299.518,,17.0,133997464630.0,129494299518.0
312,312,312,2. Người mua trả tiền trước ngắn hạn,18,19.986.591.997,13.645.833.490,,18.0,19986591997.0,13645833490.0
313,313,313,3. Thuế và các khoản phải nộp Nhà nước,19,11.074.791.672,5.749.601.512,,19.0,11074791672.0,5749601512.0
314,314,314,4. Phải trả người lao động,,16.228.885.952,14.264.705.716,,,16228885952.0,14264705716.0
315,315,315,5. Chi phí phải trả ngắn hạn,20,23.426.103.564,26.901.176.722,,20.0,23426103564.0,26901176722.0
318,318,318,6. Doanh thu chưa thực hiện ngắn hạn,,2.016.556.656,2.703.401.142,,,2016556656.0,2703401142.0
319,319,319,7. Phải trả ngắn hạn khác,21,31.009.920.749,23.004.392.766,,21.0,31009920749.0,23004392766.0
320,320,320,8. Vay ngắn hạn,22,630.251.992.696,949.577.741.415,,22.0,630251992696.0,949577741415.0
322,322,322,"9. Quỹ khen thưởng, phúc lợi",,9.126.208.845,5.700.169.002,,,9126208845.0,5700169002.0
330,330,330,II. Nợ dài hạn,,787.899.570.271,34.903.681.957,,,787899570271.0,34903681957.0
331,331,331,1. Phải trả người bán dài hạn,,519.220.713,-,,,519220713.0,
336,336,336,2. Doanh thu chưa thực hiện dài hạn,,3.798.805.078,5.513.157.920,,,3798805078.0,5513157920.0
337,337,337,3. Phải trả dài hạn khác,,7.912.478.915,4.967.131.730,,,7912478915.0,4967131730.0
338,338,338,4. Vay dài hạn,22,760.063.187.944,16.630.283.177,,22.0,760063187944.0,16630283177.0
341,341,341,5. Thuế thu nhập hoãn lại phải trả,29.3,15.605.877.621,7.793.109.130,,293.0,15605877621.0,7793109130.0
400,400,400,D. VỐN CHỦ SỞ HỮU,,2.668.234.593.434,2.453.095.038.083,,,2668234593434.0,2453095038083.0
410,410,410,I. Vốn chủ sở hữu,,2.668.234.593.434,2.453.095.038.083,,,2668234593434.0,2453095038083.0
411,411,411,1. Vốn cổ phần,23.1,2.417.857.030.000,1.802.353.360.000,,231.0,2417857030000.0,1802353360000.0
411a,411a,411a,- Cổ phiếu phổ thông có quyền biểu quyết,,2.417.857.030.000,1.802.353.360.000,,,2417857030000.0,1802353360000.0
412,412,412,2. Thặng dư vốn cổ phần,23.1,-,406.943.449.943,,231.0,,406943449943.0
418,418,418,3. Quỹ đầu tư phát triển,23.1,8.999.152.874,157.223.527.798,,231.0,8999152874.0,157223527798.0
421,421,421,4. Lợi nhuận sau thuế chưa phân phối,23.1,93.759.294.157,45.195.094.472,,231.0,93759294157.0,45195094472.0
421a,421a,421a,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,,-,33.790.326.922,,,,33790326922.0
421b,421b,421b,- Lợi nhuận sau thuế chưa phân phối năm nay,,93.759.294.157,11.404.767.550,,,93759294157.0,11404767550.0
429,429,429,5. Lợi ích cổ đông không kiểm soát,,147.619.116.403,41.379.605.870,,,147619116403.0,41379605870.0
440,440,440,TỔNG CỘNG NGUỒN VỐN,,4.333.252.680.466,3.659.040.041.323,,,4333252680466.0,3659040041323.0
