row_label_raw,row_label_full,col_0,Năm nay,VNDNăm trước(được trình bày lại -Thuyết minh số 33),numeric__Năm nay,numeric__VNDNăm trước(được trình bày lại -Thuyết minh số 33)
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,56.336.970.777,44.261.329.119,56336970777.0,44261329119.0
- Chi phí dịch vụ mua ngoài,- Chi phí dịch vụ mua ngoài,- Chi phí dịch vụ mua ngoài,19.967.085.951,9.342.458.341,19967085951.0,9342458341.0
- Chi phí lương,- Chi phí lương,- Chi phí lương,11.300.875.484,10.351.685.211,11300875484.0,10351685211.0
"- Chi phí hoa hồng, môi giới","- Chi phí hoa hồng, môi giới","- Chi phí hoa hồng, môi giới",6.087.023.806,5.542.135.508,6087023806.0,5542135508.0
- Chi phí khấu hao và hao mòn,- Chi phí khấu hao và hao mòn,- Chi phí khấu hao và hao mòn,189.235.966,222.756.727,189235966.0,222756727.0
- Chi phí khác,- Chi phí khác,- Chi phí khác,18.792.749.570,18.802.293.332,18792749570.0,18802293332.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,78.255.337.946,51.080.459.320,78255337946.0,51080459320.0
- Chi phí lương,- Chi phí lương,- Chi phí lương,42.109.671.863,28.830.017.084,42109671863.0,28830017084.0
- Chi phí dịch vụ mua ngoài,- Chi phí dịch vụ mua ngoài,- Chi phí dịch vụ mua ngoài,10.849.493.608,7.379.615.697,10849493608.0,7379615697.0
- Chi phí đồ dùng văn phòng,- Chi phí đồ dùng văn phòng,- Chi phí đồ dùng văn phòng,2.290.046.470,680.629.897,2290046470.0,680629897.0
- Chi phí khấu hao và hao mòn,- Chi phí khấu hao và hao mòn,- Chi phí khấu hao và hao mòn,1.971.667.916,1.889.629.381,1971667916.0,1889629381.0
- Chi phí khác,- Chi phí khác,- Chi phí khác,21.034.458.089,12.300.567.261,21034458089.0,12300567261.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,134.592.308.723,95.341.788.439,134592308723.0,95341788439.0
