row_label_raw,row_label_full,col_0,Nhà cửa vàvật kiến trúc,Máy mócvà thiết bị,VNDTổng cộng,numeric__Nhà cửa vàvật kiến trúc,numeric__Máy mócvà thiết bị,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số dư đầu năm(được trình bày lại -Thuyết minh số 33)Kết chuyển từ tài sảncố định hữu hìnhThanh lý,Số dư đầu năm(được trình bày lại -Thuyết minh số 33)Kết chuyển từ tài sảncố định hữu hìnhThanh lý,Số dư đầu năm(được trình bày lại -Thuyết minh số 33)Kết chuyển từ tài sảncố định hữu hìnhThanh lý,151.152.611.3243.586.166.618(14.633.365.679),51.666.356.733-,202.818.968.0573.586.166.618(14.633.365.679),,,
Số dư cuối năm,Số dư đầu năm(được trình bày lại -Thuyết minh số 33)Kết chuyển từ tài sảncố định hữu hìnhThanh lý > Số dư cuối năm,Số dư cuối năm,140.105.412.263,51.666.356.733,191.771.768.996,140105412263.0,51666356733.0,191771768996.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,
Số dư đầu năm(được trình bày lại -Thuyết minh số 33)Khấu hao trong nămKết chuyển từ tài sảncố định hữu hìnhThanh lý,Số dư đầu năm(được trình bày lại -Thuyết minh số 33)Khấu hao trong nămKết chuyển từ tài sảncố định hữu hìnhThanh lý,Số dư đầu năm(được trình bày lại -Thuyết minh số 33)Khấu hao trong nămKết chuyển từ tài sảncố định hữu hìnhThanh lý,(14.852.405.046)(3.569.430.603)(884.587.779)2.858.736.185,(11.503.315.910)(2.236.122.266)-,(26.355.720.956)(5.805.552.869)(884.587.779)2.858.736.185,,,
Số dư cuối năm,Số dư đầu năm(được trình bày lại -Thuyết minh số 33)Khấu hao trong nămKết chuyển từ tài sảncố định hữu hìnhThanh lý > Số dư cuối năm,Số dư cuối năm,(16.447.687.243),(13.739.438.176),(30.187.125.419),-16447687243.0,-13739438176.0,-30187125419.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số dư đầu năm,Giá trị còn lại: > Số dư đầu năm,Số dư đầu năm,136.300.206.278,40.163.040.823,176.463.247.101,136300206278.0,40163040823.0,176463247101.0
Số dư cuối năm,Giá trị còn lại: > Số dư cuối năm,Số dư cuối năm,123.657.725.020,37.926.918.557,161.584.643.577,123657725020.0,37926918557.0,161584643577.0
Trong đó:Tài sân thế chấp(Thuyết minh số 22.3),Giá trị còn lại: > Trong đó:Tài sân thế chấp(Thuyết minh số 22.3),Trong đó:Tài sân thế chấp(Thuyết minh số 22.3),122.187.925.415,37.926.918.557,160.114.843.972,122187925415.0,37926918557.0,160114843972.0
