row_label_raw,row_label_full,col_0,Năm nay,VNDNăm trước,numeric__Năm nay,numeric__VNDNăm trước
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,2.227.819.761.128,1.829.499.531.249,2227819761128.0,1829499531249.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu bán hàng hóa,Trong đó: > Doanh thu bán hàng hóa,Doanh thu bán hàng hóa,1.875.711.404.281,1.447.033.377.835,1875711404281.0,1447033377835.0
Doanh thu bán căn hộ,Trong đó: > Doanh thu bán căn hộ,Doanh thu bán căn hộ,223.695.077.869,295.343.816.084,223695077869.0,295343816084.0
Doanh thu cung cấp dịch vụ,Trong đó: > Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,105.183.678.978,87.122.337.330,105183678978.0,87122337330.0
Doanh thu bán bất động sản đầu tư,Trong đó: > Doanh thu bán bất động sản đầu tư,Doanh thu bán bất động sản đầu tư,23.229.600.000,-,23229600000.0,
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,,
Hàng bán trả lại,Các khoản giảm trừ doanh thu > Hàng bán trả lại,Hàng bán trả lại,(6.952.100.911),(3.817.741.808),-6952100911.0,-3817741808.0
DOANH THU THUẦN,Các khoản giảm trừ doanh thu > DOANH THU THUẦN,DOANH THU THUẦN,2.220.867.660.217,1.825.681.789.441,2220867660217.0,1825681789441.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu bán hàng hóa,Trong đó: > Doanh thu bán hàng hóa,Doanh thu bán hàng hóa,1.875.490.650.870,1.445.559.689.915,1875490650870.0,1445559689915.0
Doanh thu bán căn hộ,Trong đó: > Doanh thu bán căn hộ,Doanh thu bán căn hộ,216.963.730.369,292.999.762.196,216963730369.0,292999762196.0
Doanh thu cung cấp dịch vụ,Trong đó: > Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,105.183.678.978,87.122.337.330,105183678978.0,87122337330.0
Doanh thu bán bất động sản đầu tư,Trong đó: > Doanh thu bán bất động sản đầu tư,Doanh thu bán bất động sản đầu tư,23.229.600.000,-,23229600000.0,
