row_label_raw,row_label_full,Cho vay knach hang,Cho vay knach hang_1,Cho vay knach hang_2,numeric__Cho vay knach hang_1,numeric__Cho vay knach hang_2
,,,Số cuối năm,Số đầu năm,,
Cho vay các tổ chức kinh tế và cá nhân trong nước,Cho vay các tổ chức kinh tế và cá nhân trong nước,Cho vay các tổ chức kinh tế và cá nhân trong nước,15.152.879,14.381.046,15152879.0,14381046.0
Cho vay chiết khấu thương phiếu và các giấy tờ có giá,Cho vay chiết khấu thương phiếu và các giấy tờ có giá,Cho vay chiết khấu thương phiếu và các giấy tờ có giá,286.076,175.086,286076.0,175086.0
"Cho vay bằng vốn tài trợ, ủy thác đầu tư","Cho vay bằng vốn tài trợ, ủy thác đầu tư","Cho vay bằng vốn tài trợ, ủy thác đầu tư",595,819,595.0,819.0
"Cho vay các tổ chức kinh tế, cá nhân nước ngoài","Cho vay các tổ chức kinh tế, cá nhân nước ngoài","Cho vay các tổ chức kinh tế, cá nhân nước ngoài",8.000,-,8000.0,
Cộng,Cộng,Cộng,15.447.550,14.556.951,15447550.0,14556951.0
