row_label_raw,row_label_full,col_0,Quá hạn,Không chịu lãi,Dưới 1 tháng,Từ 1-3 tháng,Từ 3-6 tháng,Từ 6-12 tháng,Từ 1-5 năm,Trên 5 năm,Cộng,numeric__Quá hạn,numeric__Không chịu lãi,numeric__Dưới 1 tháng,numeric__Từ 1-3 tháng,numeric__Từ 3-6 tháng,numeric__Từ 6-12 tháng,numeric__Từ 1-5 năm,numeric__Trên 5 năm,numeric__Cộng
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
"Tiền mặt vàng bạc, đá quý","Tài sản > Tiền mặt vàng bạc, đá quý","Tiền mặt vàng bạc, đá quý",-,174.299,-,-,-,-,-,-,174.299,,174299.0,,,,,,,174299.0
Tiền gửi tại Ngân hàng Nhà nước,Tài sản > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,-,-,784.793,-,-,-,-,-,784.793,,,784793.0,,,,,,784793.0
Tiền gửi tại và cho vay các TCTD khác (*),Tài sản > Tiền gửi tại và cho vay các TCTD khác (*),Tiền gửi tại và cho vay các TCTD khác (*),-,-,3.542.294,1.427.400,,,-,-,4.969.694,,,3542294.0,1427400.0,,,,,4969694.0
Các công cụ tài chính phát sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phát sinh và các tài sản tài chính khác,Các công cụ tài chính phát sinh và các tài sản tài chính khác,-,-,668,-,-,-,-,-,668,,,668.0,,,,,,668.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),318.005,-,59.888,169.218,637.458,2.333.100,8.362.263,2.677.019,14.556.951,318005.0,,59888.0,169218.0,637458.0,2333100.0,8362263.0,2677019.0,14556951.0
Cháng khoản đầu tư (*),Tài sản > Cháng khoản đầu tư (*),Cháng khoản đầu tư (*),-,-,-,-,-,-,1.050.857,-,1.050.857,,,,,,,1050857.0,,1050857.0
"Gộp vốn, đầu tư dài hạn (*)","Tài sản > Gộp vốn, đầu tư dài hạn (*)","Gộp vốn, đầu tư dài hạn (*)",-,-,-,-,-,-,-,738.158,738.158,,,,,,,,738158.0,738158.0
Tài sản cổ định và bất động sản đầu tư,Tài sản > Tài sản cổ định và bất động sản đầu tư,Tài sản cổ định và bất động sản đầu tư,-,-,-,-,-,-,-,1.191.024,1.191.024,,,,,,,,1191024.0,1191024.0
Các tài sản cổ khác (*),Tài sản > Các tài sản cổ khác (*),Các tài sản cổ khác (*),-,327.705,-,-,-,-,-,-,327.705,,327705.0,,,,,,,327705.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,318.005,502.004,4.387.643,1.596.618,637.458,2.333.100,9.413.120,4.606.201,23.794.149,318005.0,502004.0,4387643.0,1596618.0,637458.0,2333100.0,9413120.0,4606201.0,23794149.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,,,1.645.133,1.324.224,-,250.236,-,-,3.219.593,,,1645133.0,1324224.0,,250236.0,,,3219593.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,5.523.869,1.771.443,2.655.461,23.001,6.303.856,-,16.277.630,,,5523869.0,1771443.0,2655461.0,23001.0,6303856.0,,16277630.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,362.506,-,-,-,-,-,362.506,,,362506.0,,,,,,362506.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,-,7.531.508,3.095.667,2.655.461,273.237,6.303.856,-,19.859.729,,,7531508.0,3095667.0,2655461.0,273237.0,6303856.0,,19859729.0
Mức chênh nhạy cảm với lãi suất - nội bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất - nội bảng,Mức chênh nhạy cảm với lãi suất - nội bảng,318.005,502.004,(3.143.865),(1.499.049),(2.018.003),2.059.863,3.109.264,4.606.201,3.934.420,318005.0,502004.0,-3143865.0,-1499049.0,-2018003.0,2059863.0,3109264.0,4606201.0,3934420.0
Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ (ròng),Nợ phải trả > Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ (ròng),Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ (ròng),-,(1.181.509),-,-,-,-,-,-,(1.181.509),,-1181509.0,,,,,,,-1181509.0
Mức chênh nhạy cảm với lãi suất nội bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bảng,Mức chênh nhạy cảm với lãi suất nội bảng,318.005,(679.505),(3.143.865),(1.499.049),(2.018.003),2.059.863,3.109.264,4.606.201,2.752.911,318005.0,-679505.0,-3143865.0,-1499049.0,-2018003.0,2059863.0,3109264.0,4606201.0,2752911.0
