row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dưvốn cổ phần,Quỹ củaTCTD,Lợi nhuậnchưa phân phối,Cộng,numeric__Vốn điều lệ,numeric__Thặng dưvốn cổ phần,numeric__Quỹ củaTCTD,numeric__Lợi nhuậnchưa phân phối,numeric__Cộng
Số đầu năm trước,Số đầu năm trước,Số đầu năm trước,3.080.000,716,281.216,72.612,3.434.544,3080000.0,716.0,281216.0,72612.0,3434544.0
Lợi nhuận trong năm trước,Lợi nhuận trong năm trước,Lợi nhuận trong năm trước,-,-,-,144.622,144.622,,,,144622.0,144622.0
Trích các quỹ dự trữ bắt buộc,Trích các quỹ dự trữ bắt buộc,Trích các quỹ dự trữ bắt buộc,-,-,6.244,(6.244),-,,,6244.0,-6244.0,
Trích lập quỹ khen thưởng và phúc lợi từ lợi nhuận năm 2018,Trích lập quỹ khen thưởng và phúc lợi từ lợi nhuận năm 2018,Trích lập quỹ khen thưởng và phúc lợi từ lợi nhuận năm 2018,-,-,-,(17.100),(17.100),,,,-17100.0,-17100.0
"Trích lập quỹ hoạt động Hội đồng quản trị, Ban kiểm soát","Trích lập quỹ hoạt động Hội đồng quản trị, Ban kiểm soát","Trích lập quỹ hoạt động Hội đồng quản trị, Ban kiểm soát",-,-,-,(1.187),(1.187),,,,-1187.0,-1187.0
Số cuối năm trước,Số cuối năm trước,Số cuối năm trước,3.080.000,716,287.460,192.703,3.560.879,3080000.0,716.0,287460.0,192703.0,3560879.0
Số đầu năm nay,Số đầu năm nay,Số đầu năm nay,3.080.000,716,287.460,192.703,3.560.879,3080000.0,716.0,287460.0,192703.0,3560879.0
Lợi nhuận trong năm nay,Lợi nhuận trong năm nay,Lợi nhuận trong năm nay,-,-,-,97.046,97.046,,,,97046.0,97046.0
Trích các quỹ dự trữ bắt buộc,Trích các quỹ dự trữ bắt buộc,Trích các quỹ dự trữ bắt buộc,-,-,21.693,(21.693),-,,,21693.0,-21693.0,
Trích lập quỹ khen thưởng và phúc lợi từ lợi nhuận năm 2019,Trích lập quỹ khen thưởng và phúc lợi từ lợi nhuận năm 2019,Trích lập quỹ khen thưởng và phúc lợi từ lợi nhuận năm 2019,-,-,-,(35.567),(35.567),,,,-35567.0,-35567.0
Trích lập quỹ khen thưởng Người quản lý,Trích lập quỹ khen thưởng Người quản lý,Trích lập quỹ khen thưởng Người quản lý,-,-,-,(500),(500),,,,-500.0,-500.0
"Trích lập quỹ hoạt động Hội đồng quản trị, Ban kiểm soát","Trích lập quỹ hoạt động Hội đồng quản trị, Ban kiểm soát","Trích lập quỹ hoạt động Hội đồng quản trị, Ban kiểm soát",-,-,-,(876),(876),,,,-876.0,-876.0
Số cuối năm nay,Số cuối năm nay,Số cuối năm nay,3.080.000,716,309.153,231.113,3.620.982,3080000.0,716.0,309153.0,231113.0,3620982.0
