row_label_raw,row_label_full,col_0,Tổng dư nợ tiền gửi và cho vay,Tổng tiền gửi và tiền vay,Các cam kết tin dụng,Chứng khoán đầu tư,Công cụ tài chính phải sinh,numeric__Tổng dư nợ tiền gửi và cho vay,numeric__Tổng tiền gửi và tiền vay,numeric__Các cam kết tin dụng,numeric__Chứng khoán đầu tư,numeric__Công cụ tài chính phải sinh
Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,,,,,
Trong nước,Số cuối năm > Trong nước,Trong nước,21.746.843,20.491.143,311.056,752.229,3.243.385,21746843.0,20491143.0,311056.0,752229.0,3243385.0
Nước ngoài,Nước ngoài,Nước ngoài,-,-,-,-,-,,,,,
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,,
Trong nước,Số đầu năm > Trong nước,Trong nước,20.311.438,19.497.223,269.159,1.050.857,926.800,20311438.0,19497223.0,269159.0,1050857.0,926800.0
Nước ngoài,Nước ngoài,Nước ngoài,-,-,-,-,-,,,,,
