row_label_raw,row_label_full,Các khoản phải trả nội bộ,74.958,48.591,numeric__74.958,numeric__48.591
- Các khoản phải trả cho Cán bộ CNV,- Các khoản phải trả cho Cán bộ CNV,- Các khoản phải trả cho Cán bộ CNV,10.469,38.004,10469.0,38004.0
- Quỹ khen thưởng và phúc lợi phải trả,- Quỹ khen thưởng và phúc lợi phải trả,- Quỹ khen thưởng và phúc lợi phải trả,58.991,5.092,58991.0,5092.0
- Các khoản phải trả nội bộ khác,- Các khoản phải trả nội bộ khác,- Các khoản phải trả nội bộ khác,5.498,5.495,5498.0,5495.0
+ Lãi cổ đông phải trả,+ Lãi cổ đông phải trả,+ Lãi cổ đông phải trả,683,683,683.0,683.0
+ Khoản phải trả nội bộ khác,+ Khoản phải trả nội bộ khác,+ Khoản phải trả nội bộ khác,4.815,4.812,4815.0,4812.0
Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,155.782,97.688,155782.0,97688.0
- Phải trả về mua sắm TSCĐ,- Phải trả về mua sắm TSCĐ,- Phải trả về mua sắm TSCĐ,870,870,870.0,870.0
- Thuế thu nhập doanh nghiệp phải nộp,- Thuế thu nhập doanh nghiệp phải nộp,- Thuế thu nhập doanh nghiệp phải nộp,44.877,14.461,44877.0,14461.0
- Chuyên tiền phải trả,- Chuyên tiền phải trả,- Chuyên tiền phải trả,1.914,1.890,1914.0,1890.0
- Thuế và các khoản phải nộp cho Nhà Nước,- Thuế và các khoản phải nộp cho Nhà Nước,- Thuế và các khoản phải nộp cho Nhà Nước,1.564,1.416,1564.0,1416.0
- Phải trả khác cho Nhà Nước,- Phải trả khác cho Nhà Nước,- Phải trả khác cho Nhà Nước,2.539,2.539,2539.0,2539.0
- Các khoản phải trả bên ngoài khác,- Các khoản phải trả bên ngoài khác,- Các khoản phải trả bên ngoài khác,104.018,76.512,104018.0,76512.0
Tổng cộng,Tổng cộng,Tổng cộng,230.740,146.279,230740.0,146279.0
