row_label_raw,row_label_full,Năm này > Số dư đầu năm > Dự phòng rủi ro trích lập trong năm /(Hoàn nhập trong năm),Dự phòng chung > 138.652 > 9.379,Dự phòng cụ thể > 47.630 > 157.674,numeric__Dự phòng chung > 138.652 > 9.379,numeric__Dự phòng cụ thể > 47.630 > 157.674
Dự phòng giảm do xử lý các khoản nợ phải thu hồi bằng nguồn dự phòng,Dự phòng giảm do xử lý các khoản nợ phải thu hồi bằng nguồn dự phòng,Dự phòng giảm do xử lý các khoản nợ phải thu hồi bằng nguồn dự phòng,-,(174.783),,-174783.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,148.031,30.521,148031.0,30521.0
Năm trước,Năm trước,Năm trước,,,,
Số dư đầu năm,Năm trước > Số dư đầu năm,Số dư đầu năm,122.437,39.523,122437.0,39523.0
Dự phòng rủi ro trích lập trong năm /(Hoàn nhập trong năm),Năm trước > Dự phòng rủi ro trích lập trong năm /(Hoàn nhập trong năm),Dự phòng rủi ro trích lập trong năm /(Hoàn nhập trong năm),16.215,137.036,16215.0,137036.0
Dự phòng giảm do xử lý các khoản nợ phải thu hồi bằng nguồn dự phòng,Năm trước > Dự phòng giảm do xử lý các khoản nợ phải thu hồi bằng nguồn dự phòng,Dự phòng giảm do xử lý các khoản nợ phải thu hồi bằng nguồn dự phòng,-,(128.929),,-128929.0
Số dư cuối năm,Năm trước > Số dư cuối năm,Số dư cuối năm,138.652,47.630,138652.0,47630.0
Chi tiết số dư dự phòng,Chi tiết số dư dự phòng,Chi tiết số dư dự phòng,31/12/2023,31/12/2022,,
Dự phòng rủi ro cho vay khách hàng,Chi tiết số dư dự phòng > Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,178.552,186.282,178552.0,186282.0
+ Dự phòng chung,Chi tiết số dư dự phòng > + Dự phòng chung,+ Dự phòng chung,148.031,138.652,148031.0,138652.0
+ Dự phòng cụ thể,Chi tiết số dư dự phòng > + Dự phòng cụ thể,+ Dự phòng cụ thể,30.521,47.630,30521.0,47630.0
Cộng,Chi tiết số dư dự phòng > Cộng,Cộng,178.552,186.282,178552.0,186282.0
