row_label_raw,row_label_full,khách hàng và theo loại hình doanh nghiệp,31/12/2023,31/12/2022,numeric__31/12/2023,numeric__31/12/2022
Công ty nhà nước,Công ty nhà nước,Công ty nhà nước,125.862,139.615,125862.0,139615.0
Công ty TNHH 1 thành viên do nhà nước sở hữu 100% vốn điều lệ,Công ty TNHH 1 thành viên do nhà nước sở hữu 100% vốn điều lệ,Công ty TNHH 1 thành viên do nhà nước sở hữu 100% vốn điều lệ,44.164,53.986,44164.0,53986.0
Công ty trách nhiệm hữu hạn khác,Công ty trách nhiệm hữu hạn khác,Công ty trách nhiệm hữu hạn khác,3.161.529,2.923.232,3161529.0,2923232.0
Công ty cổ phần,Công ty cổ phần,Công ty cổ phần,1.670.111,1.657.246,1670111.0,1657246.0
Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,7.885,8.225,7885.0,8225.0
Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,53.389,44.616,53389.0,44616.0
Hợp tác xã và liên hợp tác xã,Hợp tác xã và liên hợp tác xã,Hợp tác xã và liên hợp tác xã,38.265,48.036,38265.0,48036.0
"Hộ kinh doanh, cá nhân","Hộ kinh doanh, cá nhân","Hộ kinh doanh, cá nhân",14.655.542,13.595.921,14655542.0,13595921.0
Đơn vị hành chính sự nghiệp; Đảng đoàn thể và hiệp hội,Đơn vị hành chính sự nghiệp; Đảng đoàn thể và hiệp hội,Đơn vị hành chính sự nghiệp; Đảng đoàn thể và hiệp hội,210.630,243.349,210630.0,243349.0
Tổng cộng,Tổng cộng,Tổng cộng,19.967.377,18.714.226,19967377.0,18714226.0
