row_label_raw,row_label_full,col_0,Lĩnh vực bán về cầu dưỡng,Lĩnh vực kinh doanh bắt động sản,Lĩnh vực kinh doanh bắt động sản đầu tư,Lĩnh vực xây dựng,Hợp đồng hợp tác kinh doanh,Các lĩnh vực khác,Cộng,numeric__Lĩnh vực bán về cầu dưỡng,numeric__Lĩnh vực kinh doanh bắt động sản,numeric__Lĩnh vực kinh doanh bắt động sản đầu tư,numeric__Lĩnh vực xây dựng,numeric__Hợp đồng hợp tác kinh doanh,numeric__Các lĩnh vực khác,numeric__Cộng
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Năm nay > Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,309.445.902.345,323.187.545.638,25.488.608.297,-,23.892.473.550,338.244.330.041,1.020.258.859.871,309445902345.0,323187545638.0,25488608297.0,,23892473550.0,338244330041.0,1020258859871.0
Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,-,-,-,-,-,-,-,,,,,,,
Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,309.445.902.345,323.187.545.638,25.488.608.297,-,23.892.473.550,338.244.330.041,1.020.258.859.871,309445902345.0,323187545638.0,25488608297.0,,23892473550.0,338244330041.0,1020258859871.0
Kết quả kinh doanh theo bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,178.598.483.905,26.999.253.432,10.128.164.232,-,11.518.443.978,66.304.228.259,293.548.573.806,178598483905.0,26999253432.0,10128164232.0,,11518443978.0,66304228259.0,293548573806.0
Các chỉ phí không phân bổ theo bộ phận,Các chỉ phí không phân bổ theo bộ phận,Các chỉ phí không phân bổ theo bộ phận,,,,,,,-,,,,,,,
Lợi nhuận từ hoạt động kinh doanh,Các chỉ phí không phân bổ theo bộ phận > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,,,293.548.573.806,,,,,,,293548573806.0
Doanh thu hoạt động tài chính,Các chỉ phí không phân bổ theo bộ phận > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,,4.232.101.866,,,,,,,4232101866.0
Chi phí tải chính,Các chỉ phí không phân bổ theo bộ phận > Chi phí tải chính,Chi phí tải chính,,,,,,,1.092.368.187,,,,,,,1092368187.0
"Phân lãi hoặc lỗ trong công ty liên doanh, liên kết","Các chỉ phí không phân bổ theo bộ phận > Phân lãi hoặc lỗ trong công ty liên doanh, liên kết","Phân lãi hoặc lỗ trong công ty liên doanh, liên kết",,,,,,,121.669.299.256,,,,,,,121669299256.0
Thu nhập khác,Các chỉ phí không phân bổ theo bộ phận > Thu nhập khác,Thu nhập khác,,,,,,,24.327.581.195,,,,,,,24327581195.0
Chi phí khác,Các chỉ phí không phân bổ theo bộ phận > Chi phí khác,Chi phí khác,,,,,,,(29.978.778.504),,,,,,,-29978778504.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Các chỉ phí không phân bổ theo bộ phận > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,,,,(60.753.252.321),,,,,,,-60753252321.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,,,,,,-,,,,,,,
Lợi nhuận sau thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp hoãn lại > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,,,354.137.893.485,,,,,,,354137893485.0
Tổng chỉ phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Chi phí thuế thu nhập doanh nghiệp hoãn lại > Tổng chỉ phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chỉ phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,28.631.228.053,1.259.725.743.234,3.173.200.958,-,-,6.085.802.064,1.297.615.974.310,28631228053.0,1259725743234.0,3173200958.0,,,6085802064.0,1297615974310.0
Tổng chỉ phí khấu hao và phân bổ chỉ phí trả trước dài hạn,Chi phí thuế thu nhập doanh nghiệp hoãn lại > Tổng chỉ phí khấu hao và phân bổ chỉ phí trả trước dài hạn,Tổng chỉ phí khấu hao và phân bổ chỉ phí trả trước dài hạn,68.222.354.487,1.572.475.322,12.727.805.787,-,-,2.253.078.619,84.775.714.215,68222354487.0,1572475322.0,12727805787.0,,,2253078619.0,84775714215.0
