row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy móc vàthiết bị,"Phương tiện vântải, truyền dẫn","Thiết bị, dụngcụ quản lý",Tài sản cố địnhhầu hình khác,Cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy móc vàthiết bị,"numeric__Phương tiện vântải, truyền dẫn","numeric__Thiết bị, dụngcụ quản lý",numeric__Tài sản cố địnhhầu hình khác,numeric__Cộng
Nguyễn giá,Nguyễn giá,Nguyễn giá,Nguyễn giá,Nguyễn giá,Nguyễn giá,Nguyễn giá,Nguyễn giá,Nguyễn giá,,,,,,
Số đầu năm,Nguyễn giá > Số đầu năm,Số đầu năm,1.015.898.973.644,16.609.810.622,14.277.473.905,105.945.885.382,45.000.000,1.152.777.143.553,1015898973644.0,16609810622.0,14277473905.0,105945885382.0,45000000.0,1152777143553.0
Mua trong năm,Nguyễn giá > Mua trong năm,Mua trong năm,18.082.147.545,2.046.623.000,1.019.516.728,7.614.750.275,-,28.763.037.548,18082147545.0,2046623000.0,1019516728.0,7614750275.0,,28763037548.0
Đầu tư XDCB hoànthành,Nguyễn giá > Đầu tư XDCB hoànthành,Đầu tư XDCB hoànthành,10.030.285.020,-,-,-,-,10.030.285.020,10030285020.0,,,,,10030285020.0
Thanh lý nhượng bán,Nguyễn giá > Thanh lý nhượng bán,Thanh lý nhượng bán,(25.780.674.157),-,(455.626.455),(3.924.508.544),-,(30.160.809.156),-25780674157.0,,-455626455.0,-3924508544.0,,-30160809156.0
Số cuối năm,Nguyễn giá > Số cuối năm,Số cuối năm,1.018.230.732.052,18.656.433.622,14.841.364.178,109.636.127.113,45.000.000,1.161.409.656.965,1018230732052.0,18656433622.0,14841364178.0,109636127113.0,45000000.0,1161409656965.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,,
Đã khấu hao hết nhungvần còn sử dụng,Trong đó: > Đã khấu hao hết nhungvần còn sử dụng,Đã khấu hao hết nhungvần còn sử dụng,24.360.342.127,2.824.154.951,4.348.379.865,27.580.487.727,-,59.113.364.670,24360342127.0,2824154951.0,4348379865.0,27580487727.0,,59113364670.0
Chở thanh lý,Chở thanh lý,Chở thanh lý,-,-,-,-,-,-,,,,,,
Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,,,,,,
Số đầu năm,Giá trị hao mòn > Số đầu năm,Số đầu năm,526.979.476.307,6.255.217.288,8.086.427.101,47.507.174.724,12.187.500,588.840.482.920,526979476307.0,6255217288.0,8086427101.0,47507174724.0,12187500.0,588840482920.0
Khấu hao trong năm,Giá trị hao mòn > Khấu hao trong năm,Khấu hao trong năm,40.479.760.855,1.809.395.565,1.139.724.189,7.652.649.717,11.250.000,51.092.780.326,40479760855.0,1809395565.0,1139724189.0,7652649717.0,11250000.0,51092780326.0
"Thanh lý, nhượng bán","Giá trị hao mòn > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(6.093.314.111),-,(455.626.455),(3.879.545.802),-,(10.428.486.368),-6093314111.0,,-455626455.0,-3879545802.0,,-10428486368.0
Số cuối năm,Giá trị hao mòn > Số cuối năm,Số cuối năm,561.365.923.051,8.064.612.853,8.770.524.835,51.280.278.639,23.437.500,629.504.776.878,561365923051.0,8064612853.0,8770524835.0,51280278639.0,23437500.0,629504776878.0
