row_label_raw,row_label_full,col_0,Số đầu năm,Số tiền vay phát sinh trong năm,Kết chuyển từ vay và nợ dài hạn,Số tiền vay đã trả trong năm,Phân bổ chi phí phát hành trái phiếu,Số cuối năm,numeric__Số đầu năm,numeric__Số tiền vay phát sinh trong năm,numeric__Kết chuyển từ vay và nợ dài hạn,numeric__Số tiền vay đã trả trong năm,numeric__Phân bổ chi phí phát hành trái phiếu,numeric__Số cuối năm
Vay ngắn hạn ngân hàng,Vay ngắn hạn ngân hàng,Vay ngắn hạn ngân hàng,470.320.667.208,791.250.627.043,-,(768.056.968.113),-,493.514.326.138,470320667208.0,791250627043.0,,-768056968113.0,,493514326138.0
Vay ngắn hạn các cá nhân,Vay ngắn hạn các cá nhân,Vay ngắn hạn các cá nhân,16.600.000.000,-,-,(14.600.000.000),-,2.000.000.000,16600000000.0,,,-14600000000.0,,2000000000.0
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,99.920.000.000,-,20.600.000.000,(120.520.000.000),-,-,99920000000.0,,20600000000.0,-120520000000.0,,
Trái phiếu thường dài hạn đến hạn trả,Trái phiếu thường dài hạn đến hạn trả,Trái phiếu thường dài hạn đến hạn trả,194.352.500.000,-,150.352.500.000,(195.000.000.000),1.647.500.000,151.352.500.000,194352500000.0,,150352500000.0,-195000000000.0,1647500000.0,151352500000.0
Cộng,Cộng,Cộng,781.193.167.208,791.250.627.043,170.952.500.000,(1.098.176.968.113),1.647.500.000,646.866.826.138,781193167208.0,791250627043.0,170952500000.0,-1098176968113.0,1647500000.0,646866826138.0
