row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
C - NỘ PHẢI TRẢ,C - NỘ PHẢI TRẢ,C - NỘ PHẢI TRẢ,C - NỘ PHẢI TRẢ,300,,2.691.233.904.883,2.580.167.597.651,,300.0,,2691233904883.0,2580167597651.0
I.,I.,I.,Nợ ngắn hạn,310,,2.089.227.766.583,2.317.793.109.768,,310.0,,2089227766583.0,2317793109768.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,V.15a,696.679.853.380,491.513.970.332,,311.0,,696679853380.0,491513970332.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,V.16,10.808.976.400,6.685.614.848,,312.0,,10808976400.0,6685614848.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,V.17,28.374.546.566,194.955.961.297,,313.0,,28374546566.0,194955961297.0
4.,4.,4.,Phải trả người lao động,314,V.18,9.727.065.901,11.268.090.860,,314.0,,9727065901.0,11268090860.0
5.,5.,5.,Chỉ phí phải trả ngắn hạn,315,V.19,282.529.571.822,337.409.232.762,,315.0,,282529571822.0,337409232762.0
6.,6.,6.,Phải trả nội bộ ngắn hạn,316,,-,-,,316.0,,,
7.,7.,7.,Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,317,,-,-,,317.0,,,
8.,8.,8.,Doanh thu chưa thực hiện ngắn hạn,318,,60.740.990,6.281.956,,318.0,,60740990.0,6281956.0
9.,9.,9.,Phải trả ngắn hạn khác,319,V.20a,350.137.871.332,436.639.601.756,,319.0,,350137871332.0,436639601756.0
10.,10.,10.,Vay và nợ thuê tài chính ngắn hạn,320,V.21a,646.866.826.138,781.193.167.208,,320.0,,646866826138.0,781193167208.0
11.,11.,11.,Dự phòng phải trả ngắn hạn,321,,-,-,,321.0,,,
12.,12.,12.,"Quỹ khen thưởng, phúc lợi",322,V.22,64.042.314.054,58.121.188.749,,322.0,,64042314054.0,58121188749.0
13.,13.,13.,Quỹ bình ổn giá,323,,-,-,,323.0,,,
14.,14.,14.,Giao dịch mua bán lại trái phiếu Chính phủ,324,,-,-,,324.0,,,
II.,II.,II.,Nợ dài hạn,330,,602.006.138.300,262.374.487.883,,330.0,,602006138300.0,262374487883.0
1.,1.,1.,Phải trả người bán dài hạn,331,V.15b,18.838.742.400,18.838.742.400,,331.0,,18838742400.0,18838742400.0
2.,2.,2.,Người mua trả tiền trước dài hạn,332,,-,-,,332.0,,,
3.,3.,3.,Chỉ phí phải trả dài hạn,333,,-,-,,333.0,,,
4.,4.,4.,Phải trả nội bộ về vốn kinh doanh,334,,-,-,,334.0,,,
5.,5.,5.,Phải trả nội bộ dài hạn,335,,-,-,,335.0,,,
6.,6.,6.,Doanh thu chưa thực hiện dài hạn,336,V.23,11.904.073.192,8.499.973.080,,336.0,,11904073192.0,8499973080.0
7.,7.,7.,Phải trả dài hạn khác,337,V.20b,24.482.362.708,25.003.272.403,,337.0,,24482362708.0,25003272403.0
8.,8.,8.,Vay và nợ thuê tài chính dài hạn,338,V.21b,546.780.960.000,210.032.500.000,,338.0,,546780960000.0,210032500000.0
9.,9.,9.,Trái phiếu chuyển đổi,339,,-,-,,339.0,,,
10.,10.,10.,Cổ phiếu ưu đãi,340,,-,-,,340.0,,,
11.,11.,11.,Thuế thu nhập hoãn lại phải trả,341,,-,-,,341.0,,,
12.,12.,12.,Dự phòng phải trả dài hạn,342,,-,-,,342.0,,,
13.,13.,13.,Quỹ phát triển khoa học và công nghệ,343,,-,-,,343.0,,,
